Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
commons-collections/eclipse/org/apache/commons/collections4/keyvalue/DefaultKeyValue,true,74,873,true,57,false
commons-collections/eclipse/org/apache/commons/collections4/keyvalue/AbstractKeyValue,true,26,440,false,NA,false
commons-collections/eclipse/org/apache/commons/collections4/keyvalue/TiedMapEntry,true,95,955,true,53,false
commons-collections/eclipse/org/apache/commons/collections4/keyvalue/package-info,true,NA,NA,false,NA,NA
commons-collections/eclipse/org/apache/commons/collections4/keyvalue/MultiKey,true,77,1100,false,NA,false
commons-collections/eclipse/org/apache/commons/collections4/keyvalue/AbstractMapEntryDecorator,true,28,515,true,4,true
commons-collections/eclipse/org/apache/commons/collections4/keyvalue/UnmodifiableMapEntry,true,6,286,true,0,true
commons-collections/eclipse/org/apache/commons/collections4/keyvalue/AbstractMapEntry,true,64,674,true,33,false
commons-collections/eclipse/org/apache/commons/collections4/keyvalue/DefaultMapEntry,true,4,250,true,0,true
commons-collections/eclipse/org/apache/commons/collections4/set/TransformedSortedSet,true,45,973,false,NA,false
commons-collections/eclipse/org/apache/commons/collections4/set/TransformedSet,true,14,485,false,NA,false
commons-collections/eclipse/org/apache/commons/collections4/set/CompositeSet,true,271,2981,false,NA,false
commons-collections/eclipse/org/apache/commons/collections4/set/AbstractSetDecorator,true,4,106,false,NA,false
commons-collections/eclipse/org/apache/commons/collections4/set/PredicatedSet,true,6,184,false,NA,false
commons-collections/eclipse/org/apache/commons/collections4/set/package-info,true,NA,NA,false,NA,NA
commons-collections/eclipse/org/apache/commons/collections4/set/MapBackedSet,true,97,1559,true,14,true
commons-collections/eclipse/org/apache/commons/collections4/set/PredicatedSortedSet,true,36,625,true,38,true
commons-collections/eclipse/org/apache/commons/collections4/set/AbstractSerializableSetDecorator,true,5,173,true,0,true
commons-collections/eclipse/org/apache/commons/collections4/set/UnmodifiableSortedSet,true,67,719,true,33,true
commons-collections/eclipse/org/apache/commons/collections4/set/AbstractSortedSetDecorator,true,8,400,true,12,true
commons-collections/eclipse/org/apache/commons/collections4/set/UnmodifiableSet,true,35,408,false,NA,false
commons-collections/eclipse/org/apache/commons/collections4/set/ListOrderedSet,true,258,2629,false,NA,false
commons-collections/eclipse/org/apache/commons/collections4/ResettableIterator,true,0,13,true,0,NA
commons-collections/eclipse/org/apache/commons/collections4/bag/PredicatedBag,true,11,424,false,NA,false
commons-collections/eclipse/org/apache/commons/collections4/bag/AbstractSortedBagDecorator,true,4,229,true,12,true
commons-collections/eclipse/org/apache/commons/collections4/bag/TreeBag,true,20,756,true,31,true
commons-collections/eclipse/org/apache/commons/collections4/bag/SynchronizedSortedBag,true,47,308,false,NA,false
commons-collections/eclipse/org/apache/commons/collections4/bag/TransformedSortedBag,true,15,639,false,NA,false
commons-collections/eclipse/org/apache/commons/collections4/bag/PredicatedSortedBag,true,6,309,true,12,true
commons-collections/eclipse/org/apache/commons/collections4/bag/package-info,true,NA,NA,false,NA,NA
commons-collections/eclipse/org/apache/commons/collections4/bag/AbstractBagDecorator,true,9,322,false,NA,false
commons-collections/eclipse/org/apache/commons/collections4/bag/CollectionSortedBag,true,128,1102,false,NA,false
commons-collections/eclipse/org/apache/commons/collections4/bag/HashBag,true,3,232,true,0,true
commons-collections/eclipse/org/apache/commons/collections4/bag/TransformedBag,true,28,784,false,NA,false
commons-collections/eclipse/org/apache/commons/collections4/bag/UnmodifiableBag,true,66,672,false,NA,false
commons-collections/eclipse/org/apache/commons/collections4/bag/AbstractMapBag,true,701,5975,false,NA,false
commons-collections/eclipse/org/apache/commons/collections4/bag/CollectionBag,true,128,1102,false,NA,false
commons-collections/eclipse/org/apache/commons/collections4/bag/SynchronizedBag,true,100,522,false,NA,false
commons-collections/eclipse/org/apache/commons/collections4/bag/UnmodifiableSortedBag,true,67,590,true,7,true
commons-collections/eclipse/org/apache/commons/collections4/TrieUtils,true,1,85,true,0,true
commons-collections/eclipse/org/apache/commons/collections4/ComparatorUtils,true,53,1077,true,8,true
commons-collections/eclipse/org/apache/commons/collections4/BidiMap,true,2,63,true,0,NA
commons-collections/eclipse/org/apache/commons/collections4/MultiMapUtils,true,39,1294,true,24,true
commons-collections/eclipse/org/apache/commons/collections4/Get,true,1,82,true,0,NA
commons-collections/eclipse/org/apache/commons/collections4/comparators/NullComparator,true,75,883,true,28,true
commons-collections/eclipse/org/apache/commons/collections4/comparators/package-info,true,NA,NA,false,NA,NA
commons-collections/eclipse/org/apache/commons/collections4/comparators/ComparatorChain,true,303,2170,true,64,false
commons-collections/eclipse/org/apache/commons/collections4/comparators/ReverseComparator,true,52,508,true,27,true
commons-collections/eclipse/org/apache/commons/collections4/comparators/BooleanComparator,true,59,498,false,NA,false
commons-collections/eclipse/org/apache/commons/collections4/comparators/TransformingComparator,true,152,1250,true,59,false
commons-collections/eclipse/org/apache/commons/collections4/comparators/ComparableComparator,true,19,288,true,0,true
commons-collections/eclipse/org/apache/commons/collections4/comparators/FixedOrderComparator,true,464,2193,false,NA,false
commons-collections/eclipse/org/apache/commons/collections4/list/AbstractSerializableListDecorator,true,5,173,true,0,true
commons-collections/eclipse/org/apache/commons/collections4/list/GrowthList,true,15,671,false,NA,false
commons-collections/eclipse/org/apache/commons/collections4/list/AbstractListDecorator,true,31,653,true,8,true
commons-collections/eclipse/org/apache/commons/collections4/list/package-info,true,NA,NA,false,NA,NA
commons-collections/eclipse/org/apache/commons/collections4/list/UnmodifiableList,true,68,727,false,NA,false
commons-collections/eclipse/org/apache/commons/collections4/list/PredicatedList,true,84,1041,false,NA,false
commons-collections/eclipse/org/apache/commons/collections4/list/FixedSizeList,true,100,992,false,NA,false
commons-collections/eclipse/org/apache/commons/collections4/list/TransformedList,true,127,1440,false,NA,false
commons-collections/eclipse/org/apache/commons/collections4/list/CursorableLinkedList,true,535,4212,false,NA,false
commons-collections/eclipse/org/apache/commons/collections4/list/NodeCachingLinkedList,true,110,1230,true,41,true
commons-collections/eclipse/org/apache/commons/collections4/list/TreeList,true,2101,16417,false,NA,false
commons-collections/eclipse/org/apache/commons/collections4/list/SetUniqueList,true,362,3491,false,NA,false
commons-collections/eclipse/org/apache/commons/collections4/list/AbstractLinkedList,true,1433,12597,false,NA,false
commons-collections/eclipse/org/apache/commons/collections4/list/LazyList,true,57,655,true,22,true
commons-collections/eclipse/org/apache/commons/collections4/ListValuedMap,true,0,37,true,0,NA
commons-collections/eclipse/org/apache/commons/collections4/PredicateUtils,true,117,1802,false,NA,false
commons-collections/eclipse/org/apache/commons/collections4/MultiMap,true,3,79,true,0,NA
commons-collections/eclipse/org/apache/commons/collections4/MapIterator,true,2,44,true,0,NA
commons-collections/eclipse/org/apache/commons/collections4/IterableGet,true,0,24,true,0,NA
commons-collections/eclipse/org/apache/commons/collections4/QueueUtils,true,9,325,true,0,true
commons-collections/eclipse/org/apache/commons/collections4/package-info,true,NA,NA,false,NA,NA
commons-collections/eclipse/org/apache/commons/collections4/Bag,true,5,127,true,0,NA
commons-collections/eclipse/org/apache/commons/collections4/FactoryUtils,true,6,324,true,0,true
commons-collections/eclipse/org/apache/commons/collections4/MultiValuedMap,true,12,226,true,8,NA
commons-collections/eclipse/org/apache/commons/collections4/iterators/EnumerationIterator,true,50,643,true,14,true
commons-collections/eclipse/org/apache/commons/collections4/iterators/PushbackIterator,true,46,520,true,4,true
commons-collections/eclipse/org/apache/commons/collections4/iterators/LoopingIterator,true,34,498,true,0,true
commons-collections/eclipse/org/apache/commons/collections4/iterators/ReverseListIterator,true,115,813,true,40,true
commons-collections/eclipse/org/apache/commons/collections4/iterators/AbstractUntypedIteratorDecorator,true,12,212,true,4,true
commons-collections/eclipse/org/apache/commons/collections4/iterators/CollatingIterator,true,243,2973,false,NA,false
