Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
commons-collections/eclipse/org/apache/commons/collections4/keyvalue/DefaultKeyValue,true,36,873,false,NA,false
commons-collections/eclipse/org/apache/commons/collections4/keyvalue/AbstractKeyValue,true,24,440,false,NA,false
commons-collections/eclipse/org/apache/commons/collections4/keyvalue/TiedMapEntry,true,60,955,false,NA,false
commons-collections/eclipse/org/apache/commons/collections4/keyvalue/package-info,true,NA,NA,false,NA,NA
commons-collections/eclipse/org/apache/commons/collections4/keyvalue/MultiKey,true,100,1100,false,NA,false
commons-collections/eclipse/org/apache/commons/collections4/keyvalue/AbstractMapEntryDecorator,true,27,515,true,0,true
commons-collections/eclipse/org/apache/commons/collections4/keyvalue/UnmodifiableMapEntry,true,6,286,true,0,true
commons-collections/eclipse/org/apache/commons/collections4/keyvalue/AbstractMapEntry,true,32,674,false,NA,false
commons-collections/eclipse/org/apache/commons/collections4/keyvalue/DefaultMapEntry,true,4,250,true,0,true
commons-collections/eclipse/org/apache/commons/collections4/set/TransformedSortedSet,true,64,973,false,NA,false
commons-collections/eclipse/org/apache/commons/collections4/set/TransformedSet,true,47,485,false,NA,false
commons-collections/eclipse/org/apache/commons/collections4/set/CompositeSet,true,182,2981,false,NA,false
commons-collections/eclipse/org/apache/commons/collections4/set/AbstractSetDecorator,true,3,106,true,0,true
commons-collections/eclipse/org/apache/commons/collections4/set/PredicatedSet,true,5,184,true,0,true
commons-collections/eclipse/org/apache/commons/collections4/set/package-info,true,NA,NA,false,NA,NA
commons-collections/eclipse/org/apache/commons/collections4/set/MapBackedSet,true,124,1559,false,NA,false
commons-collections/eclipse/org/apache/commons/collections4/set/PredicatedSortedSet,true,18,625,true,0,true
commons-collections/eclipse/org/apache/commons/collections4/set/AbstractSerializableSetDecorator,true,5,173,true,0,true
commons-collections/eclipse/org/apache/commons/collections4/set/UnmodifiableSortedSet,true,46,719,true,0,true
commons-collections/eclipse/org/apache/commons/collections4/set/AbstractSortedSetDecorator,true,7,400,true,0,true
commons-collections/eclipse/org/apache/commons/collections4/set/UnmodifiableSet,true,31,408,false,NA,false
commons-collections/eclipse/org/apache/commons/collections4/set/ListOrderedSet,true,162,2629,false,NA,false
commons-collections/eclipse/org/apache/commons/collections4/ResettableIterator,true,0,13,true,0,NA
commons-collections/eclipse/org/apache/commons/collections4/bag/PredicatedBag,true,10,424,true,0,true
commons-collections/eclipse/org/apache/commons/collections4/bag/AbstractSortedBagDecorator,true,3,229,true,0,true
commons-collections/eclipse/org/apache/commons/collections4/bag/TreeBag,true,14,756,true,4,true
commons-collections/eclipse/org/apache/commons/collections4/bag/SynchronizedSortedBag,true,13,308,true,12,true
