Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
commons-collections/javac/org/apache/commons/collections4/keyvalue/DefaultKeyValue,true,73,873,true,33,false
commons-collections/javac/org/apache/commons/collections4/keyvalue/AbstractKeyValue,true,24,440,false,NA,false
commons-collections/javac/org/apache/commons/collections4/keyvalue/TiedMapEntry,true,81,955,false,NA,false
commons-collections/javac/org/apache/commons/collections4/keyvalue/package-info,true,NA,NA,true,NA,NA
commons-collections/javac/org/apache/commons/collections4/keyvalue/MultiKey,true,93,1100,false,NA,false
commons-collections/javac/org/apache/commons/collections4/keyvalue/AbstractMapEntryDecorator,true,20,515,false,NA,false
commons-collections/javac/org/apache/commons/collections4/keyvalue/UnmodifiableMapEntry,true,17,286,false,NA,false
commons-collections/javac/org/apache/commons/collections4/keyvalue/AbstractMapEntry,true,64,674,false,NA,false
commons-collections/javac/org/apache/commons/collections4/keyvalue/DefaultMapEntry,true,13,250,false,NA,false
commons-collections/javac/org/apache/commons/collections4/set/TransformedSortedSet,true,61,973,true,21,true
commons-collections/javac/org/apache/commons/collections4/set/TransformedSet,true,48,485,false,NA,false
commons-collections/javac/org/apache/commons/collections4/set/CompositeSet,true,371,2981,false,NA,false
commons-collections/javac/org/apache/commons/collections4/set/AbstractSetDecorator,true,9,106,false,NA,false
commons-collections/javac/org/apache/commons/collections4/set/PredicatedSet,true,13,184,false,NA,false
commons-collections/javac/org/apache/commons/collections4/set/package-info,true,NA,NA,true,NA,NA
commons-collections/javac/org/apache/commons/collections4/set/MapBackedSet,true,74,1559,true,24,true
commons-collections/javac/org/apache/commons/collections4/set/PredicatedSortedSet,true,46,625,false,NA,false
commons-collections/javac/org/apache/commons/collections4/set/AbstractSerializableSetDecorator,true,7,173,false,NA,false
commons-collections/javac/org/apache/commons/collections4/set/UnmodifiableSortedSet,true,55,719,true,20,true
commons-collections/javac/org/apache/commons/collections4/set/AbstractSortedSetDecorator,true,36,400,false,NA,false
commons-collections/javac/org/apache/commons/collections4/set/UnmodifiableSet,true,36,408,true,14,true
commons-collections/javac/org/apache/commons/collections4/set/ListOrderedSet,true,270,2629,false,NA,false
commons-collections/javac/org/apache/commons/collections4/ResettableIterator,true,2,13,false,NA,NA
commons-collections/javac/org/apache/commons/collections4/bag/PredicatedBag,true,30,424,false,NA,false
commons-collections/javac/org/apache/commons/collections4/bag/AbstractSortedBagDecorator,true,13,229,false,NA,false
commons-collections/javac/org/apache/commons/collections4/bag/TreeBag,true,45,756,false,NA,false
commons-collections/javac/org/apache/commons/collections4/bag/SynchronizedSortedBag,true,84,308,false,NA,false
