Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
commons-imaging/eclipse/org/apache/commons/imaging/ImageParser,true,175,3530,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/palette/QuantizedPalette,true,51,910,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/palette/MedianCutImplementation,true,2,31,true,0,NA
commons-imaging/eclipse/org/apache/commons/imaging/palette/MedianCutLongestAxisImplementation,true,70,1753,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/palette/ColorComponent,true,11,174,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/palette/PaletteFactory,true,508,6578,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/palette/ColorGroupCut,true,18,249,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/palette/package-info,true,NA,NA,false,NA,NA
commons-imaging/eclipse/org/apache/commons/imaging/palette/MedianCutPalette,true,7,160,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/palette/Palette,true,4,216,false,NA,NA
commons-imaging/eclipse/org/apache/commons/imaging/palette/MedianCutQuantizer,true,82,1815,true,38,true
commons-imaging/eclipse/org/apache/commons/imaging/palette/Dithering,true,32,1745,true,4,true
commons-imaging/eclipse/org/apache/commons/imaging/palette/ColorSpaceSubset,true,311,4040,true,1,true
commons-imaging/eclipse/org/apache/commons/imaging/palette/ColorCount,true,20,347,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/palette/ColorGroup,true,207,2630,true,32,true
commons-imaging/eclipse/org/apache/commons/imaging/palette/SimplePalette,true,17,318,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/palette/MedianCutMostPopulatedBoxesImplementation,true,186,1801,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/FormatCompliance,true,110,1921,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/ico/IcoImageParser,true,934,11148,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/ico/package-info,true,NA,NA,false,NA,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/wbmp/WbmpImageParser,true,183,3300,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/wbmp/package-info,true,NA,NA,false,NA,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/xbm/package-info,true,NA,NA,false,NA,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/xbm/XbmImageParser,true,201,5616,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/gif/GifHeaderInfo,true,15,522,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/gif/ImageContents,true,3,137,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/gif/package-info,true,NA,NA,false,NA,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/gif/GifBlock,true,1,46,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/gif/GenericGifBlock,true,11,363,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/gif/ImageDescriptor,true,12,430,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/gif/GraphicControlExtension,true,6,196,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/gif/GifImageParser,true,662,13214,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/tga/TgaConstants,false,NA,NA,false,NA,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/tga/TgaImageParser,false,NA,NA,false,NA,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/rgbe/package-info,true,NA,NA,false,NA,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/rgbe/InfoHeaderReader,true,6,220,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/rgbe/RgbeImageParser,true,148,1141,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/rgbe/RgbeInfo,true,117,2251,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/ImageResourceType,true,36,2338,false,NA,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/ImageResourceBlock,true,9,242,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/dataparsers/DataParserGrayscale,true,16,234,true,0,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/dataparsers/DataParserBitmap,true,15,276,true,0,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/dataparsers/DataParserIndexed,true,39,522,true,0,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/dataparsers/DataParserCmyk,true,8,445,true,0,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/dataparsers/DataParser,true,11,320,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/dataparsers/DataParserLab,true,9,314,true,0,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/dataparsers/DataParserRgb,true,19,356,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/dataparsers/DataParserStub,true,6,73,true,0,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/ImageContents,true,31,723,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/PsdImageParser,true,631,7226,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/PsdHeaderInfo,true,44,1080,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/package-info,true,NA,NA,false,NA,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/datareaders/DataReader,true,1,71,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/datareaders/UncompressedDataReader,true,25,547,false,NA,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/datareaders/CompressedDataReader,true,30,839,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/package-info,true,NA,NA,false,NA,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/GammaCorrection,true,50,763,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/transparencyfilters/TransparencyFilterTrueColor,true,9,399,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/transparencyfilters/TransparencyFilter,true,1,82,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/transparencyfilters/TransparencyFilterGrayscale,true,9,206,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/transparencyfilters/TransparencyFilterIndexedColor,true,25,228,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/PngImageParser,true,434,8903,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/PngImageInfo,true,22,275,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/PngWriter,true,321,8245,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/ColorType,true,79,839,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/PngCrc,true,73,691,true,24,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/ScanExpediter,true,146,2628,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/chunks/PngTextChunk,true,4,86,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/chunks/PngChunkText,true,40,561,true,2,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/chunks/PngChunkIhdr,true,26,716,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/chunks/PngChunkGama,true,16,215,true,4,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/chunks/PngChunkPlte,true,36,823,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/chunks/PngChunkIdat,true,0,71,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/chunks/PngChunkPhys,true,10,314,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/chunks/PngChunkZtxt,true,34,618,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/chunks/PngChunkItxt,true,51,1226,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/chunks/PngChunk,true,57,674,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/chunks/PngChunkIccp,true,42,925,true,8,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/ChunkType,true,25,459,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/InterlaceMethod,true,6,113,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/PngText,true,10,277,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/ScanExpediterSimple,true,83,440,true,67,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/package-info,true,NA,NA,false,NA,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/FilterType,true,6,82,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/ScanExpediterInterlaced,true,151,1003,true,155,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/BitParser,true,73,829,true,2,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/PngConstants,true,3,125,true,0,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/scanlinefilters/ScanlineFilterUp,true,4,224,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/scanlinefilters/ScanlineFilter,true,0,44,true,0,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/scanlinefilters/ScanlineFilterAverage,true,10,363,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/scanlinefilters/ScanlineFilterSub,true,9,284,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/scanlinefilters/ScanlineFilterPaeth,true,21,672,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/scanlinefilters/ScanlineFilterNone,true,4,120,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/TiffField,false,NA,NA,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/TiffReader,true,428,5493,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoXpString,true,13,291,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoGpsText,true,122,2502,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoLong,true,17,228,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoByteOrShort,true,8,139,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoSLong,true,8,168,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoDouble,true,8,168,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoAny,true,4,54,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoDirectory,true,4,54,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoShort,true,8,168,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoAsciiOrByte,true,4,58,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoShortOrLong,true,17,232,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoUndefined,true,4,54,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoFloat,true,8,168,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoAscii,true,33,635,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoSRational,true,8,168,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoSShort,true,8,168,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoSByte,true,6,82,true,0,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoByte,true,16,200,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoRational,true,8,168,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoUnknown,true,4,54,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoShortOrLongOrRational,true,12,225,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoAsciiOrRational,true,4,58,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoLongOrIFD,true,17,228,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfo,true,80,1051,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoShortOrRational,true,8,172,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/TiffDirectory,true,1401,7626,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/TiffContents,true,32,907,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/TiffHeader,true,7,158,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/write/TiffImageWriterLossless,true,206,4132,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/write/TiffImageWriterLossy,true,20,529,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/write/ImageDataOffsets,true,11,257,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/write/TiffOutputField,true,91,1709,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/write/TiffOutputSummary,true,30,681,true,0,true
