Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
commons-imaging/eclipse/org/apache/commons/imaging/ImageParser,true,212,3530,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/palette/QuantizedPalette,true,12,910,true,4,true
commons-imaging/eclipse/org/apache/commons/imaging/palette/MedianCutImplementation,true,2,31,false,NA,NA
commons-imaging/eclipse/org/apache/commons/imaging/palette/MedianCutLongestAxisImplementation,true,428,1753,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/palette/ColorComponent,true,56,174,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/palette/PaletteFactory,true,499,6578,true,188,true
commons-imaging/eclipse/org/apache/commons/imaging/palette/ColorGroupCut,true,6,249,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/palette/package-info,true,NA,NA,true,NA,NA
commons-imaging/eclipse/org/apache/commons/imaging/palette/MedianCutPalette,true,11,160,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/palette/Palette,true,28,216,true,0,NA
commons-imaging/eclipse/org/apache/commons/imaging/palette/MedianCutQuantizer,true,120,1815,true,39,true
commons-imaging/eclipse/org/apache/commons/imaging/palette/Dithering,true,29,1745,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/palette/ColorSpaceSubset,true,329,4040,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/palette/ColorCount,true,19,347,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/palette/ColorGroup,true,166,2630,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/palette/SimplePalette,true,8,318,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/palette/MedianCutMostPopulatedBoxesImplementation,true,338,1801,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/FormatCompliance,true,220,1921,true,52,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/ico/IcoImageParser,true,952,11148,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/ico/package-info,true,NA,NA,true,NA,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/wbmp/WbmpImageParser,true,263,3300,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/wbmp/package-info,true,NA,NA,true,NA,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/xbm/package-info,true,NA,NA,true,NA,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/xbm/XbmImageParser,true,380,5616,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/gif/GifHeaderInfo,true,15,522,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/gif/ImageContents,true,3,137,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/gif/package-info,true,NA,NA,true,NA,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/gif/GifBlock,true,1,46,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/gif/GenericGifBlock,true,5,363,true,4,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/gif/ImageDescriptor,true,15,430,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/gif/GraphicControlExtension,true,6,196,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/gif/GifImageParser,true,1011,13214,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/tga/TgaConstants,true,NA,NA,true,NA,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/tga/TgaImageParser,true,NA,NA,true,NA,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/rgbe/package-info,true,NA,NA,true,NA,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/rgbe/InfoHeaderReader,true,3,220,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/rgbe/RgbeImageParser,true,144,1141,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/rgbe/RgbeInfo,true,93,2251,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/ImageResourceType,true,61,2338,true,22,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/ImageResourceBlock,true,10,242,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/dataparsers/DataParserGrayscale,true,19,234,true,0,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/dataparsers/DataParserBitmap,true,18,276,true,0,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/dataparsers/DataParserIndexed,true,37,522,true,0,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/dataparsers/DataParserCmyk,true,8,445,true,0,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/dataparsers/DataParser,true,11,320,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/dataparsers/DataParserLab,true,9,314,true,0,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/dataparsers/DataParserRgb,true,22,356,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/dataparsers/DataParserStub,true,6,73,true,0,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/ImageContents,true,79,723,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/PsdImageParser,true,744,7226,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/PsdHeaderInfo,true,117,1080,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/package-info,true,NA,NA,true,NA,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/datareaders/DataReader,true,4,71,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/datareaders/UncompressedDataReader,true,36,547,false,NA,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/datareaders/CompressedDataReader,true,53,839,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/package-info,true,NA,NA,true,NA,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/GammaCorrection,true,48,763,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/transparencyfilters/TransparencyFilterTrueColor,true,3,399,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/transparencyfilters/TransparencyFilter,true,1,82,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/transparencyfilters/TransparencyFilterGrayscale,true,3,206,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/transparencyfilters/TransparencyFilterIndexedColor,true,22,228,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/PngImageParser,true,807,8903,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/PngImageInfo,true,19,275,true,6,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/PngWriter,true,406,8245,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/ColorType,true,237,839,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/PngCrc,true,58,691,true,24,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/ScanExpediter,true,272,2628,true,78,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/chunks/PngTextChunk,true,4,86,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/chunks/PngChunkText,true,29,561,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/chunks/PngChunkIhdr,true,17,716,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/chunks/PngChunkGama,true,5,215,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/chunks/PngChunkPlte,true,66,823,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/chunks/PngChunkIdat,true,0,71,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/chunks/PngChunkPhys,true,1,314,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/chunks/PngChunkZtxt,true,22,618,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/chunks/PngChunkItxt,true,32,1226,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/chunks/PngChunk,true,12,674,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/chunks/PngChunkIccp,true,65,925,true,0,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/ChunkType,true,133,459,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/InterlaceMethod,true,40,113,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/PngText,true,41,277,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/ScanExpediterSimple,true,16,440,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/package-info,true,NA,NA,true,NA,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/FilterType,true,22,82,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/ScanExpediterInterlaced,true,45,1003,true,0,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/BitParser,true,26,829,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/PngConstants,true,3,125,true,0,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/scanlinefilters/ScanlineFilterUp,true,4,224,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/scanlinefilters/ScanlineFilter,true,0,44,true,0,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/scanlinefilters/ScanlineFilterAverage,true,7,363,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/scanlinefilters/ScanlineFilterSub,true,6,284,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/scanlinefilters/ScanlineFilterPaeth,true,18,672,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/png/scanlinefilters/ScanlineFilterNone,true,4,120,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/TiffField,true,1786,7059,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/TiffReader,true,849,5493,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoXpString,true,49,291,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoGpsText,true,359,2502,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoLong,true,17,228,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoByteOrShort,true,8,139,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoSLong,true,8,168,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoDouble,true,8,168,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoAny,true,4,54,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoDirectory,true,4,54,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoShort,true,8,168,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoAsciiOrByte,true,4,58,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoShortOrLong,true,17,232,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoUndefined,true,4,54,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoFloat,true,8,168,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoAscii,true,13,635,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoSRational,true,8,168,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoSShort,true,8,168,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoSByte,true,6,82,false,NA,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoByte,true,16,200,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoRational,true,8,168,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoUnknown,true,4,54,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoShortOrLongOrRational,true,12,225,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoAsciiOrRational,true,4,58,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoLongOrIFD,true,17,228,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfo,true,104,1051,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoShortOrRational,true,8,172,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/TiffDirectory,true,2537,7626,true,54,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/TiffContents,true,174,907,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/TiffHeader,true,7,158,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/write/TiffImageWriterLossless,true,362,4132,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/write/TiffImageWriterLossy,true,75,529,true,28,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/write/ImageDataOffsets,true,4,257,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/write/TiffOutputField,true,55,1709,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/write/TiffOutputSummary,true,79,681,true,38,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/write/TiffImageWriterBase,true,416,7085,true,128,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/write/TiffOutputSet,true,233,2586,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/write/TiffOutputItem,true,27,613,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/write/TiffOutputDirectory,true,2181,9015,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/package-info,true,NA,NA,true,NA,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/constants/GpsTagConstants,true,32,1805,true,2,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/constants/GeoTiffTagConstants,true,8,409,true,2,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/constants/TiffTagConstants,true,80,4666,true,2,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/constants/TiffDirectoryType,true,206,613,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/constants/AliasSketchbookProTagConstants,true,0,106,true,2,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/constants/MicrosoftTagConstants,true,8,409,true,2,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/constants/ExifTagConstants,true,130,7451,true,2,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/constants/GdalLibraryTagConstants,true,0,159,true,2,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/constants/TagConstantsUtils,true,135,438,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/constants/MicrosoftHdPhotoTagConstants,true,16,2359,true,2,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/constants/MolecularDynamicsGelTagConstants,true,9,462,true,2,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/constants/AllTagConstants,true,58,171,true,2,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/constants/OceScanjobTagConstants,true,0,265,true,2,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/constants/AdobePhotoshopTagConstants,true,0,155,true,2,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/constants/HylaFaxTagConstants,true,5,250,true,2,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/constants/TiffEpTagConstants,true,20,1121,true,2,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/constants/AdobePageMaker6TagConstants,true,8,437,true,2,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/constants/DcfTagConstants,true,5,270,true,2,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/constants/DngTagConstants,true,80,4589,true,2,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/constants/WangTagConstants,true,0,106,true,2,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/constants/Rfc2301TagConstants,true,14,839,true,2,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/constants/Tiff4TagConstants,true,0,142,true,2,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/constants/TiffConstants,true,3,225,true,0,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/constants/TiffDirectoryConstants,true,0,148,true,0,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/fieldtypes/FieldTypeShort,true,31,560,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/fieldtypes/FieldTypeRational,true,39,852,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/fieldtypes/FieldTypeAscii,true,119,1531,true,74,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/fieldtypes/FieldTypeDouble,true,31,560,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/fieldtypes/FieldTypeLong,true,35,544,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/fieldtypes/FieldTypeFloat,true,31,560,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/fieldtypes/FieldType,true,75,1435,true,30,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/fieldtypes/FieldTypeByte,true,15,252,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/TiffImageMetadata,true,726,6558,true,98,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/JpegImageData,true,18,102,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/TiffElement,true,90,556,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/TiffImageData,true,208,1175,true,0,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/TiffImageParser,true,528,7285,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/photometricinterpreters/PhotometricInterpreterLogLuv,true,144,1635,true,212,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/photometricinterpreters/PhotometricInterpreterPalette,true,21,532,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/photometricinterpreters/PhotometricInterpreterCmyk,true,19,283,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/photometricinterpreters/PhotometricInterpreterCieLab,true,16,261,true,0,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/photometricinterpreters/PhotometricInterpreterRgb,true,26,291,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/photometricinterpreters/PhotometricInterpreterYCbCr,true,61,1007,true,0,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/photometricinterpreters/PhotometricInterpreterBiLevel,true,25,353,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/photometricinterpreters/PhotometricInterpreter,true,5,227,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/datareaders/DataReaderStrips,true,145,3335,true,223,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/datareaders/BitInputStream,true,5,1651,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/datareaders/DataReader,true,101,2060,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/tiff/datareaders/DataReaderTiled,true,202,3376,true,215,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/pnm/PpmWriter,true,29,910,true,2,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/pnm/PnmImageParser,true,354,4072,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/pnm/PamWriter,true,48,857,true,2,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/pnm/WhiteSpaceReader,true,26,567,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/pnm/PamFileInfo,true,499,2191,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/pnm/PgmWriter,true,26,737,true,2,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/pnm/PpmFileInfo,true,79,1343,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/pnm/PbmWriter,true,42,931,true,2,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/pnm/PbmFileInfo,true,63,673,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/pnm/PgmFileInfo,true,79,917,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/pnm/package-info,true,NA,NA,true,NA,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/pnm/PnmConstants,true,0,80,true,0,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/pnm/FileInfo,true,27,830,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/pnm/PnmWriter,true,1,75,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/dcx/package-info,true,NA,NA,true,NA,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/dcx/DcxImageParser,true,248,2500,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/pcx/PcxWriter,true,142,7258,true,22,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/pcx/PcxConstants,true,0,32,true,0,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/pcx/package-info,true,NA,NA,true,NA,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/pcx/PcxImageParser,true,513,9973,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/bmp/ImageContents,true,0,174,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/bmp/PixelParserRle,true,133,1713,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/bmp/BmpImageParser,true,529,11537,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/bmp/BmpHeaderInfo,true,30,1070,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/bmp/package-info,true,NA,NA,true,NA,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/bmp/BmpWriterRgb,true,22,485,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/bmp/PixelParserSimple,true,6,252,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/bmp/PixelParser,true,16,444,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/bmp/BmpWriterPalette,true,33,1125,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/bmp/PixelParserBitFields,true,27,1788,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/bmp/BmpWriter,true,0,46,true,0,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/bmp/PixelParserRgb,true,124,1622,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/icns/IcnsDecoder,true,1006,3951,true,232,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/icns/Rle24Compression,true,7,563,true,0,true
