Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
commons-imaging/javac/org/apache/commons/imaging/ImageParser,true,208,3530,false,NA,false
commons-imaging/javac/org/apache/commons/imaging/palette/QuantizedPalette,true,12,910,true,4,true
commons-imaging/javac/org/apache/commons/imaging/palette/MedianCutImplementation,true,2,31,false,NA,NA
commons-imaging/javac/org/apache/commons/imaging/palette/MedianCutLongestAxisImplementation,true,428,1753,false,NA,false
commons-imaging/javac/org/apache/commons/imaging/palette/ColorComponent,true,56,174,false,NA,false
commons-imaging/javac/org/apache/commons/imaging/palette/PaletteFactory,true,487,6578,true,106,true
commons-imaging/javac/org/apache/commons/imaging/palette/ColorGroupCut,true,6,249,true,0,true
commons-imaging/javac/org/apache/commons/imaging/palette/package-info,true,NA,NA,true,NA,NA
commons-imaging/javac/org/apache/commons/imaging/palette/MedianCutPalette,true,11,160,true,0,true
commons-imaging/javac/org/apache/commons/imaging/palette/Palette,true,29,216,true,0,NA
commons-imaging/javac/org/apache/commons/imaging/palette/MedianCutQuantizer,true,126,1815,true,31,true
commons-imaging/javac/org/apache/commons/imaging/palette/Dithering,true,29,1745,true,0,true
commons-imaging/javac/org/apache/commons/imaging/palette/ColorSpaceSubset,true,310,4040,false,NA,false
commons-imaging/javac/org/apache/commons/imaging/palette/ColorCount,true,8,347,true,0,true
commons-imaging/javac/org/apache/commons/imaging/palette/ColorGroup,true,167,2630,false,NA,false
commons-imaging/javac/org/apache/commons/imaging/palette/SimplePalette,true,8,318,true,0,true
commons-imaging/javac/org/apache/commons/imaging/palette/MedianCutMostPopulatedBoxesImplementation,true,188,1801,false,NA,false
commons-imaging/javac/org/apache/commons/imaging/FormatCompliance,true,219,1921,true,20,true
commons-imaging/javac/org/apache/commons/imaging/formats/ico/IcoImageParser,true,1019,11148,false,NA,false
commons-imaging/javac/org/apache/commons/imaging/formats/ico/package-info,true,NA,NA,true,NA,NA
commons-imaging/javac/org/apache/commons/imaging/formats/wbmp/WbmpImageParser,true,266,3300,false,NA,false
commons-imaging/javac/org/apache/commons/imaging/formats/wbmp/package-info,true,NA,NA,true,NA,NA
commons-imaging/javac/org/apache/commons/imaging/formats/xbm/package-info,true,NA,NA,true,NA,NA
commons-imaging/javac/org/apache/commons/imaging/formats/xbm/XbmImageParser,true,419,5616,false,NA,false
commons-imaging/javac/org/apache/commons/imaging/formats/gif/GifHeaderInfo,true,15,522,true,0,true
commons-imaging/javac/org/apache/commons/imaging/formats/gif/ImageContents,true,3,137,false,NA,false
commons-imaging/javac/org/apache/commons/imaging/formats/gif/package-info,true,NA,NA,true,NA,NA
commons-imaging/javac/org/apache/commons/imaging/formats/gif/GifBlock,true,1,46,true,0,true
commons-imaging/javac/org/apache/commons/imaging/formats/gif/GenericGifBlock,true,5,363,true,5,true
commons-imaging/javac/org/apache/commons/imaging/formats/gif/ImageDescriptor,true,15,430,true,0,true
commons-imaging/javac/org/apache/commons/imaging/formats/gif/GraphicControlExtension,true,6,196,true,0,true
commons-imaging/javac/org/apache/commons/imaging/formats/gif/GifImageParser,true,1033,13214,false,NA,false
commons-imaging/javac/org/apache/commons/imaging/formats/tga/TgaConstants,true,NA,NA,true,NA,NA
commons-imaging/javac/org/apache/commons/imaging/formats/tga/TgaImageParser,true,NA,NA,true,NA,NA
commons-imaging/javac/org/apache/commons/imaging/formats/rgbe/package-info,true,NA,NA,true,NA,NA
commons-imaging/javac/org/apache/commons/imaging/formats/rgbe/InfoHeaderReader,true,3,220,true,0,true
commons-imaging/javac/org/apache/commons/imaging/formats/rgbe/RgbeImageParser,true,144,1141,false,NA,false
commons-imaging/javac/org/apache/commons/imaging/formats/rgbe/RgbeInfo,true,92,2251,true,0,true
commons-imaging/javac/org/apache/commons/imaging/formats/psd/ImageResourceType,true,60,2338,true,0,NA
commons-imaging/javac/org/apache/commons/imaging/formats/psd/ImageResourceBlock,true,11,242,true,0,true
commons-imaging/javac/org/apache/commons/imaging/formats/psd/dataparsers/DataParserGrayscale,true,19,234,true,0,NA
commons-imaging/javac/org/apache/commons/imaging/formats/psd/dataparsers/DataParserBitmap,true,18,276,true,0,NA
commons-imaging/javac/org/apache/commons/imaging/formats/psd/dataparsers/DataParserIndexed,true,37,522,true,0,NA
commons-imaging/javac/org/apache/commons/imaging/formats/psd/dataparsers/DataParserCmyk,true,8,445,true,0,NA
commons-imaging/javac/org/apache/commons/imaging/formats/psd/dataparsers/DataParser,true,11,320,true,0,true
commons-imaging/javac/org/apache/commons/imaging/formats/psd/dataparsers/DataParserLab,true,9,314,true,0,NA
commons-imaging/javac/org/apache/commons/imaging/formats/psd/dataparsers/DataParserRgb,true,22,356,true,0,true
commons-imaging/javac/org/apache/commons/imaging/formats/psd/dataparsers/DataParserStub,true,6,73,true,0,NA
commons-imaging/javac/org/apache/commons/imaging/formats/psd/ImageContents,true,83,723,true,0,true
commons-imaging/javac/org/apache/commons/imaging/formats/psd/PsdImageParser,true,737,7226,false,NA,false
commons-imaging/javac/org/apache/commons/imaging/formats/psd/PsdHeaderInfo,true,124,1080,true,1,true
commons-imaging/javac/org/apache/commons/imaging/formats/psd/package-info,true,NA,NA,true,NA,NA
commons-imaging/javac/org/apache/commons/imaging/formats/psd/datareaders/DataReader,true,4,71,true,0,true
commons-imaging/javac/org/apache/commons/imaging/formats/psd/datareaders/UncompressedDataReader,true,36,547,false,NA,NA
