Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
commons-imaging/eclipse/org/apache/commons/imaging/ImageParser,true,716,3530,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/palette/QuantizedPalette,true,141,910,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/palette/MedianCutImplementation,true,6,31,false,NA,NA
commons-imaging/eclipse/org/apache/commons/imaging/palette/MedianCutLongestAxisImplementation,true,420,1753,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/palette/ColorComponent,true,182,174,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/palette/PaletteFactory,true,1272,6578,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/palette/ColorGroupCut,true,35,249,true,14,true
commons-imaging/eclipse/org/apache/commons/imaging/palette/package-info,true,NA,NA,false,NA,NA
commons-imaging/eclipse/org/apache/commons/imaging/palette/MedianCutPalette,true,9,160,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/palette/Palette,true,64,216,false,NA,NA
commons-imaging/eclipse/org/apache/commons/imaging/palette/MedianCutQuantizer,true,356,1815,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/palette/Dithering,true,189,1745,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/palette/ColorSpaceSubset,true,916,4040,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/palette/ColorCount,true,32,347,true,24,true
commons-imaging/eclipse/org/apache/commons/imaging/palette/ColorGroup,true,564,2630,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/palette/SimplePalette,true,32,318,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/palette/MedianCutMostPopulatedBoxesImplementation,true,457,1801,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/FormatCompliance,true,388,1921,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/ico/IcoImageParser,true,1875,11148,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/ico/package-info,true,NA,NA,false,NA,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/wbmp/WbmpImageParser,true,574,3300,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/wbmp/package-info,true,NA,NA,false,NA,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/xbm/package-info,true,NA,NA,false,NA,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/xbm/XbmImageParser,true,863,5616,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/gif/GifHeaderInfo,true,15,522,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/gif/ImageContents,true,4,137,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/gif/package-info,true,NA,NA,false,NA,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/gif/GifBlock,true,1,46,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/gif/GenericGifBlock,true,37,363,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/gif/ImageDescriptor,true,12,430,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/gif/GraphicControlExtension,true,6,196,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/gif/GifImageParser,true,3862,13214,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/tga/TgaConstants,false,NA,NA,false,NA,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/tga/TgaImageParser,false,NA,NA,false,NA,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/rgbe/package-info,true,NA,NA,false,NA,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/rgbe/InfoHeaderReader,true,35,220,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/rgbe/RgbeImageParser,true,336,1141,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/rgbe/RgbeInfo,true,539,2251,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/ImageResourceType,true,486,2338,true,210,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/ImageResourceBlock,true,19,242,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/dataparsers/DataParserGrayscale,true,27,234,true,4,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/dataparsers/DataParserBitmap,true,44,276,true,15,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/dataparsers/DataParserIndexed,true,114,522,true,30,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/dataparsers/DataParserCmyk,true,60,445,true,34,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/dataparsers/DataParser,true,56,320,true,18,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/dataparsers/DataParserLab,true,38,314,true,16,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/dataparsers/DataParserRgb,true,58,356,true,32,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/dataparsers/DataParserStub,true,10,73,true,0,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/ImageContents,true,123,723,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/PsdImageParser,true,2609,7226,false,NA,false
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/PsdHeaderInfo,true,188,1080,true,0,true
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/package-info,true,NA,NA,false,NA,NA
commons-imaging/eclipse/org/apache/commons/imaging/formats/psd/datareaders/DataReader,true,4,71,false,NA,false
