Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
commons-lang/javac/org/apache/commons/lang3/Conversion,true,489,13842,true,40,true
commons-lang/javac/org/apache/commons/lang3/CharUtils,true,64,1629,true,0,true
commons-lang/javac/org/apache/commons/lang3/CharSequenceUtils,true,93,1856,true,64,true
commons-lang/javac/org/apache/commons/lang3/BooleanUtils,true,325,4667,true,27,true
commons-lang/javac/org/apache/commons/lang3/ArchUtils,true,24,1055,true,0,true
commons-lang/javac/org/apache/commons/lang3/CharSet,true,100,1822,true,28,true
commons-lang/javac/org/apache/commons/lang3/exception/ContextedException,true,44,780,true,0,true
commons-lang/javac/org/apache/commons/lang3/exception/package-info,false,NA,NA,false,NA,NA
commons-lang/javac/org/apache/commons/lang3/exception/DefaultExceptionContext,true,75,1406,true,20,true
commons-lang/javac/org/apache/commons/lang3/exception/ExceptionContext,true,0,78,true,0,NA
commons-lang/javac/org/apache/commons/lang3/exception/ContextedRuntimeException,true,44,780,true,0,true
commons-lang/javac/org/apache/commons/lang3/exception/ExceptionUtils,true,225,3948,false,NA,false
commons-lang/javac/org/apache/commons/lang3/exception/CloneFailedException,true,4,92,true,0,true
commons-lang/javac/org/apache/commons/lang3/RegExUtils,true,55,866,true,0,true
commons-lang/javac/org/apache/commons/lang3/event/EventListenerSupport,true,104,1629,false,NA,false
commons-lang/javac/org/apache/commons/lang3/event/EventUtils,true,46,1207,true,0,true
commons-lang/javac/org/apache/commons/lang3/event/package-info,false,NA,NA,false,NA,NA
commons-lang/javac/org/apache/commons/lang3/AnnotationUtils,true,127,4100,true,18,true
commons-lang/javac/org/apache/commons/lang3/math/package-info,false,NA,NA,false,NA,NA
commons-lang/javac/org/apache/commons/lang3/math/NumberUtils,true,728,10898,false,NA,false
commons-lang/javac/org/apache/commons/lang3/math/Fraction,true,560,7850,true,271,true
commons-lang/javac/org/apache/commons/lang3/math/IEEE754rUtils,true,56,1596,true,0,true
