Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
commons-lang/javac/org/apache/commons/lang3/Conversion,true,3106,13842,true,1697,false
commons-lang/javac/org/apache/commons/lang3/CharUtils,true,136,1629,true,34,true
commons-lang/javac/org/apache/commons/lang3/CharSequenceUtils,true,118,1856,true,119,true
commons-lang/javac/org/apache/commons/lang3/BooleanUtils,true,472,4667,true,44,false
commons-lang/javac/org/apache/commons/lang3/ArchUtils,true,51,1055,true,24,true
commons-lang/javac/org/apache/commons/lang3/CharSet,true,83,1822,true,96,true
commons-lang/javac/org/apache/commons/lang3/exception/ContextedException,true,56,780,true,0,true
commons-lang/javac/org/apache/commons/lang3/exception/package-info,false,NA,NA,false,NA,NA
commons-lang/javac/org/apache/commons/lang3/exception/DefaultExceptionContext,true,70,1406,true,13,true
commons-lang/javac/org/apache/commons/lang3/exception/ExceptionContext,true,3,78,true,0,NA
commons-lang/javac/org/apache/commons/lang3/exception/ContextedRuntimeException,true,56,780,true,0,true
commons-lang/javac/org/apache/commons/lang3/exception/ExceptionUtils,true,307,3948,false,NA,false
commons-lang/javac/org/apache/commons/lang3/exception/CloneFailedException,true,4,92,true,0,true
commons-lang/javac/org/apache/commons/lang3/RegExUtils,true,103,866,true,15,true
commons-lang/javac/org/apache/commons/lang3/event/EventListenerSupport,true,141,1629,false,NA,false
commons-lang/javac/org/apache/commons/lang3/event/EventUtils,true,142,1207,false,NA,false
commons-lang/javac/org/apache/commons/lang3/event/package-info,false,NA,NA,false,NA,NA
commons-lang/javac/org/apache/commons/lang3/AnnotationUtils,true,269,4100,false,NA,false
commons-lang/javac/org/apache/commons/lang3/math/package-info,false,NA,NA,false,NA,NA
commons-lang/javac/org/apache/commons/lang3/math/NumberUtils,true,844,10898,false,NA,false
commons-lang/javac/org/apache/commons/lang3/math/Fraction,true,913,7850,true,693,false
commons-lang/javac/org/apache/commons/lang3/math/IEEE754rUtils,true,198,1596,true,160,true
commons-lang/javac/org/apache/commons/lang3/package-info,false,NA,NA,false,NA,NA
commons-lang/javac/org/apache/commons/lang3/NotImplementedException,true,11,311,true,0,true
commons-lang/javac/org/apache/commons/lang3/ArrayUtils,false,NA,NA,false,NA,false
commons-lang/javac/org/apache/commons/lang3/LocaleUtils,true,226,3010,false,NA,false
commons-lang/javac/org/apache/commons/lang3/CharRange,true,414,2596,false,NA,false
commons-lang/javac/org/apache/commons/lang3/CharSetUtils,true,139,1355,true,114,false
commons-lang/javac/org/apache/commons/lang3/time/DurationFormatUtils,true,673,7170,false,NA,false
commons-lang/javac/org/apache/commons/lang3/time/FastDateParser,true,1850,10316,false,NA,false
commons-lang/javac/org/apache/commons/lang3/time/DateParser,true,3,82,true,0,NA
commons-lang/javac/org/apache/commons/lang3/time/FastDatePrinter,true,2459,12893,false,NA,false
commons-lang/javac/org/apache/commons/lang3/time/FastTimeZone,true,26,579,true,11,true
commons-lang/javac/org/apache/commons/lang3/time/DatePrinter,true,7,170,true,44,NA
commons-lang/javac/org/apache/commons/lang3/time/StopWatch,true,235,2441,false,NA,false
commons-lang/javac/org/apache/commons/lang3/time/FastDateFormat,true,265,2741,false,NA,false
commons-lang/javac/org/apache/commons/lang3/time/FormatCache,true,229,1786,false,NA,false
commons-lang/javac/org/apache/commons/lang3/time/package-info,false,NA,NA,false,NA,NA
commons-lang/javac/org/apache/commons/lang3/time/GmtTimeZone,true,104,861,true,33,true
commons-lang/javac/org/apache/commons/lang3/time/TimeZones,true,1,20,true,0,NA
commons-lang/javac/org/apache/commons/lang3/time/DateFormatUtils,true,83,1490,true,40,true
commons-lang/javac/org/apache/commons/lang3/time/DateUtils,true,3139,10223,false,NA,false
commons-lang/javac/org/apache/commons/lang3/builder/MultilineRecursiveToStringStyle,true,231,2651,true,58,true
commons-lang/javac/org/apache/commons/lang3/builder/RecursiveToStringStyle,true,24,462,true,25,true
commons-lang/javac/org/apache/commons/lang3/builder/CompareToBuilder,true,1046,7640,false,NA,false
commons-lang/javac/org/apache/commons/lang3/builder/HashCodeExclude,true,4,38,true,2,NA
commons-lang/javac/org/apache/commons/lang3/builder/Builder,true,0,7,true,0,NA
commons-lang/javac/org/apache/commons/lang3/builder/ToStringSummary,true,4,38,true,2,NA
commons-lang/javac/org/apache/commons/lang3/builder/HashCodeBuilder,true,475,4737,true,138,true
commons-lang/javac/org/apache/commons/lang3/builder/package-info,false,NA,NA,false,NA,NA
commons-lang/javac/org/apache/commons/lang3/builder/DiffBuilder,true,1154,6853,false,NA,false
commons-lang/javac/org/apache/commons/lang3/builder/ReflectionToStringBuilder,true,186,3228,true,27,true
commons-lang/javac/org/apache/commons/lang3/builder/Diffable,true,0,11,true,0,NA
commons-lang/javac/org/apache/commons/lang3/builder/StandardToStringStyle,true,155,1322,true,0,true
commons-lang/javac/org/apache/commons/lang3/builder/ToStringBuilder,true,479,5438,true,5,true
commons-lang/javac/org/apache/commons/lang3/builder/Diff,true,23,427,true,0,true
commons-lang/javac/org/apache/commons/lang3/builder/EqualsExclude,true,4,38,true,2,NA
commons-lang/javac/org/apache/commons/lang3/builder/ToStringStyle,true,3650,16607,false,NA,false
commons-lang/javac/org/apache/commons/lang3/builder/DiffResult,true,81,1004,true,24,true
commons-lang/javac/org/apache/commons/lang3/builder/EqualsBuilder,true,914,8726,false,NA,false
commons-lang/javac/org/apache/commons/lang3/builder/ReflectionDiffBuilder,true,55,712,true,20,true
commons-lang/javac/org/apache/commons/lang3/builder/ToStringExclude,true,4,38,true,2,NA
commons-lang/javac/org/apache/commons/lang3/builder/IDKey,true,36,248,true,12,true
commons-lang/javac/org/apache/commons/lang3/SystemUtils,true,264,3960,false,NA,false
commons-lang/javac/org/apache/commons/lang3/CharEncoding,true,10,139,true,10,true
commons-lang/javac/org/apache/commons/lang3/Functions,false,NA,NA,false,NA,false
commons-lang/javac/org/apache/commons/lang3/SerializationUtils,true,309,1734,false,NA,false
commons-lang/javac/org/apache/commons/lang3/JavaVersion,true,122,1672,true,50,true
commons-lang/javac/org/apache/commons/lang3/StringEscapeUtils,true,1042,4371,false,NA,false
commons-lang/javac/org/apache/commons/lang3/StringUtils,true,8712,44491,true,2304,false
commons-lang/javac/org/apache/commons/lang3/SerializationException,true,12,103,true,7,false
commons-lang/javac/org/apache/commons/lang3/ThreadUtils,true,368,2639,false,NA,false
commons-lang/javac/org/apache/commons/lang3/RandomStringUtils,true,189,2385,true,257,true
commons-lang/javac/org/apache/commons/lang3/Validate,true,546,5835,false,NA,false
commons-lang/javac/org/apache/commons/lang3/Range,true,436,3204,false,NA,false
commons-lang/javac/org/apache/commons/lang3/RandomUtils,true,184,977,true,107,true
commons-lang/javac/org/apache/commons/lang3/arch/package-info,false,NA,NA,false,NA,NA
commons-lang/javac/org/apache/commons/lang3/arch/Processor,true,100,586,false,NA,false
commons-lang/javac/org/apache/commons/lang3/reflect/ConstructorUtils,true,141,2172,false,NA,false
commons-lang/javac/org/apache/commons/lang3/reflect/FieldUtils,true,650,5051,false,NA,false
commons-lang/javac/org/apache/commons/lang3/reflect/package-info,false,NA,NA,false,NA,NA
commons-lang/javac/org/apache/commons/lang3/reflect/MethodUtils,true,612,10145,false,NA,false
commons-lang/javac/org/apache/commons/lang3/reflect/Typed,true,0,7,true,0,NA
commons-lang/javac/org/apache/commons/lang3/reflect/InheritanceUtils,true,16,344,true,3,true
commons-lang/javac/org/apache/commons/lang3/reflect/MemberUtils,true,287,4000,false,NA,false
commons-lang/javac/org/apache/commons/lang3/reflect/TypeUtils,true,1464,19914,false,NA,false
commons-lang/javac/org/apache/commons/lang3/reflect/TypeLiteral,true,62,680,true,44,false
commons-lang/javac/org/apache/commons/lang3/tuple/package-info,false,NA,NA,false,NA,NA
commons-lang/javac/org/apache/commons/lang3/tuple/MutablePair,true,28,418,true,7,false
commons-lang/javac/org/apache/commons/lang3/tuple/ImmutableTriple,true,29,456,true,0,true
commons-lang/javac/org/apache/commons/lang3/tuple/Triple,true,50,1219,true,26,true
commons-lang/javac/org/apache/commons/lang3/tuple/MutableTriple,true,37,522,true,7,false
commons-lang/javac/org/apache/commons/lang3/tuple/Pair,true,59,924,true,26,true
commons-lang/javac/org/apache/commons/lang3/tuple/ImmutablePair,true,24,349,true,0,true
commons-lang/javac/org/apache/commons/lang3/ObjectUtils,true,347,4690,false,NA,false
commons-lang/javac/org/apache/commons/lang3/ClassUtils,true,821,13782,false,NA,false
commons-lang/javac/org/apache/commons/lang3/concurrent/ConcurrentException,true,4,110,true,0,true
commons-lang/javac/org/apache/commons/lang3/concurrent/CallableBackgroundInitializer,true,31,297,true,9,true
commons-lang/javac/org/apache/commons/lang3/concurrent/package-info,false,NA,NA,false,NA,NA
