Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
commons-lang/javac/org/apache/commons/lang3/StringUtils,true,7263,44491,false,NA,false
commons-lang/javac/org/apache/commons/lang3/exception/CloneFailedException,true,4,92,true,0,true
commons-lang/javac/org/apache/commons/lang3/exception/ExceptionContext,true,0,78,true,0,NA
commons-lang/javac/org/apache/commons/lang3/exception/ContextedRuntimeException,true,56,780,true,0,true
commons-lang/javac/org/apache/commons/lang3/exception/ContextedException,true,56,780,true,0,true
commons-lang/javac/org/apache/commons/lang3/exception/package-info,false,NA,NA,false,NA,NA
commons-lang/javac/org/apache/commons/lang3/exception/ExceptionUtils,true,121,3948,false,NA,false
commons-lang/javac/org/apache/commons/lang3/exception/DefaultExceptionContext,true,51,1406,true,0,true
commons-lang/javac/org/apache/commons/lang3/Validate,true,404,5835,true,3,true
commons-lang/javac/org/apache/commons/lang3/SystemUtils,true,138,3960,true,0,true
commons-lang/javac/org/apache/commons/lang3/BitField,true,69,949,true,0,true
commons-lang/javac/org/apache/commons/lang3/JavaVersion,true,122,1672,false,NA,false
commons-lang/javac/org/apache/commons/lang3/CharUtils,true,65,1629,false,NA,false
commons-lang/javac/org/apache/commons/lang3/ArrayUtils,true,8427,62019,true,193,false
commons-lang/javac/org/apache/commons/lang3/CharSetUtils,true,151,1355,false,NA,false
commons-lang/javac/org/apache/commons/lang3/SerializationException,true,5,103,true,0,true
commons-lang/javac/org/apache/commons/lang3/NotImplementedException,true,11,311,true,0,true
commons-lang/javac/org/apache/commons/lang3/RegExUtils,true,55,866,true,0,true
commons-lang/javac/org/apache/commons/lang3/ClassPathUtils,true,36,566,true,0,true
commons-lang/javac/org/apache/commons/lang3/concurrent/Computable,true,0,16,true,0,NA
commons-lang/javac/org/apache/commons/lang3/concurrent/CircuitBreakingException,true,5,103,true,0,true
commons-lang/javac/org/apache/commons/lang3/concurrent/ConcurrentInitializer,true,0,10,true,0,NA
commons-lang/javac/org/apache/commons/lang3/concurrent/BasicThreadFactory,true,136,1586,false,NA,false
commons-lang/javac/org/apache/commons/lang3/concurrent/AtomicInitializer,true,10,228,true,0,true
