Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
commons-lang/javac/org/apache/commons/lang3/Conversion,true,4124,13842,true,NA,false
commons-lang/javac/org/apache/commons/lang3/CharUtils,true,88,1629,true,1,true
commons-lang/javac/org/apache/commons/lang3/CharSequenceUtils,true,77,1856,true,10,true
commons-lang/javac/org/apache/commons/lang3/BooleanUtils,true,339,4667,false,NA,false
commons-lang/javac/org/apache/commons/lang3/ArchUtils,true,115,1055,false,NA,false
commons-lang/javac/org/apache/commons/lang3/CharSet,true,98,1822,false,NA,false
commons-lang/javac/org/apache/commons/lang3/exception/ContextedException,true,103,780,false,NA,false
commons-lang/javac/org/apache/commons/lang3/exception/package-info,true,NA,NA,true,NA,NA
commons-lang/javac/org/apache/commons/lang3/exception/DefaultExceptionContext,true,192,1406,false,NA,false
commons-lang/javac/org/apache/commons/lang3/exception/ExceptionContext,true,0,78,true,6,NA
commons-lang/javac/org/apache/commons/lang3/exception/ContextedRuntimeException,true,103,780,false,NA,false
commons-lang/javac/org/apache/commons/lang3/exception/ExceptionUtils,true,1070,3948,false,NA,false
commons-lang/javac/org/apache/commons/lang3/exception/CloneFailedException,true,4,92,true,0,true
commons-lang/javac/org/apache/commons/lang3/RegExUtils,true,55,866,true,0,true
commons-lang/javac/org/apache/commons/lang3/event/EventListenerSupport,true,356,1629,true,NA,false
commons-lang/javac/org/apache/commons/lang3/event/EventUtils,true,90,1207,false,NA,false
commons-lang/javac/org/apache/commons/lang3/event/package-info,true,NA,NA,true,NA,NA
commons-lang/javac/org/apache/commons/lang3/AnnotationUtils,true,796,4100,true,NA,false
commons-lang/javac/org/apache/commons/lang3/math/package-info,true,NA,NA,true,NA,NA
commons-lang/javac/org/apache/commons/lang3/math/NumberUtils,true,977,10898,false,NA,false
commons-lang/javac/org/apache/commons/lang3/math/Fraction,true,329,7850,false,NA,false
commons-lang/javac/org/apache/commons/lang3/math/IEEE754rUtils,true,56,1596,false,NA,false
commons-lang/javac/org/apache/commons/lang3/package-info,true,NA,NA,true,NA,NA
commons-lang/javac/org/apache/commons/lang3/NotImplementedException,true,14,311,true,0,true
commons-lang/javac/org/apache/commons/lang3/ArrayUtils,true,10051,62019,false,NA,false
commons-lang/javac/org/apache/commons/lang3/LocaleUtils,true,159,3010,true,16,true
commons-lang/javac/org/apache/commons/lang3/CharRange,true,195,2596,false,NA,false
commons-lang/javac/org/apache/commons/lang3/CharSetUtils,true,168,1355,false,NA,false
commons-lang/javac/org/apache/commons/lang3/time/DurationFormatUtils,true,622,7170,true,1,true
commons-lang/javac/org/apache/commons/lang3/time/FastDateParser,true,2490,10316,false,NA,false
commons-lang/javac/org/apache/commons/lang3/time/DateParser,true,0,82,true,0,NA
commons-lang/javac/org/apache/commons/lang3/time/FastDatePrinter,true,1644,12893,false,NA,false
commons-lang/javac/org/apache/commons/lang3/time/FastTimeZone,true,8,579,true,0,true
commons-lang/javac/org/apache/commons/lang3/time/DatePrinter,true,15,170,false,NA,NA
commons-lang/javac/org/apache/commons/lang3/time/StopWatch,true,575,2441,true,NA,false
commons-lang/javac/org/apache/commons/lang3/time/FastDateFormat,true,200,2741,false,NA,false
commons-lang/javac/org/apache/commons/lang3/time/FormatCache,true,141,1786,false,NA,false
commons-lang/javac/org/apache/commons/lang3/time/package-info,true,NA,NA,true,NA,NA
commons-lang/javac/org/apache/commons/lang3/time/GmtTimeZone,true,89,861,true,0,true
commons-lang/javac/org/apache/commons/lang3/time/TimeZones,true,1,20,true,0,NA
commons-lang/javac/org/apache/commons/lang3/time/DateFormatUtils,true,78,1490,true,8,true
commons-lang/javac/org/apache/commons/lang3/time/DateUtils,true,2740,10223,false,NA,false
commons-lang/javac/org/apache/commons/lang3/builder/MultilineRecursiveToStringStyle,true,555,2651,true,NA,false
commons-lang/javac/org/apache/commons/lang3/builder/RecursiveToStringStyle,true,104,462,false,NA,false
commons-lang/javac/org/apache/commons/lang3/builder/CompareToBuilder,true,135,7640,false,NA,false
