Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
commons-lang/javac/org/apache/commons/lang3/StringUtils,true,14618,44491,false,NA,false
commons-lang/javac/org/apache/commons/lang3/exception/CloneFailedException,true,4,92,true,0,true
commons-lang/javac/org/apache/commons/lang3/exception/ExceptionContext,true,1,78,true,6,NA
commons-lang/javac/org/apache/commons/lang3/exception/ContextedRuntimeException,true,144,780,false,NA,false
commons-lang/javac/org/apache/commons/lang3/exception/ContextedException,true,144,780,false,NA,false
commons-lang/javac/org/apache/commons/lang3/exception/package-info,false,NA,NA,false,NA,NA
commons-lang/javac/org/apache/commons/lang3/exception/ExceptionUtils,true,571,3948,false,NA,false
commons-lang/javac/org/apache/commons/lang3/exception/DefaultExceptionContext,true,257,1406,false,NA,false
commons-lang/javac/org/apache/commons/lang3/Validate,true,896,5835,false,NA,false
commons-lang/javac/org/apache/commons/lang3/SystemUtils,true,828,3960,true,154,true
commons-lang/javac/org/apache/commons/lang3/BitField,true,229,949,true,73,true
commons-lang/javac/org/apache/commons/lang3/JavaVersion,true,605,1672,false,NA,false
commons-lang/javac/org/apache/commons/lang3/CharUtils,true,609,1629,false,NA,false
commons-lang/javac/org/apache/commons/lang3/ArrayUtils,true,NA,62019,false,NA,false
commons-lang/javac/org/apache/commons/lang3/CharSetUtils,true,343,1355,false,NA,false
commons-lang/javac/org/apache/commons/lang3/SerializationException,true,5,103,true,0,true
commons-lang/javac/org/apache/commons/lang3/NotImplementedException,true,11,311,true,2,true
commons-lang/javac/org/apache/commons/lang3/RegExUtils,true,71,866,true,48,true
commons-lang/javac/org/apache/commons/lang3/ClassPathUtils,true,149,566,true,84,true
commons-lang/javac/org/apache/commons/lang3/concurrent/Computable,true,8,16,false,NA,NA
commons-lang/javac/org/apache/commons/lang3/concurrent/CircuitBreakingException,true,5,103,true,0,true
commons-lang/javac/org/apache/commons/lang3/concurrent/ConcurrentInitializer,true,5,10,false,NA,NA
commons-lang/javac/org/apache/commons/lang3/concurrent/BasicThreadFactory,true,261,1586,false,NA,false
commons-lang/javac/org/apache/commons/lang3/concurrent/AtomicInitializer,true,29,228,true,10,true
commons-lang/javac/org/apache/commons/lang3/concurrent/EventCountCircuitBreaker,true,429,2589,false,NA,false
commons-lang/javac/org/apache/commons/lang3/concurrent/TimedSemaphore,true,256,1609,false,NA,false
commons-lang/javac/org/apache/commons/lang3/concurrent/MultiBackgroundInitializer,true,332,1895,false,NA,false
commons-lang/javac/org/apache/commons/lang3/concurrent/package-info,false,NA,NA,false,NA,NA
commons-lang/javac/org/apache/commons/lang3/concurrent/ConcurrentUtils,true,240,1364,false,NA,false
commons-lang/javac/org/apache/commons/lang3/concurrent/CallableBackgroundInitializer,true,26,297,false,NA,false
commons-lang/javac/org/apache/commons/lang3/concurrent/ConcurrentException,true,4,110,true,0,true
commons-lang/javac/org/apache/commons/lang3/concurrent/ConstantInitializer,true,65,474,true,30,true
commons-lang/javac/org/apache/commons/lang3/concurrent/CircuitBreaker,true,6,36,false,NA,NA
commons-lang/javac/org/apache/commons/lang3/concurrent/Memoizer,true,NA,860,false,NA,false
commons-lang/javac/org/apache/commons/lang3/concurrent/ConcurrentRuntimeException,true,4,114,true,0,true
commons-lang/javac/org/apache/commons/lang3/concurrent/ThresholdCircuitBreaker,true,56,383,true,10,false
commons-lang/javac/org/apache/commons/lang3/concurrent/BackgroundInitializer,true,NA,966,false,NA,false
commons-lang/javac/org/apache/commons/lang3/concurrent/AbstractCircuitBreaker,true,105,823,false,NA,false
commons-lang/javac/org/apache/commons/lang3/concurrent/AtomicSafeInitializer,true,55,247,true,25,true
