Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
commons-lang/javac/org/apache/commons/lang3/Conversion,true,140,13842,true,7,false
commons-lang/javac/org/apache/commons/lang3/CharUtils,true,64,1629,true,0,true
commons-lang/javac/org/apache/commons/lang3/CharSequenceUtils,true,32,1856,true,0,true
commons-lang/javac/org/apache/commons/lang3/BooleanUtils,true,100,4667,true,0,true
commons-lang/javac/org/apache/commons/lang3/ArchUtils,true,3,1055,true,0,true
commons-lang/javac/org/apache/commons/lang3/CharSet,true,108,1822,true,3,true
commons-lang/javac/org/apache/commons/lang3/exception/ContextedException,true,31,780,true,0,true
commons-lang/javac/org/apache/commons/lang3/exception/package-info,true,NA,NA,true,NA,NA
commons-lang/javac/org/apache/commons/lang3/exception/DefaultExceptionContext,true,47,1406,true,0,true
commons-lang/javac/org/apache/commons/lang3/exception/ExceptionContext,true,7,78,true,0,NA
commons-lang/javac/org/apache/commons/lang3/exception/ContextedRuntimeException,true,31,780,true,0,true
commons-lang/javac/org/apache/commons/lang3/exception/ExceptionUtils,true,89,3948,false,NA,false
commons-lang/javac/org/apache/commons/lang3/exception/CloneFailedException,true,0,92,true,0,true
commons-lang/javac/org/apache/commons/lang3/RegExUtils,true,18,866,true,0,true
commons-lang/javac/org/apache/commons/lang3/event/EventListenerSupport,true,85,1629,true,0,true
commons-lang/javac/org/apache/commons/lang3/event/EventUtils,true,52,1207,true,0,true
commons-lang/javac/org/apache/commons/lang3/event/package-info,true,NA,NA,true,NA,NA
commons-lang/javac/org/apache/commons/lang3/AnnotationUtils,true,169,4100,false,NA,false
commons-lang/javac/org/apache/commons/lang3/math/package-info,true,NA,NA,true,NA,NA
commons-lang/javac/org/apache/commons/lang3/math/NumberUtils,true,411,10898,true,406,true
commons-lang/javac/org/apache/commons/lang3/math/Fraction,true,490,7850,true,26,true
commons-lang/javac/org/apache/commons/lang3/math/IEEE754rUtils,true,32,1596,true,0,true
commons-lang/javac/org/apache/commons/lang3/package-info,true,NA,NA,true,NA,NA
commons-lang/javac/org/apache/commons/lang3/NotImplementedException,true,0,311,true,0,true
commons-lang/javac/org/apache/commons/lang3/ArrayUtils,true,1872,62019,false,NA,false
commons-lang/javac/org/apache/commons/lang3/LocaleUtils,true,42,3010,true,10,true
commons-lang/javac/org/apache/commons/lang3/CharRange,true,224,2596,true,0,true
