Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
dctest/javac/org/program/transformation/Usa,true,50,376,false,NA,false
dctest/javac/org/program/transformation/Lambda,true,125,343,false,NA,false
dctest/javac/org/program/transformation/Foo,true,19,104,true,15,true
dctest/javac/org/program/transformation/Casting,true,72,112,true,30,false
dctest/javac/org/program/transformation/Fibo,true,74,309,true,44,true
dctest/javac/org/program/transformation/TryFinally,false,NA,NA,false,NA,false
dctest/javac/org/program/transformation/sable/Circle,true,0,64,true,0,true
dctest/javac/org/program/transformation/sable/Drawable,true,1,5,true,0,true
dctest/javac/org/program/transformation/sable/Main,true,7,238,false,NA,false
dctest/javac/org/program/transformation/sable/Rectangle,true,14,130,true,11,true
