Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
joda-time/javac/org/joda/time/MutableInterval,true,107,1651,false,NA,false
joda-time/javac/org/joda/time/Chronology,true,0,405,true,0,NA
joda-time/javac/org/joda/time/Days,true,83,1983,true,0,true
joda-time/javac/org/joda/time/Interval,true,145,2000,true,6,true
joda-time/javac/org/joda/time/UTCDateTimeZone,true,22,296,true,0,true
joda-time/javac/org/joda/time/DateTimeFieldType,true,324,3939,false,NA,false
joda-time/javac/org/joda/time/chrono/BuddhistChronology,true,35,1530,true,8,true
joda-time/javac/org/joda/time/chrono/AssembledChronology,true,671,7401,false,NA,false
joda-time/javac/org/joda/time/chrono/EthiopicChronology,true,98,1820,true,64,true
joda-time/javac/org/joda/time/chrono/BaseChronology,true,266,4085,true,140,true
joda-time/javac/org/joda/time/chrono/BasicWeekOfWeekyearDateTimeField,true,59,789,true,6,true
joda-time/javac/org/joda/time/chrono/BasicWeekyearDateTimeField,true,157,1798,true,4,true
joda-time/javac/org/joda/time/chrono/GJChronology,true,3458,14126,true,94,true
joda-time/javac/org/joda/time/chrono/GJMonthOfYearDateTimeField,true,2,256,true,0,true
joda-time/javac/org/joda/time/chrono/LimitChronology,true,1137,8528,false,NA,false
joda-time/javac/org/joda/time/chrono/LenientChronology,true,178,1522,true,9,true
joda-time/javac/org/joda/time/chrono/BasicSingleEraDateTimeField,true,46,555,true,0,true
joda-time/javac/org/joda/time/chrono/GJLocaleSymbols,true,303,3577,true,40,true
joda-time/javac/org/joda/time/chrono/GJCacheKey,true,84,682,true,51,true
joda-time/javac/org/joda/time/chrono/ZonedChronology,true,2719,10361,true,32,true
joda-time/javac/org/joda/time/chrono/IslamicChronology,true,365,4278,true,70,false
joda-time/javac/org/joda/time/chrono/CopticChronology,true,96,1859,true,90,true
joda-time/javac/org/joda/time/chrono/GJEraDateTimeField,true,86,906,false,NA,false
joda-time/javac/org/joda/time/chrono/BasicChronology,true,640,6967,true,87,true
joda-time/javac/org/joda/time/chrono/BasicGJChronology,true,212,2290,true,20,true
joda-time/javac/org/joda/time/chrono/BasicYearDateTimeField,true,106,1261,false,NA,false
joda-time/javac/org/joda/time/chrono/BasicFixedMonthChronology,true,94,986,true,2,true
joda-time/javac/org/joda/time/chrono/ISOChronology,true,68,1245,true,12,true
joda-time/javac/org/joda/time/chrono/GJDayOfWeekDateTimeField,true,20,432,true,0,true
joda-time/javac/org/joda/time/chrono/BasicMonthOfYearDateTimeField,true,405,3897,true,412,true
joda-time/javac/org/joda/time/chrono/BasicDayOfYearDateTimeField,true,55,766,true,6,true
joda-time/javac/org/joda/time/chrono/BasicDayOfMonthDateTimeField,true,66,881,true,20,true
joda-time/javac/org/joda/time/chrono/GJYearOfEraDateTimeField,true,58,865,true,0,true
joda-time/javac/org/joda/time/chrono/GregorianChronology,true,102,1685,true,42,true
joda-time/javac/org/joda/time/chrono/JulianChronology,true,112,1862,true,60,true
joda-time/javac/org/joda/time/chrono/StrictChronology,true,59,1414,true,9,true
joda-time/javac/org/joda/time/chrono/ISOYearOfEraDateTimeField,true,58,805,true,0,true
joda-time/javac/org/joda/time/DurationField,true,9,389,true,0,true
joda-time/javac/org/joda/time/DurationFieldType,true,160,1911,false,NA,false
joda-time/javac/org/joda/time/IllegalFieldValueException,true,236,3015,true,0,true
joda-time/javac/org/joda/time/Hours,true,80,2021,true,0,true
joda-time/javac/org/joda/time/ReadableInterval,true,0,141,true,0,NA
joda-time/javac/org/joda/time/DateTimeZone,true,479,8451,true,322,true
joda-time/javac/org/joda/time/ReadablePeriod,true,0,75,true,0,NA
joda-time/javac/org/joda/time/PeriodType,true,270,7615,true,247,true
joda-time/javac/org/joda/time/DateTime,true,2726,9475,true,6,true
joda-time/javac/org/joda/time/LocalDate,true,2839,11623,true,54,true
joda-time/javac/org/joda/time/DateTimeComparator,true,120,1648,false,NA,false
joda-time/javac/org/joda/time/field/MillisDurationField,true,12,659,true,0,true
joda-time/javac/org/joda/time/field/BaseDurationField,true,36,547,true,0,true
joda-time/javac/org/joda/time/field/FieldUtils,true,39,2157,true,2,true
joda-time/javac/org/joda/time/field/DecoratedDateTimeField,true,37,448,true,0,true
joda-time/javac/org/joda/time/field/BaseDateTimeField,true,455,5386,true,194,true
joda-time/javac/org/joda/time/field/DelegatedDurationField,true,112,1192,true,0,NA
joda-time/javac/org/joda/time/field/ScaledDurationField,true,139,1307,true,2,true
joda-time/javac/org/joda/time/field/RemainderDateTimeField,true,154,1485,true,6,true
joda-time/javac/org/joda/time/field/AbstractReadableInstantFieldProperty,true,234,1870,false,NA,false
joda-time/javac/org/joda/time/field/ZeroIsMaxDateTimeField,true,96,1183,true,0,true
joda-time/javac/org/joda/time/field/DividedDateTimeField,true,194,2094,true,6,true
joda-time/javac/org/joda/time/field/AbstractPartialFieldProperty,true,173,1332,false,NA,false
joda-time/javac/org/joda/time/field/ImpreciseDateTimeField,true,56,1077,true,33,true
joda-time/javac/org/joda/time/field/LenientDateTimeField,true,18,404,true,0,true
joda-time/javac/org/joda/time/field/SkipDateTimeField,true,60,645,true,8,true
joda-time/javac/org/joda/time/field/UnsupportedDurationField,true,95,1053,true,0,true
joda-time/javac/org/joda/time/field/DelegatedDateTimeField,true,276,2833,true,0,true
joda-time/javac/org/joda/time/field/UnsupportedDateTimeField,true,244,2027,true,0,true
joda-time/javac/org/joda/time/field/OffsetDateTimeField,true,135,1452,true,14,true
joda-time/javac/org/joda/time/field/PreciseDurationDateTimeField,true,98,807,true,4,true
joda-time/javac/org/joda/time/field/PreciseDurationField,true,52,668,true,2,true
joda-time/javac/org/joda/time/field/PreciseDateTimeField,true,71,708,true,0,true
joda-time/javac/org/joda/time/field/StrictDateTimeField,true,6,253,true,0,true
joda-time/javac/org/joda/time/field/DecoratedDurationField,true,30,533,true,0,true
joda-time/javac/org/joda/time/field/SkipUndoDateTimeField,true,58,569,true,10,true
joda-time/javac/org/joda/time/base/BaseDuration,true,34,762,true,0,true
joda-time/javac/org/joda/time/base/BaseDateTime,true,116,1548,true,16,true
joda-time/javac/org/joda/time/base/AbstractDateTime,true,150,1241,true,0,true
joda-time/javac/org/joda/time/base/AbstractInstant,true,147,1538,true,0,true
joda-time/javac/org/joda/time/base/BasePeriod,true,343,5476,true,88,true
joda-time/javac/org/joda/time/base/AbstractPeriod,true,98,1085,true,31,true
joda-time/javac/org/joda/time/base/AbstractDuration,true,42,865,false,NA,false
joda-time/javac/org/joda/time/base/BaseLocal,true,5,38,true,0,NA
joda-time/javac/org/joda/time/base/AbstractInterval,true,203,2010,true,3,true
joda-time/javac/org/joda/time/base/AbstractPartial,true,262,2247,true,101,true
joda-time/javac/org/joda/time/base/BaseInterval,true,250,2125,true,20,true
joda-time/javac/org/joda/time/base/BaseSingleFieldPeriod,true,102,1822,true,46,true
joda-time/javac/org/joda/time/base/BasePartial,true,82,1635,true,2,true
joda-time/javac/org/joda/time/YearMonthDay,true,373,5212,true,8,true
joda-time/javac/org/joda/time/Partial,true,727,8772,false,NA,false
joda-time/javac/org/joda/time/ReadableInstant,true,0,90,true,0,NA
joda-time/javac/org/joda/time/MutablePeriod,true,140,3760,false,NA,false
joda-time/javac/org/joda/time/ReadWritableDateTime,true,0,284,true,0,NA
joda-time/javac/org/joda/time/JodaTimePermission,true,0,34,true,0,NA
joda-time/javac/org/joda/time/ReadWritablePeriod,true,0,301,true,0,NA
joda-time/javac/org/joda/time/Seconds,true,78,1831,true,0,true
joda-time/javac/org/joda/time/ReadableDateTime,true,0,131,true,0,NA
joda-time/javac/org/joda/time/Period,true,806,10010,true,94,true
joda-time/javac/org/joda/time/ReadWritableInterval,true,0,119,true,0,NA
joda-time/javac/org/joda/time/DateTimeUtils,true,58,2567,true,17,true
joda-time/javac/org/joda/time/DateMidnight,true,592,6159,true,6,true
joda-time/javac/org/joda/time/Years,true,46,1545,true,0,true
joda-time/javac/org/joda/time/ReadWritableInstant,true,0,127,true,0,NA
joda-time/javac/org/joda/time/Duration,true,80,1646,true,0,true
joda-time/javac/org/joda/time/ReadableDuration,true,0,67,true,0,NA
joda-time/javac/org/joda/time/Weeks,true,88,1831,true,0,true
joda-time/javac/org/joda/time/format/DateTimeFormatter,true,640,6035,true,93,true
joda-time/javac/org/joda/time/format/FormatUtils,true,187,3988,true,25,true
joda-time/javac/org/joda/time/format/PeriodFormat,true,22,3668,true,7,true
joda-time/javac/org/joda/time/format/PeriodFormatterBuilder,true,4920,25409,false,NA,false
joda-time/javac/org/joda/time/format/InternalPrinterDateTimePrinter,true,25,809,true,0,false
joda-time/javac/org/joda/time/format/InternalParser,true,0,22,true,0,NA
joda-time/javac/org/joda/time/format/DateTimeParser,true,0,22,true,0,NA
joda-time/javac/org/joda/time/format/DateTimeParserBucket,true,416,5264,false,NA,false
joda-time/javac/org/joda/time/format/DateTimePrinterInternalPrinter,true,82,786,true,8,true
joda-time/javac/org/joda/time/format/PeriodParser,true,0,21,true,0,NA
joda-time/javac/org/joda/time/format/InternalPrinter,true,0,57,true,0,NA
joda-time/javac/org/joda/time/format/PeriodPrinter,true,0,67,true,0,NA
joda-time/javac/org/joda/time/format/DateTimeParserInternalParser,true,9,242,true,0,true
joda-time/javac/org/joda/time/format/ISOPeriodFormat,true,1,902,true,0,true
joda-time/javac/org/joda/time/format/DateTimeFormat,true,590,6355,false,NA,false
joda-time/javac/org/joda/time/format/PeriodFormatter,true,162,1645,true,0,true
joda-time/javac/org/joda/time/format/InternalParserDateTimeParser,true,13,425,true,0,true
joda-time/javac/org/joda/time/format/DateTimeFormatterBuilder,true,3839,24548,false,NA,false
joda-time/javac/org/joda/time/format/ISODateTimeFormat,true,45,13387,true,24,true
joda-time/javac/org/joda/time/format/DateTimePrinter,true,0,103,true,0,NA
joda-time/javac/org/joda/time/MutableDateTime,true,2501,7828,false,NA,false
joda-time/javac/org/joda/time/Months,true,46,1887,true,0,true
joda-time/javac/org/joda/time/YearMonth,true,302,4635,true,8,true
joda-time/javac/org/joda/time/DateTimeConstants,true,60,572,true,0,NA
joda-time/javac/org/joda/time/TimeOfDay,true,389,5726,true,8,true
joda-time/javac/org/joda/time/Instant,true,65,966,true,0,true
joda-time/javac/org/joda/time/DateTimeField,true,0,606,true,0,NA
joda-time/javac/org/joda/time/tz/DefaultNameProvider,true,71,1479,false,NA,false
joda-time/javac/org/joda/time/tz/DateTimeZoneBuilder,true,3848,22892,false,NA,false
joda-time/javac/org/joda/time/tz/Provider,true,0,17,true,0,NA
joda-time/javac/org/joda/time/tz/CachedDateTimeZone,true,186,2310,true,90,true
joda-time/javac/org/joda/time/tz/NameProvider,true,0,34,true,0,NA
joda-time/javac/org/joda/time/tz/ZoneInfoCompiler,true,968,12215,false,NA,false
joda-time/javac/org/joda/time/tz/ZoneInfoProvider,true,160,2273,true,53,true
joda-time/javac/org/joda/time/tz/UTCProvider,true,6,96,true,0,true
joda-time/javac/org/joda/time/tz/FixedDateTimeZone,true,53,694,true,0,true
joda-time/javac/org/joda/time/LocalDateTime,true,3450,13490,false,NA,false
joda-time/javac/org/joda/time/ReadablePartial,true,0,89,true,0,NA
joda-time/javac/org/joda/time/MonthDay,true,289,4610,true,12,true
joda-time/javac/org/joda/time/convert/PartialConverter,true,0,73,true,0,NA
joda-time/javac/org/joda/time/convert/DateConverter,true,3,96,true,0,true
joda-time/javac/org/joda/time/convert/Converter,true,0,11,true,0,NA
joda-time/javac/org/joda/time/convert/ReadableDurationConverter,true,4,274,true,0,true
joda-time/javac/org/joda/time/convert/StringConverter,true,88,2580,true,311,true
joda-time/javac/org/joda/time/convert/DurationConverter,true,0,12,true,0,NA
joda-time/javac/org/joda/time/convert/PeriodConverter,true,0,29,true,0,NA
joda-time/javac/org/joda/time/convert/ReadablePeriodConverter,true,4,128,true,0,true
joda-time/javac/org/joda/time/convert/AbstractConverter,true,13,364,true,0,true
joda-time/javac/org/joda/time/convert/ReadablePartialConverter,true,8,389,true,0,true
joda-time/javac/org/joda/time/convert/LongConverter,true,10,116,true,0,true
joda-time/javac/org/joda/time/convert/ReadableIntervalConverter,true,7,441,true,0,true
joda-time/javac/org/joda/time/convert/CalendarConverter,true,29,528,true,0,true
joda-time/javac/org/joda/time/convert/ConverterSet,true,206,3423,true,405,true
joda-time/javac/org/joda/time/convert/InstantConverter,true,0,42,true,0,NA
joda-time/javac/org/joda/time/convert/NullConverter,true,7,189,true,2,true
joda-time/javac/org/joda/time/convert/ConverterManager,true,186,3800,false,NA,false
joda-time/javac/org/joda/time/convert/ReadableInstantConverter,true,17,327,true,2,true
joda-time/javac/org/joda/time/convert/IntervalConverter,true,0,33,true,0,NA
joda-time/javac/org/joda/time/Minutes,true,77,1831,true,0,true
joda-time/javac/org/joda/time/IllegalInstantException,true,5,326,true,0,true
joda-time/javac/org/joda/time/LocalTime,true,657,8972,true,0,true
