Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
joda-time/eclipse/org/joda/time/MutableInterval,true,328,1651,false,NA,false
joda-time/eclipse/org/joda/time/Chronology,true,7,405,true,0,NA
joda-time/eclipse/org/joda/time/Days,true,543,1983,false,NA,false
joda-time/eclipse/org/joda/time/Interval,true,480,2000,false,NA,false
joda-time/eclipse/org/joda/time/UTCDateTimeZone,true,28,296,true,0,true
joda-time/eclipse/org/joda/time/DateTimeFieldType,true,811,3939,false,NA,false
joda-time/eclipse/org/joda/time/chrono/BuddhistChronology,true,302,1530,false,NA,false
joda-time/eclipse/org/joda/time/chrono/AssembledChronology,true,1593,7401,false,NA,false
joda-time/eclipse/org/joda/time/chrono/EthiopicChronology,false,NA,NA,false,NA,false
joda-time/eclipse/org/joda/time/chrono/BaseChronology,true,872,4085,true,373,true
joda-time/eclipse/org/joda/time/chrono/BasicWeekOfWeekyearDateTimeField,true,119,789,true,51,false
joda-time/eclipse/org/joda/time/chrono/BasicWeekyearDateTimeField,true,479,1798,true,193,true
joda-time/eclipse/org/joda/time/chrono/GJChronology,false,NA,NA,false,NA,false
joda-time/eclipse/org/joda/time/chrono/GJMonthOfYearDateTimeField,true,2,256,true,0,true
joda-time/eclipse/org/joda/time/chrono/LimitChronology,true,1973,8528,false,NA,false
joda-time/eclipse/org/joda/time/chrono/LenientChronology,true,406,1522,false,NA,false
joda-time/eclipse/org/joda/time/chrono/BasicSingleEraDateTimeField,true,33,555,true,0,true
joda-time/eclipse/org/joda/time/chrono/GJLocaleSymbols,true,371,3577,true,204,true
joda-time/eclipse/org/joda/time/chrono/GJCacheKey,true,131,682,true,116,true
joda-time/eclipse/org/joda/time/chrono/ZonedChronology,true,2297,10361,false,NA,false
joda-time/eclipse/org/joda/time/chrono/IslamicChronology,false,NA,NA,false,NA,false
joda-time/eclipse/org/joda/time/chrono/CopticChronology,false,NA,NA,false,NA,false
joda-time/eclipse/org/joda/time/chrono/GJEraDateTimeField,true,119,906,true,42,true
joda-time/eclipse/org/joda/time/chrono/BasicChronology,true,1055,6967,false,NA,false
joda-time/eclipse/org/joda/time/chrono/BasicGJChronology,true,704,2290,true,415,true
joda-time/eclipse/org/joda/time/chrono/BasicYearDateTimeField,true,213,1261,true,98,true
joda-time/eclipse/org/joda/time/chrono/BasicFixedMonthChronology,true,241,986,true,77,true
joda-time/eclipse/org/joda/time/chrono/ISOChronology,true,209,1245,false,NA,false
joda-time/eclipse/org/joda/time/chrono/GJDayOfWeekDateTimeField,true,8,432,true,0,true
joda-time/eclipse/org/joda/time/chrono/BasicMonthOfYearDateTimeField,true,929,3897,true,590,true
joda-time/eclipse/org/joda/time/chrono/BasicDayOfYearDateTimeField,true,94,766,true,48,true
joda-time/eclipse/org/joda/time/chrono/BasicDayOfMonthDateTimeField,true,118,881,true,102,true
joda-time/eclipse/org/joda/time/chrono/GJYearOfEraDateTimeField,true,72,865,true,16,false
joda-time/eclipse/org/joda/time/chrono/GregorianChronology,false,NA,NA,false,NA,false
joda-time/eclipse/org/joda/time/chrono/JulianChronology,false,NA,NA,false,NA,false
joda-time/eclipse/org/joda/time/chrono/StrictChronology,true,334,1414,false,NA,false
joda-time/eclipse/org/joda/time/chrono/ISOYearOfEraDateTimeField,true,188,805,true,58,true
joda-time/eclipse/org/joda/time/DurationField,true,31,389,false,NA,false
joda-time/eclipse/org/joda/time/DurationFieldType,true,405,1911,false,NA,false
joda-time/eclipse/org/joda/time/IllegalFieldValueException,false,NA,NA,false,NA,false
joda-time/eclipse/org/joda/time/Hours,true,534,2021,false,NA,false
