Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
joda-time/javac/org/joda/time/field/DecoratedDurationField,true,53,533,true,12,true
joda-time/javac/org/joda/time/field/PreciseDateTimeField,true,79,708,true,34,true
joda-time/javac/org/joda/time/field/MillisDurationField,true,10,659,true,6,true
joda-time/javac/org/joda/time/field/ScaledDurationField,true,180,1307,true,79,true
joda-time/javac/org/joda/time/field/SkipDateTimeField,true,40,645,true,5,true
joda-time/javac/org/joda/time/field/DecoratedDateTimeField,true,59,448,true,12,true
joda-time/javac/org/joda/time/field/FieldUtils,true,90,2157,true,101,true
joda-time/javac/org/joda/time/field/DividedDateTimeField,true,176,2094,true,60,true
joda-time/javac/org/joda/time/field/UnsupportedDurationField,true,47,1053,true,63,true
joda-time/javac/org/joda/time/field/PreciseDurationField,true,93,668,true,37,true
joda-time/javac/org/joda/time/field/DelegatedDurationField,true,129,1192,true,5,NA
joda-time/javac/org/joda/time/field/AbstractPartialFieldProperty,true,57,1332,false,NA,false
joda-time/javac/org/joda/time/field/PreciseDurationDateTimeField,true,131,807,false,NA,false
joda-time/javac/org/joda/time/field/BaseDateTimeField,true,257,5386,false,NA,false
joda-time/javac/org/joda/time/field/OffsetDateTimeField,true,72,1452,true,16,true
joda-time/javac/org/joda/time/field/BaseDurationField,true,12,547,true,0,true
joda-time/javac/org/joda/time/field/DelegatedDateTimeField,true,288,2833,true,5,true
joda-time/javac/org/joda/time/field/StrictDateTimeField,true,11,253,true,9,true
joda-time/javac/org/joda/time/field/RemainderDateTimeField,true,101,1485,true,20,true
joda-time/javac/org/joda/time/field/ZeroIsMaxDateTimeField,true,8,1183,true,2,true
joda-time/javac/org/joda/time/field/SkipUndoDateTimeField,true,37,569,true,5,true
joda-time/javac/org/joda/time/field/AbstractReadableInstantFieldProperty,true,61,1870,false,NA,false
joda-time/javac/org/joda/time/field/ImpreciseDateTimeField,true,197,1077,false,NA,false
joda-time/javac/org/joda/time/field/UnsupportedDateTimeField,true,38,2027,true,42,true
joda-time/javac/org/joda/time/field/LenientDateTimeField,true,49,404,true,37,true
joda-time/javac/org/joda/time/chrono/IslamicChronology,true,564,4278,false,NA,false
joda-time/javac/org/joda/time/chrono/GJCacheKey,true,87,682,true,38,true
joda-time/javac/org/joda/time/chrono/BasicDayOfMonthDateTimeField,true,89,881,true,66,true
joda-time/javac/org/joda/time/chrono/ZonedChronology,true,1453,10361,false,NA,false
joda-time/javac/org/joda/time/chrono/LenientChronology,true,35,1522,true,35,true
joda-time/javac/org/joda/time/chrono/EthiopicChronology,true,214,1820,true,310,false
joda-time/javac/org/joda/time/chrono/GJMonthOfYearDateTimeField,true,3,256,true,4,true
joda-time/javac/org/joda/time/chrono/BuddhistChronology,true,104,1530,false,NA,false
joda-time/javac/org/joda/time/chrono/GJDayOfWeekDateTimeField,true,21,432,true,4,true
joda-time/javac/org/joda/time/chrono/GJEraDateTimeField,true,92,906,true,22,true
joda-time/javac/org/joda/time/chrono/StrictChronology,true,35,1414,true,35,true
joda-time/javac/org/joda/time/chrono/GJLocaleSymbols,true,334,3577,false,NA,false
joda-time/javac/org/joda/time/chrono/BasicWeekOfWeekyearDateTimeField,true,86,789,true,44,true
joda-time/javac/org/joda/time/chrono/BasicSingleEraDateTimeField,true,25,555,true,9,true
joda-time/javac/org/joda/time/chrono/BasicFixedMonthChronology,true,97,986,true,118,false
joda-time/javac/org/joda/time/chrono/BaseChronology,true,181,4085,true,276,true
joda-time/javac/org/joda/time/chrono/GJChronology,true,2214,14126,false,NA,false
joda-time/javac/org/joda/time/chrono/BasicDayOfYearDateTimeField,true,68,766,true,48,true
joda-time/javac/org/joda/time/chrono/BasicGJChronology,true,403,2290,false,NA,false
joda-time/javac/org/joda/time/chrono/BasicWeekyearDateTimeField,true,220,1798,true,147,true
joda-time/javac/org/joda/time/chrono/ISOChronology,true,118,1245,false,NA,false
joda-time/javac/org/joda/time/chrono/GJYearOfEraDateTimeField,true,22,865,true,2,true
joda-time/javac/org/joda/time/chrono/BasicYearDateTimeField,true,159,1261,true,40,true
joda-time/javac/org/joda/time/chrono/CopticChronology,true,232,1859,true,319,false
joda-time/javac/org/joda/time/chrono/ISOYearOfEraDateTimeField,true,6,805,true,0,true
joda-time/javac/org/joda/time/chrono/LimitChronology,true,1049,8528,false,NA,false
joda-time/javac/org/joda/time/chrono/AssembledChronology,true,1641,7401,false,NA,false
joda-time/javac/org/joda/time/chrono/BasicChronology,true,803,6967,false,NA,false
joda-time/javac/org/joda/time/chrono/GregorianChronology,true,225,1685,false,NA,false
joda-time/javac/org/joda/time/chrono/JulianChronology,true,254,1862,true,304,false
joda-time/javac/org/joda/time/chrono/BasicMonthOfYearDateTimeField,true,440,3897,false,NA,false
joda-time/javac/org/joda/time/base/BasePartial,true,129,1635,true,50,true
joda-time/javac/org/joda/time/base/BaseSingleFieldPeriod,true,139,1822,true,161,true
joda-time/javac/org/joda/time/base/AbstractDuration,true,45,865,true,50,true
joda-time/javac/org/joda/time/base/AbstractInterval,true,115,2010,true,53,true
joda-time/javac/org/joda/time/base/BasePeriod,true,365,5476,false,NA,false
joda-time/javac/org/joda/time/base/AbstractPartial,true,112,2247,false,NA,false
joda-time/javac/org/joda/time/base/AbstractInstant,true,58,1538,true,85,true
joda-time/javac/org/joda/time/base/AbstractPeriod,true,39,1085,true,28,true
joda-time/javac/org/joda/time/base/BaseDateTime,true,101,1548,false,NA,false
joda-time/javac/org/joda/time/base/BaseDuration,true,55,762,true,25,true
joda-time/javac/org/joda/time/base/AbstractDateTime,true,13,1241,true,56,true
joda-time/javac/org/joda/time/base/BaseInterval,true,232,2125,true,56,true
joda-time/javac/org/joda/time/base/BaseLocal,true,7,38,false,NA,NA
joda-time/javac/org/joda/time/Minutes,true,185,1831,true,114,true
joda-time/javac/org/joda/time/Partial,true,871,8772,false,NA,false
joda-time/javac/org/joda/time/tz/DefaultNameProvider,true,102,1479,true,229,true
joda-time/javac/org/joda/time/tz/DateTimeZoneBuilder,true,4111,22892,false,NA,false
joda-time/javac/org/joda/time/tz/ZoneInfoCompiler,true,1794,12215,false,NA,false
joda-time/javac/org/joda/time/tz/FixedDateTimeZone,true,58,694,true,15,true
joda-time/javac/org/joda/time/tz/UTCProvider,true,4,96,true,0,true
joda-time/javac/org/joda/time/tz/ZoneInfoProvider,true,246,2273,true,247,false
joda-time/javac/org/joda/time/tz/CachedDateTimeZone,true,293,2310,false,NA,false
joda-time/javac/org/joda/time/tz/Provider,true,1,17,true,0,NA
joda-time/javac/org/joda/time/tz/NameProvider,true,0,34,true,0,NA
joda-time/javac/org/joda/time/ReadWritableDateTime,true,5,284,true,0,NA
joda-time/javac/org/joda/time/Chronology,true,28,405,true,8,NA
joda-time/javac/org/joda/time/LocalTime,true,909,8972,false,NA,false
joda-time/javac/org/joda/time/format/DateTimeFormatterBuilder,true,4623,24548,false,NA,false
joda-time/javac/org/joda/time/format/FormatUtils,true,184,3988,true,55,true
joda-time/javac/org/joda/time/format/InternalParser,true,0,22,true,0,NA
joda-time/javac/org/joda/time/format/DateTimeParserBucket,true,641,5264,false,NA,false
joda-time/javac/org/joda/time/format/DateTimeFormat,true,770,6355,false,NA,false
joda-time/javac/org/joda/time/format/PeriodFormatter,true,160,1645,true,28,true
joda-time/javac/org/joda/time/format/InternalPrinter,true,0,57,true,0,NA
joda-time/javac/org/joda/time/format/DateTimeFormatter,true,595,6035,true,225,true
joda-time/javac/org/joda/time/format/ISOPeriodFormat,true,1,902,true,0,true
joda-time/javac/org/joda/time/format/InternalParserDateTimeParser,true,27,425,true,16,true
joda-time/javac/org/joda/time/format/ISODateTimeFormat,true,2639,13387,false,NA,false
joda-time/javac/org/joda/time/format/PeriodFormatterBuilder,true,4528,25409,false,NA,false
joda-time/javac/org/joda/time/format/DateTimePrinterInternalPrinter,true,41,786,true,28,true
joda-time/javac/org/joda/time/format/DateTimePrinter,true,2,103,true,8,NA
joda-time/javac/org/joda/time/format/InternalPrinterDateTimePrinter,true,39,809,true,16,false
joda-time/javac/org/joda/time/format/DateTimeParserInternalParser,true,10,242,true,4,true
joda-time/javac/org/joda/time/format/PeriodFormat,true,6,3668,true,0,true
joda-time/javac/org/joda/time/format/DateTimeParser,true,0,22,true,0,NA
joda-time/javac/org/joda/time/format/PeriodParser,true,0,21,true,0,NA
joda-time/javac/org/joda/time/format/PeriodPrinter,true,1,67,true,4,NA
joda-time/javac/org/joda/time/Instant,true,47,966,true,20,true
joda-time/javac/org/joda/time/DateTimeField,true,37,606,true,16,NA
joda-time/javac/org/joda/time/MutableInterval,true,72,1651,true,53,true
joda-time/javac/org/joda/time/Duration,true,121,1646,true,64,true
joda-time/javac/org/joda/time/IllegalInstantException,true,16,326,true,29,true
joda-time/javac/org/joda/time/LocalDateTime,true,1196,13490,false,NA,false
joda-time/javac/org/joda/time/ReadWritablePeriod,true,14,301,true,12,NA
joda-time/javac/org/joda/time/DateMidnight,true,594,6159,false,NA,false
joda-time/javac/org/joda/time/DateTimeUtils,true,111,2567,false,NA,false
joda-time/javac/org/joda/time/ReadableDuration,true,4,67,true,0,NA
joda-time/javac/org/joda/time/Years,true,144,1545,true,102,true
joda-time/javac/org/joda/time/Months,true,145,1887,true,166,true
joda-time/javac/org/joda/time/MonthDay,true,358,4610,false,NA,false
joda-time/javac/org/joda/time/ReadWritableInterval,true,9,119,true,4,NA
joda-time/javac/org/joda/time/Period,true,602,10010,true,225,true
joda-time/javac/org/joda/time/DurationField,true,15,389,true,18,true
joda-time/javac/org/joda/time/ReadablePartial,true,6,89,true,0,NA
joda-time/javac/org/joda/time/YearMonth,true,367,4635,false,NA,false
joda-time/javac/org/joda/time/convert/ReadableIntervalConverter,true,15,441,true,26,true
joda-time/javac/org/joda/time/convert/PeriodConverter,true,1,29,true,0,NA
joda-time/javac/org/joda/time/convert/ConverterSet,true,392,3423,false,NA,false
joda-time/javac/org/joda/time/convert/ConverterManager,true,454,3800,true,202,true
joda-time/javac/org/joda/time/convert/ReadableDurationConverter,true,14,274,true,30,true
joda-time/javac/org/joda/time/convert/CalendarConverter,true,41,528,false,NA,false
joda-time/javac/org/joda/time/convert/StringConverter,true,215,2580,true,303,true
joda-time/javac/org/joda/time/convert/InstantConverter,true,1,42,true,4,NA
joda-time/javac/org/joda/time/convert/ReadablePeriodConverter,true,5,128,true,4,true
joda-time/javac/org/joda/time/convert/DurationConverter,true,0,12,true,0,NA
joda-time/javac/org/joda/time/convert/PartialConverter,true,1,73,true,4,NA
joda-time/javac/org/joda/time/convert/LongConverter,true,1,116,true,0,true
joda-time/javac/org/joda/time/convert/AbstractConverter,true,6,364,true,10,true
joda-time/javac/org/joda/time/convert/ReadableInstantConverter,true,20,327,true,17,true
joda-time/javac/org/joda/time/convert/NullConverter,true,1,189,true,0,true
joda-time/javac/org/joda/time/convert/DateConverter,true,5,96,true,4,true
joda-time/javac/org/joda/time/convert/IntervalConverter,true,0,33,true,0,NA
joda-time/javac/org/joda/time/convert/Converter,true,0,11,true,0,NA
joda-time/javac/org/joda/time/convert/ReadablePartialConverter,true,11,389,true,4,true
joda-time/javac/org/joda/time/YearMonthDay,true,458,5212,false,NA,false
joda-time/javac/org/joda/time/ReadableInstant,true,6,90,true,0,NA
joda-time/javac/org/joda/time/DateTimeFieldType,true,447,3939,false,NA,false
joda-time/javac/org/joda/time/DateTimeZone,true,830,8451,false,NA,false
joda-time/javac/org/joda/time/LocalDate,true,1018,11623,false,NA,false
joda-time/javac/org/joda/time/ReadWritableInstant,true,6,127,true,4,NA
joda-time/javac/org/joda/time/IllegalFieldValueException,true,243,3015,true,2,true
joda-time/javac/org/joda/time/Interval,true,116,2000,true,151,true
joda-time/javac/org/joda/time/ReadablePeriod,true,6,75,true,0,NA
joda-time/javac/org/joda/time/DateTime,true,945,9475,false,NA,false
joda-time/javac/org/joda/time/DateTimeConstants,true,60,572,true,0,NA
joda-time/javac/org/joda/time/PeriodType,true,350,7615,false,NA,false
joda-time/javac/org/joda/time/Seconds,true,186,1831,true,114,true
joda-time/javac/org/joda/time/TimeOfDay,true,474,5726,false,NA,false
joda-time/javac/org/joda/time/Days,true,187,1983,true,138,true
joda-time/javac/org/joda/time/DateTimeComparator,true,283,1648,true,84,true
joda-time/javac/org/joda/time/DurationFieldType,true,257,1911,false,NA,false
joda-time/javac/org/joda/time/Weeks,true,187,1831,true,114,true
joda-time/javac/org/joda/time/UTCDateTimeZone,true,15,296,true,0,true
joda-time/javac/org/joda/time/ReadableDateTime,true,0,131,true,0,NA
joda-time/javac/org/joda/time/ReadableInterval,true,10,141,true,0,NA
joda-time/javac/org/joda/time/MutableDateTime,true,601,7828,false,NA,false
joda-time/javac/org/joda/time/JodaTimePermission,true,0,34,true,0,NA
joda-time/javac/org/joda/time/Hours,true,188,2021,true,142,true
joda-time/javac/org/joda/time/MutablePeriod,true,55,3760,true,42,true
