Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
joda-time/javac/org/joda/time/field/DecoratedDurationField,true,0,533,true,0,true
joda-time/javac/org/joda/time/field/PreciseDateTimeField,true,4,708,true,0,true
joda-time/javac/org/joda/time/field/MillisDurationField,true,15,659,false,NA,false
joda-time/javac/org/joda/time/field/ScaledDurationField,true,2,1307,true,0,true
joda-time/javac/org/joda/time/field/SkipDateTimeField,true,0,645,true,0,true
joda-time/javac/org/joda/time/field/DecoratedDateTimeField,true,4,448,true,0,true
joda-time/javac/org/joda/time/field/FieldUtils,true,190,2157,true,0,true
joda-time/javac/org/joda/time/field/DividedDateTimeField,true,9,2094,true,0,true
joda-time/javac/org/joda/time/field/UnsupportedDurationField,true,35,1053,false,NA,false
joda-time/javac/org/joda/time/field/PreciseDurationField,true,2,668,true,0,true
joda-time/javac/org/joda/time/field/DelegatedDurationField,true,25,1192,false,NA,NA
joda-time/javac/org/joda/time/field/AbstractPartialFieldProperty,true,25,1332,true,0,true
joda-time/javac/org/joda/time/field/PreciseDurationDateTimeField,true,24,807,true,0,true
joda-time/javac/org/joda/time/field/BaseDateTimeField,true,52,5386,true,10,true
joda-time/javac/org/joda/time/field/OffsetDateTimeField,true,16,1452,true,0,true
joda-time/javac/org/joda/time/field/BaseDurationField,true,30,547,false,NA,false
joda-time/javac/org/joda/time/field/DelegatedDateTimeField,true,14,2833,true,0,true
joda-time/javac/org/joda/time/field/StrictDateTimeField,true,0,253,true,0,true
joda-time/javac/org/joda/time/field/RemainderDateTimeField,true,9,1485,true,0,true
joda-time/javac/org/joda/time/field/ZeroIsMaxDateTimeField,true,4,1183,true,0,true
joda-time/javac/org/joda/time/field/SkipUndoDateTimeField,true,0,569,true,0,true
joda-time/javac/org/joda/time/field/AbstractReadableInstantFieldProperty,true,48,1870,true,0,true
joda-time/javac/org/joda/time/field/ImpreciseDateTimeField,true,367,1077,false,NA,false
joda-time/javac/org/joda/time/field/UnsupportedDateTimeField,true,9,2027,true,2,true
joda-time/javac/org/joda/time/field/LenientDateTimeField,true,0,404,true,0,true
joda-time/javac/org/joda/time/chrono/IslamicChronology,true,380,4278,false,NA,false
joda-time/javac/org/joda/time/chrono/GJCacheKey,true,22,682,true,18,true
joda-time/javac/org/joda/time/chrono/BasicDayOfMonthDateTimeField,true,3,881,true,0,true
joda-time/javac/org/joda/time/chrono/ZonedChronology,true,118,10361,true,8,true
joda-time/javac/org/joda/time/chrono/LenientChronology,true,18,1522,true,0,true
joda-time/javac/org/joda/time/chrono/EthiopicChronology,true,167,1820,false,NA,false
joda-time/javac/org/joda/time/chrono/GJMonthOfYearDateTimeField,true,2,256,true,0,true
joda-time/javac/org/joda/time/chrono/BuddhistChronology,true,39,1530,true,16,true
joda-time/javac/org/joda/time/chrono/GJDayOfWeekDateTimeField,true,8,432,true,0,true
joda-time/javac/org/joda/time/chrono/GJEraDateTimeField,true,49,906,true,0,true
joda-time/javac/org/joda/time/chrono/StrictChronology,true,18,1414,true,0,true
joda-time/javac/org/joda/time/chrono/GJLocaleSymbols,true,40,3577,true,18,true
joda-time/javac/org/joda/time/chrono/BasicWeekOfWeekyearDateTimeField,true,26,789,true,0,true
joda-time/javac/org/joda/time/chrono/BasicSingleEraDateTimeField,true,53,555,true,0,true
joda-time/javac/org/joda/time/chrono/BasicFixedMonthChronology,true,49,986,true,0,true
joda-time/javac/org/joda/time/chrono/BaseChronology,true,3,4085,true,0,true
joda-time/javac/org/joda/time/chrono/GJChronology,true,2945,14126,false,NA,false
joda-time/javac/org/joda/time/chrono/BasicDayOfYearDateTimeField,true,3,766,true,0,true
joda-time/javac/org/joda/time/chrono/BasicGJChronology,true,127,2290,true,0,true
joda-time/javac/org/joda/time/chrono/BasicWeekyearDateTimeField,true,40,1798,true,0,true
joda-time/javac/org/joda/time/chrono/ISOChronology,true,20,1245,true,2,true
joda-time/javac/org/joda/time/chrono/GJYearOfEraDateTimeField,true,3,865,true,0,true
joda-time/javac/org/joda/time/chrono/BasicYearDateTimeField,true,4,1261,true,0,true
joda-time/javac/org/joda/time/chrono/CopticChronology,true,167,1859,false,NA,false
joda-time/javac/org/joda/time/chrono/ISOYearOfEraDateTimeField,true,5,805,true,0,true
joda-time/javac/org/joda/time/chrono/LimitChronology,true,1795,8528,false,NA,false
joda-time/javac/org/joda/time/chrono/AssembledChronology,true,10,7401,true,100,true
joda-time/javac/org/joda/time/chrono/BasicChronology,true,295,6967,true,14,true
joda-time/javac/org/joda/time/chrono/GregorianChronology,true,172,1685,false,NA,false
joda-time/javac/org/joda/time/chrono/JulianChronology,true,180,1862,false,NA,false
joda-time/javac/org/joda/time/chrono/BasicMonthOfYearDateTimeField,true,41,3897,true,70,true
joda-time/javac/org/joda/time/base/BasePartial,true,14,1635,true,0,true
joda-time/javac/org/joda/time/base/BaseSingleFieldPeriod,true,75,1822,false,NA,false
joda-time/javac/org/joda/time/base/AbstractDuration,true,21,865,false,NA,false
joda-time/javac/org/joda/time/base/AbstractInterval,true,11,2010,true,0,true
joda-time/javac/org/joda/time/base/BasePeriod,true,76,5476,true,8,true
joda-time/javac/org/joda/time/base/AbstractPartial,true,58,2247,false,NA,false
joda-time/javac/org/joda/time/base/AbstractInstant,true,20,1538,false,NA,false
joda-time/javac/org/joda/time/base/AbstractPeriod,true,8,1085,true,1,false
joda-time/javac/org/joda/time/base/BaseDateTime,true,4,1548,true,0,true
joda-time/javac/org/joda/time/base/BaseDuration,true,4,762,true,0,true
joda-time/javac/org/joda/time/base/AbstractDateTime,true,2,1241,true,1,true
joda-time/javac/org/joda/time/base/BaseInterval,true,10,2125,true,0,true
joda-time/javac/org/joda/time/base/BaseLocal,true,5,38,true,0,NA
joda-time/javac/org/joda/time/Minutes,true,47,1831,true,2,false
joda-time/javac/org/joda/time/Partial,true,266,8772,true,325,true
joda-time/javac/org/joda/time/tz/DefaultNameProvider,true,79,1479,true,48,true
joda-time/javac/org/joda/time/tz/DateTimeZoneBuilder,true,460,22892,true,94,true
joda-time/javac/org/joda/time/tz/ZoneInfoCompiler,true,677,12215,false,NA,false
joda-time/javac/org/joda/time/tz/FixedDateTimeZone,true,8,694,true,0,true
