Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
joda-time/eclipse/org/joda/time/MutableInterval,true,242,1651,false,NA,false
joda-time/eclipse/org/joda/time/Chronology,true,18,405,true,0,NA
joda-time/eclipse/org/joda/time/Days,true,287,1983,true,129,false
joda-time/eclipse/org/joda/time/Interval,true,281,2000,true,148,true
joda-time/eclipse/org/joda/time/UTCDateTimeZone,true,28,296,true,0,true
joda-time/eclipse/org/joda/time/DateTimeFieldType,true,813,3939,false,NA,false
joda-time/eclipse/org/joda/time/chrono/BuddhistChronology,true,151,1530,false,NA,false
joda-time/eclipse/org/joda/time/chrono/AssembledChronology,true,2709,7401,false,NA,false
joda-time/eclipse/org/joda/time/chrono/EthiopicChronology,true,196,1820,false,NA,false
joda-time/eclipse/org/joda/time/chrono/BaseChronology,true,484,4085,false,NA,false
joda-time/eclipse/org/joda/time/chrono/BasicWeekOfWeekyearDateTimeField,true,103,789,true,55,false
joda-time/eclipse/org/joda/time/chrono/BasicWeekyearDateTimeField,true,263,1798,true,93,true
joda-time/eclipse/org/joda/time/chrono/GJChronology,true,2320,14126,false,NA,false
joda-time/eclipse/org/joda/time/chrono/GJMonthOfYearDateTimeField,true,3,256,true,0,true
joda-time/eclipse/org/joda/time/chrono/LimitChronology,true,1411,8528,false,NA,false
joda-time/eclipse/org/joda/time/chrono/LenientChronology,true,213,1522,false,NA,false
joda-time/eclipse/org/joda/time/chrono/BasicSingleEraDateTimeField,true,70,555,true,0,true
joda-time/eclipse/org/joda/time/chrono/GJLocaleSymbols,true,357,3577,true,148,true
joda-time/eclipse/org/joda/time/chrono/GJCacheKey,true,101,682,true,62,true
joda-time/eclipse/org/joda/time/chrono/ZonedChronology,true,1749,10361,false,NA,false
joda-time/eclipse/org/joda/time/chrono/IslamicChronology,true,714,4278,false,NA,false
joda-time/eclipse/org/joda/time/chrono/CopticChronology,true,201,1859,false,NA,false
joda-time/eclipse/org/joda/time/chrono/GJEraDateTimeField,true,128,906,true,38,true
joda-time/eclipse/org/joda/time/chrono/BasicChronology,true,791,6967,false,NA,false
joda-time/eclipse/org/joda/time/chrono/BasicGJChronology,true,527,2290,false,NA,false
joda-time/eclipse/org/joda/time/chrono/BasicYearDateTimeField,true,165,1261,true,54,true
joda-time/eclipse/org/joda/time/chrono/BasicFixedMonthChronology,true,168,986,true,58,true
joda-time/eclipse/org/joda/time/chrono/ISOChronology,true,135,1245,false,NA,false
joda-time/eclipse/org/joda/time/chrono/GJDayOfWeekDateTimeField,true,22,432,true,0,true
joda-time/eclipse/org/joda/time/chrono/BasicMonthOfYearDateTimeField,true,612,3897,true,545,false
joda-time/eclipse/org/joda/time/chrono/BasicDayOfYearDateTimeField,true,102,766,true,58,false
joda-time/eclipse/org/joda/time/chrono/BasicDayOfMonthDateTimeField,true,135,881,true,107,false
joda-time/eclipse/org/joda/time/chrono/GJYearOfEraDateTimeField,true,64,865,true,2,false
joda-time/eclipse/org/joda/time/chrono/GregorianChronology,true,221,1685,false,NA,false
joda-time/eclipse/org/joda/time/chrono/JulianChronology,true,223,1862,false,NA,false
joda-time/eclipse/org/joda/time/chrono/StrictChronology,true,96,1414,false,NA,false
joda-time/eclipse/org/joda/time/chrono/ISOYearOfEraDateTimeField,true,90,805,true,5,true
joda-time/eclipse/org/joda/time/DurationField,true,22,389,false,NA,false
joda-time/eclipse/org/joda/time/DurationFieldType,true,432,1911,false,NA,false
joda-time/eclipse/org/joda/time/IllegalFieldValueException,true,300,3015,true,92,false
joda-time/eclipse/org/joda/time/Hours,true,303,2021,true,135,false
joda-time/eclipse/org/joda/time/ReadableInterval,true,5,141,true,0,NA
joda-time/eclipse/org/joda/time/DateTimeZone,true,999,8451,false,NA,false
joda-time/eclipse/org/joda/time/ReadablePeriod,true,3,75,true,0,NA
joda-time/eclipse/org/joda/time/PeriodType,true,1758,7615,true,1256,false
joda-time/eclipse/org/joda/time/DateTime,true,2720,9475,false,NA,false
joda-time/eclipse/org/joda/time/LocalDate,true,3147,11623,false,NA,false
joda-time/eclipse/org/joda/time/DateTimeComparator,true,268,1648,true,156,true
joda-time/eclipse/org/joda/time/field/MillisDurationField,true,49,659,false,NA,false
joda-time/eclipse/org/joda/time/field/BaseDurationField,true,67,547,false,NA,false
joda-time/eclipse/org/joda/time/field/FieldUtils,true,287,2157,true,146,true
joda-time/eclipse/org/joda/time/field/DecoratedDateTimeField,true,39,448,true,0,true
joda-time/eclipse/org/joda/time/field/BaseDateTimeField,true,705,5386,false,NA,false
joda-time/eclipse/org/joda/time/field/DelegatedDurationField,true,170,1192,false,NA,NA
joda-time/eclipse/org/joda/time/field/ScaledDurationField,true,179,1307,true,27,true
joda-time/eclipse/org/joda/time/field/RemainderDateTimeField,true,164,1485,true,12,true
joda-time/eclipse/org/joda/time/field/AbstractReadableInstantFieldProperty,true,245,1870,true,26,true
joda-time/eclipse/org/joda/time/field/ZeroIsMaxDateTimeField,true,103,1183,true,0,true
joda-time/eclipse/org/joda/time/field/DividedDateTimeField,true,232,2094,true,72,false
