Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
joda-time/javac/org/joda/time/MutableInterval,true,197,1651,true,50,true
joda-time/javac/org/joda/time/Chronology,true,43,405,true,0,NA
joda-time/javac/org/joda/time/Days,true,236,1983,true,32,true
joda-time/javac/org/joda/time/Interval,true,264,2000,true,66,true
joda-time/javac/org/joda/time/UTCDateTimeZone,true,21,296,true,0,true
joda-time/javac/org/joda/time/DateTimeFieldType,true,530,3939,true,0,true
joda-time/javac/org/joda/time/chrono/BuddhistChronology,true,131,1530,true,71,true
joda-time/javac/org/joda/time/chrono/AssembledChronology,true,1033,7401,false,NA,false
joda-time/javac/org/joda/time/chrono/EthiopicChronology,true,106,1820,true,68,true
joda-time/javac/org/joda/time/chrono/BaseChronology,true,470,4085,true,92,true
joda-time/javac/org/joda/time/chrono/BasicWeekOfWeekyearDateTimeField,true,100,789,true,30,true
joda-time/javac/org/joda/time/chrono/BasicWeekyearDateTimeField,true,239,1798,true,24,true
joda-time/javac/org/joda/time/chrono/GJChronology,true,4477,14126,false,NA,false
joda-time/javac/org/joda/time/chrono/GJMonthOfYearDateTimeField,true,20,256,true,0,true
joda-time/javac/org/joda/time/chrono/LimitChronology,true,2881,8528,false,NA,false
joda-time/javac/org/joda/time/chrono/LenientChronology,true,198,1522,true,25,true
joda-time/javac/org/joda/time/chrono/BasicSingleEraDateTimeField,true,94,555,true,0,true
joda-time/javac/org/joda/time/chrono/GJLocaleSymbols,true,309,3577,true,13,true
joda-time/javac/org/joda/time/chrono/GJCacheKey,true,80,682,true,18,true
joda-time/javac/org/joda/time/chrono/ZonedChronology,true,3402,10361,false,NA,false
joda-time/javac/org/joda/time/chrono/IslamicChronology,true,507,4278,true,141,true
joda-time/javac/org/joda/time/chrono/CopticChronology,true,111,1859,true,76,true
joda-time/javac/org/joda/time/chrono/GJEraDateTimeField,true,151,906,true,10,true
joda-time/javac/org/joda/time/chrono/BasicChronology,true,709,6967,true,104,true
joda-time/javac/org/joda/time/chrono/BasicGJChronology,true,223,2290,true,12,true
joda-time/javac/org/joda/time/chrono/BasicYearDateTimeField,true,189,1261,true,32,true
joda-time/javac/org/joda/time/chrono/BasicFixedMonthChronology,true,162,986,true,26,true
joda-time/javac/org/joda/time/chrono/ISOChronology,true,79,1245,true,19,true
joda-time/javac/org/joda/time/chrono/GJDayOfWeekDateTimeField,true,49,432,true,0,true
joda-time/javac/org/joda/time/chrono/BasicMonthOfYearDateTimeField,true,481,3897,true,181,true
joda-time/javac/org/joda/time/chrono/BasicDayOfYearDateTimeField,true,93,766,true,30,true
joda-time/javac/org/joda/time/chrono/BasicDayOfMonthDateTimeField,true,107,881,true,26,true
joda-time/javac/org/joda/time/chrono/GJYearOfEraDateTimeField,true,96,865,true,0,true
joda-time/javac/org/joda/time/chrono/GregorianChronology,true,105,1685,true,62,true
joda-time/javac/org/joda/time/chrono/JulianChronology,true,125,1862,true,56,true
joda-time/javac/org/joda/time/chrono/StrictChronology,true,81,1414,true,25,true
joda-time/javac/org/joda/time/chrono/ISOYearOfEraDateTimeField,true,95,805,true,0,true
joda-time/javac/org/joda/time/DurationField,true,44,389,true,0,true
joda-time/javac/org/joda/time/DurationFieldType,true,269,1911,true,0,true
joda-time/javac/org/joda/time/IllegalFieldValueException,true,268,3015,true,0,true
joda-time/javac/org/joda/time/Hours,true,241,2021,true,32,true
joda-time/javac/org/joda/time/ReadableInterval,true,13,141,true,0,NA
joda-time/javac/org/joda/time/DateTimeZone,true,499,8451,false,NA,false
joda-time/javac/org/joda/time/ReadablePeriod,true,5,75,true,0,NA
joda-time/javac/org/joda/time/PeriodType,true,356,7615,false,NA,false
joda-time/javac/org/joda/time/DateTime,true,3784,9475,true,258,true
joda-time/javac/org/joda/time/LocalDate,true,3404,11623,false,NA,false
joda-time/javac/org/joda/time/DateTimeComparator,true,147,1648,true,30,true
joda-time/javac/org/joda/time/field/MillisDurationField,true,102,659,true,9,true
joda-time/javac/org/joda/time/field/BaseDurationField,true,67,547,true,0,true
joda-time/javac/org/joda/time/field/FieldUtils,true,134,2157,true,22,true
joda-time/javac/org/joda/time/field/DecoratedDateTimeField,true,59,448,true,0,true
joda-time/javac/org/joda/time/field/BaseDateTimeField,true,641,5386,true,88,true
joda-time/javac/org/joda/time/field/DelegatedDurationField,true,167,1192,true,5,NA
joda-time/javac/org/joda/time/field/ScaledDurationField,true,259,1307,true,68,true
joda-time/javac/org/joda/time/field/RemainderDateTimeField,true,203,1485,true,12,true
joda-time/javac/org/joda/time/field/AbstractReadableInstantFieldProperty,true,246,1870,true,14,true
joda-time/javac/org/joda/time/field/ZeroIsMaxDateTimeField,true,166,1183,true,0,true
joda-time/javac/org/joda/time/field/DividedDateTimeField,true,278,2094,true,66,true
joda-time/javac/org/joda/time/field/AbstractPartialFieldProperty,true,198,1332,true,18,true
joda-time/javac/org/joda/time/field/ImpreciseDateTimeField,true,119,1077,true,0,true
joda-time/javac/org/joda/time/field/LenientDateTimeField,true,69,404,true,28,true
joda-time/javac/org/joda/time/field/SkipDateTimeField,true,66,645,true,0,true
joda-time/javac/org/joda/time/field/UnsupportedDurationField,true,164,1053,true,8,true
joda-time/javac/org/joda/time/field/DelegatedDateTimeField,true,379,2833,true,0,true
joda-time/javac/org/joda/time/field/UnsupportedDateTimeField,true,362,2027,true,0,true
joda-time/javac/org/joda/time/field/OffsetDateTimeField,true,175,1452,true,0,true
joda-time/javac/org/joda/time/field/PreciseDurationDateTimeField,true,116,807,true,0,true
joda-time/javac/org/joda/time/field/PreciseDurationField,true,128,668,true,26,true
joda-time/javac/org/joda/time/field/PreciseDateTimeField,true,118,708,true,12,true
joda-time/javac/org/joda/time/field/StrictDateTimeField,true,14,253,true,0,true
joda-time/javac/org/joda/time/field/DecoratedDurationField,true,62,533,true,0,true
joda-time/javac/org/joda/time/field/SkipUndoDateTimeField,true,52,569,true,0,true
joda-time/javac/org/joda/time/base/BaseDuration,true,93,762,true,18,true
joda-time/javac/org/joda/time/base/BaseDateTime,true,192,1548,true,10,true
joda-time/javac/org/joda/time/base/AbstractDateTime,true,175,1241,true,42,true
joda-time/javac/org/joda/time/base/AbstractInstant,true,246,1538,true,65,true
joda-time/javac/org/joda/time/base/BasePeriod,true,579,5476,true,131,true
joda-time/javac/org/joda/time/base/AbstractPeriod,true,124,1085,true,22,true
joda-time/javac/org/joda/time/base/AbstractDuration,true,64,865,true,27,true
joda-time/javac/org/joda/time/base/BaseLocal,true,5,38,true,0,NA
joda-time/javac/org/joda/time/base/AbstractInterval,true,309,2010,true,26,true
joda-time/javac/org/joda/time/base/AbstractPartial,true,291,2247,true,72,true
joda-time/javac/org/joda/time/base/BaseInterval,true,281,2125,true,35,true
joda-time/javac/org/joda/time/base/BaseSingleFieldPeriod,true,182,1822,true,32,true
joda-time/javac/org/joda/time/base/BasePartial,true,146,1635,true,7,true
joda-time/javac/org/joda/time/YearMonthDay,true,709,5212,true,143,true
joda-time/javac/org/joda/time/Partial,true,913,8772,true,113,true
joda-time/javac/org/joda/time/ReadableInstant,true,6,90,true,0,NA
joda-time/javac/org/joda/time/MutablePeriod,true,354,3760,true,28,true
joda-time/javac/org/joda/time/ReadWritableDateTime,true,58,284,true,0,NA
joda-time/javac/org/joda/time/JodaTimePermission,true,1,34,true,0,NA
joda-time/javac/org/joda/time/ReadWritablePeriod,true,63,301,true,0,NA
joda-time/javac/org/joda/time/Seconds,true,222,1831,true,32,true
joda-time/javac/org/joda/time/ReadableDateTime,true,3,131,true,0,NA
joda-time/javac/org/joda/time/Period,true,3025,10010,true,202,true
joda-time/javac/org/joda/time/ReadWritableInterval,true,23,119,true,0,NA
joda-time/javac/org/joda/time/DateTimeUtils,true,123,2567,false,NA,false
joda-time/javac/org/joda/time/DateMidnight,true,2378,6159,true,116,true
joda-time/javac/org/joda/time/Years,true,165,1545,true,20,true
joda-time/javac/org/joda/time/ReadWritableInstant,true,23,127,true,0,NA
joda-time/javac/org/joda/time/Duration,true,197,1646,true,32,true
joda-time/javac/org/joda/time/ReadableDuration,true,4,67,true,0,NA
joda-time/javac/org/joda/time/Weeks,true,218,1831,true,32,true
joda-time/javac/org/joda/time/format/DateTimeFormatter,true,732,6035,true,93,true
joda-time/javac/org/joda/time/format/FormatUtils,true,204,3988,true,272,true
joda-time/javac/org/joda/time/format/PeriodFormat,true,33,3668,true,0,true
joda-time/javac/org/joda/time/format/PeriodFormatterBuilder,true,6175,25409,false,NA,false
joda-time/javac/org/joda/time/format/InternalPrinterDateTimePrinter,true,87,809,true,19,false
joda-time/javac/org/joda/time/format/InternalParser,true,3,22,true,0,NA
joda-time/javac/org/joda/time/format/DateTimeParser,true,3,22,true,0,NA
joda-time/javac/org/joda/time/format/DateTimeParserBucket,true,431,5264,true,19,true
joda-time/javac/org/joda/time/format/DateTimePrinterInternalPrinter,true,64,786,true,24,true
joda-time/javac/org/joda/time/format/PeriodParser,true,5,21,true,0,NA
joda-time/javac/org/joda/time/format/InternalPrinter,true,12,57,true,0,NA
joda-time/javac/org/joda/time/format/PeriodPrinter,true,15,67,true,0,NA
joda-time/javac/org/joda/time/format/DateTimeParserInternalParser,true,14,242,true,0,true
joda-time/javac/org/joda/time/format/ISOPeriodFormat,true,1,902,true,0,true
joda-time/javac/org/joda/time/format/DateTimeFormat,true,502,6355,true,117,true
joda-time/javac/org/joda/time/format/PeriodFormatter,true,201,1645,true,0,true
joda-time/javac/org/joda/time/format/InternalParserDateTimeParser,true,43,425,true,19,true
joda-time/javac/org/joda/time/format/DateTimeFormatterBuilder,true,6124,24548,false,NA,false
joda-time/javac/org/joda/time/format/ISODateTimeFormat,true,364,13387,false,NA,false
joda-time/javac/org/joda/time/format/DateTimePrinter,true,24,103,true,0,NA
joda-time/javac/org/joda/time/MutableDateTime,true,2798,7828,true,99,true
joda-time/javac/org/joda/time/Months,true,203,1887,true,20,true
joda-time/javac/org/joda/time/YearMonth,true,572,4635,true,91,true
joda-time/javac/org/joda/time/DateTimeConstants,true,60,572,true,0,NA
joda-time/javac/org/joda/time/TimeOfDay,true,755,5726,true,127,true
joda-time/javac/org/joda/time/Instant,true,106,966,true,14,true
joda-time/javac/org/joda/time/DateTimeField,true,114,606,true,0,NA
joda-time/javac/org/joda/time/tz/DefaultNameProvider,true,54,1479,false,NA,false
joda-time/javac/org/joda/time/tz/DateTimeZoneBuilder,true,3980,22892,false,NA,false
joda-time/javac/org/joda/time/tz/Provider,true,2,17,true,0,NA
joda-time/javac/org/joda/time/tz/CachedDateTimeZone,true,256,2310,true,39,true
joda-time/javac/org/joda/time/tz/NameProvider,true,6,34,true,0,NA
joda-time/javac/org/joda/time/tz/ZoneInfoCompiler,true,830,12215,false,NA,false
