Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
jsoup/eclipse/org/jsoup/examples/ListLinks,true,306,886,false,NA,NA
jsoup/eclipse/org/jsoup/examples/HtmlToPlainText,true,387,1896,false,NA,NA
jsoup/eclipse/org/jsoup/examples/package-info,true,NA,NA,false,NA,NA
jsoup/eclipse/org/jsoup/select/CombiningEvaluator,true,208,1146,false,NA,false
jsoup/eclipse/org/jsoup/select/Elements,true,962,4285,false,NA,false
jsoup/eclipse/org/jsoup/select/package-info,true,NA,NA,false,NA,NA
jsoup/eclipse/org/jsoup/select/QueryParser,true,1624,6795,false,NA,false
jsoup/eclipse/org/jsoup/select/StructuralEvaluator,true,364,1331,false,NA,NA
jsoup/eclipse/org/jsoup/select/Evaluator,true,1771,6551,false,NA,NA
jsoup/eclipse/org/jsoup/select/Collector,true,99,393,false,NA,false
jsoup/eclipse/org/jsoup/select/Selector,true,111,631,false,NA,false
jsoup/eclipse/org/jsoup/select/NodeVisitor,true,1,26,true,0,NA
jsoup/eclipse/org/jsoup/select/NodeTraversor,true,21,346,true,34,true
jsoup/eclipse/org/jsoup/Jsoup,true,55,942,false,NA,false
jsoup/eclipse/org/jsoup/safety/Whitelist,true,1622,7947,false,NA,false
jsoup/eclipse/org/jsoup/safety/package-info,true,NA,NA,false,NA,NA
jsoup/eclipse/org/jsoup/safety/Cleaner,true,385,1565,false,NA,false
jsoup/eclipse/org/jsoup/package-info,true,NA,NA,false,NA,NA
jsoup/eclipse/org/jsoup/UnsupportedMimeTypeException,true,65,221,true,18,NA
jsoup/eclipse/org/jsoup/HttpStatusException,true,65,221,true,18,NA
jsoup/eclipse/org/jsoup/Connection,true,379,881,false,NA,NA
jsoup/eclipse/org/jsoup/helper/DescendableLinkedList,true,127,491,false,NA,false
jsoup/eclipse/org/jsoup/helper/Validate,true,57,531,true,67,true
jsoup/eclipse/org/jsoup/helper/HttpConnection,true,2075,11729,false,NA,false
jsoup/eclipse/org/jsoup/helper/W3CDom,true,299,1350,false,NA,false
jsoup/eclipse/org/jsoup/helper/DataUtil,true,480,2503,false,NA,false
jsoup/eclipse/org/jsoup/helper/StringUtil,true,217,1361,false,NA,false
jsoup/eclipse/org/jsoup/nodes/Attribute,true,266,1588,false,NA,false
jsoup/eclipse/org/jsoup/nodes/TextNode,true,305,1643,false,NA,false
jsoup/eclipse/org/jsoup/nodes/DocumentType,true,114,738,false,NA,false
jsoup/eclipse/org/jsoup/nodes/Node,false,NA,NA,false,NA,false
jsoup/eclipse/org/jsoup/nodes/Entities,true,573,2845,false,NA,false
jsoup/eclipse/org/jsoup/nodes/Comment,true,17,299,false,NA,false
jsoup/eclipse/org/jsoup/nodes/Document,true,712,3193,false,NA,false
jsoup/eclipse/org/jsoup/nodes/package-info,true,NA,NA,false,NA,NA
jsoup/eclipse/org/jsoup/nodes/XmlDeclaration,true,47,320,false,NA,false
jsoup/eclipse/org/jsoup/nodes/FormElement,true,249,807,false,NA,false
jsoup/eclipse/org/jsoup/nodes/Attributes,true,531,2970,false,NA,false
jsoup/eclipse/org/jsoup/nodes/DataNode,true,10,334,false,NA,false
jsoup/eclipse/org/jsoup/nodes/Element,true,1925,8822,false,NA,false
jsoup/eclipse/org/jsoup/parser/TokenQueue,true,1036,3956,false,NA,false
jsoup/eclipse/org/jsoup/parser/Tag,true,1028,3534,false,NA,false
jsoup/eclipse/org/jsoup/parser/Tokeniser,true,732,3338,false,NA,false
jsoup/eclipse/org/jsoup/parser/ParseErrorList,true,14,206,true,6,true
jsoup/eclipse/org/jsoup/parser/TokeniserState,true,NA,22459,false,NA,false
jsoup/eclipse/org/jsoup/parser/package-info,true,NA,NA,false,NA,NA
jsoup/eclipse/org/jsoup/parser/TreeBuilder,true,40,603,false,NA,false
jsoup/eclipse/org/jsoup/parser/Parser,true,163,985,true,64,true
jsoup/eclipse/org/jsoup/parser/HtmlTreeBuilderState,true,NA,27218,false,NA,false
jsoup/eclipse/org/jsoup/parser/CharacterReader,true,636,4520,false,NA,false
jsoup/eclipse/org/jsoup/parser/XmlTreeBuilder,true,311,1365,false,NA,false
jsoup/eclipse/org/jsoup/parser/ParseError,true,45,286,false,NA,false
jsoup/eclipse/org/jsoup/parser/HtmlTreeBuilder,true,1723,8966,false,NA,false
jsoup/eclipse/org/jsoup/parser/Token,true,593,3197,false,NA,false
