Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
jsoup/javac/org/jsoup/examples/ListLinks,true,311,886,false,NA,NA
jsoup/javac/org/jsoup/examples/HtmlToPlainText,true,387,1896,false,NA,NA
jsoup/javac/org/jsoup/examples/package-info,true,NA,NA,false,NA,NA
jsoup/javac/org/jsoup/select/CombiningEvaluator,true,208,1146,false,NA,false
jsoup/javac/org/jsoup/select/Elements,true,968,4285,false,NA,false
jsoup/javac/org/jsoup/select/package-info,true,NA,NA,false,NA,NA
jsoup/javac/org/jsoup/select/QueryParser,true,1631,6795,false,NA,false
jsoup/javac/org/jsoup/select/StructuralEvaluator,true,364,1331,false,NA,NA
jsoup/javac/org/jsoup/select/Evaluator,true,1771,6551,false,NA,NA
jsoup/javac/org/jsoup/select/Collector,true,99,393,false,NA,false
jsoup/javac/org/jsoup/select/Selector,true,111,631,false,NA,false
jsoup/javac/org/jsoup/select/NodeVisitor,true,1,26,true,0,NA
jsoup/javac/org/jsoup/select/NodeTraversor,true,21,346,true,29,true
jsoup/javac/org/jsoup/Jsoup,true,55,942,false,NA,false
jsoup/javac/org/jsoup/safety/Whitelist,true,1687,7947,false,NA,false
jsoup/javac/org/jsoup/safety/package-info,true,NA,NA,false,NA,NA
jsoup/javac/org/jsoup/safety/Cleaner,true,392,1565,false,NA,false
jsoup/javac/org/jsoup/package-info,true,NA,NA,false,NA,NA
jsoup/javac/org/jsoup/UnsupportedMimeTypeException,true,70,221,true,18,NA
jsoup/javac/org/jsoup/HttpStatusException,true,70,221,true,18,NA
jsoup/javac/org/jsoup/Connection,true,379,881,false,NA,NA
jsoup/javac/org/jsoup/helper/DescendableLinkedList,true,127,491,false,NA,false
jsoup/javac/org/jsoup/helper/Validate,true,57,531,true,72,true
jsoup/javac/org/jsoup/helper/HttpConnection,true,2072,11729,false,NA,false
jsoup/javac/org/jsoup/helper/W3CDom,true,299,1350,false,NA,false
jsoup/javac/org/jsoup/helper/DataUtil,false,NA,NA,false,NA,false
jsoup/javac/org/jsoup/helper/StringUtil,true,223,1361,false,NA,false
jsoup/javac/org/jsoup/nodes/Attribute,true,293,1588,false,NA,false
jsoup/javac/org/jsoup/nodes/TextNode,true,311,1643,false,NA,false
jsoup/javac/org/jsoup/nodes/DocumentType,true,116,738,false,NA,false
jsoup/javac/org/jsoup/nodes/Node,false,NA,NA,false,NA,false
jsoup/javac/org/jsoup/nodes/Entities,true,591,2845,false,NA,false
jsoup/javac/org/jsoup/nodes/Comment,true,17,299,false,NA,false
jsoup/javac/org/jsoup/nodes/Document,true,716,3193,false,NA,false
jsoup/javac/org/jsoup/nodes/package-info,true,NA,NA,false,NA,NA
jsoup/javac/org/jsoup/nodes/XmlDeclaration,true,47,320,false,NA,false
jsoup/javac/org/jsoup/nodes/FormElement,true,249,807,false,NA,false
jsoup/javac/org/jsoup/nodes/Attributes,true,529,2970,false,NA,false
jsoup/javac/org/jsoup/nodes/DataNode,true,10,334,false,NA,false
jsoup/javac/org/jsoup/nodes/Element,true,1970,8822,false,NA,false
jsoup/javac/org/jsoup/parser/TokenQueue,true,1077,3956,false,NA,false
jsoup/javac/org/jsoup/parser/Tag,true,1035,3534,false,NA,false
jsoup/javac/org/jsoup/parser/Tokeniser,true,732,3338,false,NA,false
jsoup/javac/org/jsoup/parser/ParseErrorList,true,22,206,true,11,true
jsoup/javac/org/jsoup/parser/TokeniserState,true,NA,22459,false,NA,false
jsoup/javac/org/jsoup/parser/package-info,true,NA,NA,false,NA,NA
jsoup/javac/org/jsoup/parser/TreeBuilder,true,34,603,false,NA,false
jsoup/javac/org/jsoup/parser/Parser,true,172,985,true,74,true
jsoup/javac/org/jsoup/parser/HtmlTreeBuilderState,true,NA,27218,false,NA,false
jsoup/javac/org/jsoup/parser/CharacterReader,true,702,4520,false,NA,false
jsoup/javac/org/jsoup/parser/XmlTreeBuilder,true,250,1365,false,NA,false
jsoup/javac/org/jsoup/parser/ParseError,true,50,286,false,NA,false
jsoup/javac/org/jsoup/parser/HtmlTreeBuilder,true,1722,8966,false,NA,false
jsoup/javac/org/jsoup/parser/Token,true,639,3197,false,NA,false
