Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
jsoup/eclipse/org/jsoup/examples/ListLinks,true,90,886,false,NA,NA
jsoup/eclipse/org/jsoup/examples/HtmlToPlainText,true,358,1896,false,NA,NA
jsoup/eclipse/org/jsoup/examples/package-info,true,NA,NA,false,NA,NA
jsoup/eclipse/org/jsoup/select/CombiningEvaluator,true,192,1146,false,NA,false
jsoup/eclipse/org/jsoup/select/Elements,true,290,4285,true,53,true
jsoup/eclipse/org/jsoup/select/package-info,true,NA,NA,false,NA,NA
jsoup/eclipse/org/jsoup/select/QueryParser,true,520,6795,true,287,true
jsoup/eclipse/org/jsoup/select/StructuralEvaluator,true,364,1331,false,NA,NA
jsoup/eclipse/org/jsoup/select/Evaluator,true,1771,6551,false,NA,NA
jsoup/eclipse/org/jsoup/select/Collector,true,91,393,false,NA,false
jsoup/eclipse/org/jsoup/select/Selector,true,24,631,false,NA,false
jsoup/eclipse/org/jsoup/select/NodeVisitor,true,0,26,true,0,NA
jsoup/eclipse/org/jsoup/select/NodeTraversor,true,13,346,true,8,true
jsoup/eclipse/org/jsoup/Jsoup,true,44,942,true,44,true
jsoup/eclipse/org/jsoup/safety/Whitelist,true,570,7947,false,NA,false
jsoup/eclipse/org/jsoup/safety/package-info,true,NA,NA,false,NA,NA
jsoup/eclipse/org/jsoup/safety/Cleaner,true,270,1565,false,NA,false
jsoup/eclipse/org/jsoup/package-info,true,NA,NA,false,NA,NA
jsoup/eclipse/org/jsoup/UnsupportedMimeTypeException,true,13,221,true,0,NA
jsoup/eclipse/org/jsoup/HttpStatusException,true,13,221,true,0,NA
jsoup/eclipse/org/jsoup/Connection,true,398,881,false,NA,NA
jsoup/eclipse/org/jsoup/helper/DescendableLinkedList,true,58,491,false,NA,false
jsoup/eclipse/org/jsoup/helper/Validate,true,0,531,true,0,true
jsoup/eclipse/org/jsoup/helper/HttpConnection,true,2001,11729,false,NA,false
jsoup/eclipse/org/jsoup/helper/W3CDom,true,256,1350,false,NA,false
jsoup/eclipse/org/jsoup/helper/DataUtil,true,165,2503,false,NA,false
jsoup/eclipse/org/jsoup/helper/StringUtil,true,50,1361,true,50,true
jsoup/eclipse/org/jsoup/nodes/Attribute,true,144,1588,true,66,true
jsoup/eclipse/org/jsoup/nodes/TextNode,true,110,1643,true,43,true
jsoup/eclipse/org/jsoup/nodes/DocumentType,true,13,738,true,33,true
jsoup/eclipse/org/jsoup/nodes/Node,true,582,6503,false,NA,false
jsoup/eclipse/org/jsoup/nodes/Entities,true,282,2845,false,NA,false
jsoup/eclipse/org/jsoup/nodes/Comment,true,9,299,true,8,true
jsoup/eclipse/org/jsoup/nodes/Document,true,335,3193,false,NA,false
jsoup/eclipse/org/jsoup/nodes/package-info,true,NA,NA,false,NA,NA
jsoup/eclipse/org/jsoup/nodes/XmlDeclaration,true,12,320,true,8,true
jsoup/eclipse/org/jsoup/nodes/FormElement,true,74,807,true,82,true
jsoup/eclipse/org/jsoup/nodes/Attributes,true,326,2970,false,NA,false
jsoup/eclipse/org/jsoup/nodes/DataNode,true,16,334,true,16,true
jsoup/eclipse/org/jsoup/nodes/Element,true,504,8822,false,NA,false
jsoup/eclipse/org/jsoup/parser/TokenQueue,true,425,3956,true,126,true
jsoup/eclipse/org/jsoup/parser/Tag,true,550,3534,true,773,true
jsoup/eclipse/org/jsoup/parser/Tokeniser,true,409,3338,false,NA,false
jsoup/eclipse/org/jsoup/parser/ParseErrorList,true,8,206,true,8,true
jsoup/eclipse/org/jsoup/parser/TokeniserState,true,4892,22459,false,NA,false
jsoup/eclipse/org/jsoup/parser/package-info,true,NA,NA,false,NA,NA
jsoup/eclipse/org/jsoup/parser/TreeBuilder,true,65,603,false,NA,false
jsoup/eclipse/org/jsoup/parser/Parser,true,66,985,true,47,true
jsoup/eclipse/org/jsoup/parser/HtmlTreeBuilderState,true,5733,27218,false,NA,false
jsoup/eclipse/org/jsoup/parser/CharacterReader,true,703,4520,true,289,true
jsoup/eclipse/org/jsoup/parser/XmlTreeBuilder,true,222,1365,true,107,true
jsoup/eclipse/org/jsoup/parser/ParseError,true,14,286,true,0,true
jsoup/eclipse/org/jsoup/parser/HtmlTreeBuilder,true,832,8966,true,844,false
jsoup/eclipse/org/jsoup/parser/Token,true,568,3197,false,NA,false
