Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
jsoup/javac/org/jsoup/helper/W3CDom,true,64,1350,false,NA,false
jsoup/javac/org/jsoup/helper/DataUtil,true,255,2503,false,NA,false
jsoup/javac/org/jsoup/helper/Validate,true,3,531,true,4,true
jsoup/javac/org/jsoup/helper/HttpConnection,true,644,11729,false,NA,false
jsoup/javac/org/jsoup/helper/StringUtil,true,27,1361,false,NA,false
jsoup/javac/org/jsoup/helper/DescendableLinkedList,true,28,491,false,NA,false
jsoup/javac/org/jsoup/HttpStatusException,true,13,221,true,0,NA
jsoup/javac/org/jsoup/package-info,false,NA,NA,false,NA,NA
jsoup/javac/org/jsoup/select/CombiningEvaluator,true,60,1146,true,0,true
jsoup/javac/org/jsoup/select/package-info,false,NA,NA,false,NA,NA
jsoup/javac/org/jsoup/select/Evaluator,true,523,6551,false,NA,NA
jsoup/javac/org/jsoup/select/QueryParser,true,447,6795,false,NA,false
jsoup/javac/org/jsoup/select/Collector,true,12,393,true,4,true
jsoup/javac/org/jsoup/select/Elements,true,276,4285,true,1,true
jsoup/javac/org/jsoup/select/StructuralEvaluator,true,60,1331,true,0,NA
jsoup/javac/org/jsoup/select/Selector,true,6,631,true,0,true
jsoup/javac/org/jsoup/select/NodeVisitor,true,0,26,true,0,NA
jsoup/javac/org/jsoup/select/NodeTraversor,true,23,346,true,0,true
jsoup/javac/org/jsoup/Connection,true,19,881,false,NA,NA
jsoup/javac/org/jsoup/Jsoup,true,3,942,true,4,true
jsoup/javac/org/jsoup/parser/Tag,true,143,3534,true,0,true
jsoup/javac/org/jsoup/parser/package-info,false,NA,NA,false,NA,NA
jsoup/javac/org/jsoup/parser/TokenQueue,true,400,3956,false,NA,false
jsoup/javac/org/jsoup/parser/Tokeniser,true,320,3338,false,NA,false
jsoup/javac/org/jsoup/parser/Parser,true,24,985,true,4,true
jsoup/javac/org/jsoup/parser/HtmlTreeBuilder,true,529,8966,false,NA,false
jsoup/javac/org/jsoup/parser/XmlTreeBuilder,true,95,1365,false,NA,false
jsoup/javac/org/jsoup/parser/ParseErrorList,true,9,206,true,0,true
jsoup/javac/org/jsoup/parser/CharacterReader,true,390,4520,true,29,false
jsoup/javac/org/jsoup/parser/ParseError,true,13,286,true,0,true
jsoup/javac/org/jsoup/parser/TokeniserState,false,NA,NA,false,NA,false
jsoup/javac/org/jsoup/parser/Token,true,211,3197,false,NA,false
jsoup/javac/org/jsoup/parser/TreeBuilder,true,41,603,true,6,true
jsoup/javac/org/jsoup/parser/HtmlTreeBuilderState,false,NA,NA,false,NA,false
jsoup/javac/org/jsoup/safety/package-info,false,NA,NA,false,NA,NA
jsoup/javac/org/jsoup/safety/Cleaner,true,102,1565,false,NA,false
jsoup/javac/org/jsoup/safety/Whitelist,true,483,7947,true,32,true
jsoup/javac/org/jsoup/nodes/Comment,true,11,299,true,0,true
jsoup/javac/org/jsoup/nodes/FormElement,true,13,807,true,5,true
jsoup/javac/org/jsoup/nodes/Element,true,259,8822,false,NA,false
jsoup/javac/org/jsoup/nodes/package-info,false,NA,NA,false,NA,NA
jsoup/javac/org/jsoup/nodes/Entities,true,260,2845,false,NA,false
jsoup/javac/org/jsoup/nodes/XmlDeclaration,true,14,320,true,0,true
jsoup/javac/org/jsoup/nodes/DataNode,true,16,334,true,0,true
jsoup/javac/org/jsoup/nodes/Attributes,true,178,2970,false,NA,false
jsoup/javac/org/jsoup/nodes/TextNode,true,56,1643,false,NA,false
jsoup/javac/org/jsoup/nodes/Node,true,285,6503,true,4,true
jsoup/javac/org/jsoup/nodes/Document,true,68,3193,true,2,true
jsoup/javac/org/jsoup/nodes/Attribute,true,90,1588,false,NA,false
jsoup/javac/org/jsoup/nodes/DocumentType,true,60,738,false,NA,false
jsoup/javac/org/jsoup/examples/package-info,false,NA,NA,false,NA,NA
jsoup/javac/org/jsoup/examples/ListLinks,true,41,886,true,19,NA
jsoup/javac/org/jsoup/examples/HtmlToPlainText,true,109,1896,false,NA,NA
jsoup/javac/org/jsoup/UnsupportedMimeTypeException,true,13,221,true,0,NA
