Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
jsoup/eclipse/org/jsoup/examples/ListLinks,true,33,886,true,0,NA
jsoup/eclipse/org/jsoup/examples/HtmlToPlainText,true,287,1896,false,NA,NA
jsoup/eclipse/org/jsoup/examples/package-info,true,NA,NA,false,NA,NA
jsoup/eclipse/org/jsoup/select/CombiningEvaluator,true,178,1146,false,NA,false
jsoup/eclipse/org/jsoup/select/Elements,true,16,4285,false,NA,false
jsoup/eclipse/org/jsoup/select/package-info,true,NA,NA,false,NA,NA
jsoup/eclipse/org/jsoup/select/QueryParser,true,120,6795,false,NA,false
jsoup/eclipse/org/jsoup/select/StructuralEvaluator,true,365,1331,false,NA,NA
jsoup/eclipse/org/jsoup/select/Evaluator,true,1773,6551,false,NA,NA
jsoup/eclipse/org/jsoup/select/Collector,true,93,393,false,NA,false
jsoup/eclipse/org/jsoup/select/Selector,true,21,631,false,NA,false
jsoup/eclipse/org/jsoup/select/NodeVisitor,true,1,26,true,0,NA
jsoup/eclipse/org/jsoup/select/NodeTraversor,true,0,346,true,0,true
jsoup/eclipse/org/jsoup/Jsoup,true,3,942,true,4,true
jsoup/eclipse/org/jsoup/safety/Whitelist,true,979,7947,false,NA,false
jsoup/eclipse/org/jsoup/safety/package-info,true,NA,NA,false,NA,NA
jsoup/eclipse/org/jsoup/safety/Cleaner,true,222,1565,false,NA,false
jsoup/eclipse/org/jsoup/package-info,true,NA,NA,false,NA,NA
jsoup/eclipse/org/jsoup/UnsupportedMimeTypeException,true,1,221,true,0,NA
jsoup/eclipse/org/jsoup/HttpStatusException,true,1,221,true,0,NA
jsoup/eclipse/org/jsoup/Connection,true,385,881,false,NA,NA
jsoup/eclipse/org/jsoup/helper/DescendableLinkedList,true,58,491,false,NA,false
jsoup/eclipse/org/jsoup/helper/Validate,true,33,531,true,24,true
jsoup/eclipse/org/jsoup/helper/HttpConnection,true,1878,11729,false,NA,false
jsoup/eclipse/org/jsoup/helper/W3CDom,true,204,1350,false,NA,false
jsoup/eclipse/org/jsoup/helper/DataUtil,true,95,2503,false,NA,false
jsoup/eclipse/org/jsoup/helper/StringUtil,true,43,1361,true,22,true
jsoup/eclipse/org/jsoup/nodes/Attribute,true,16,1588,false,NA,false
jsoup/eclipse/org/jsoup/nodes/TextNode,true,27,1643,true,0,true
jsoup/eclipse/org/jsoup/nodes/DocumentType,true,40,738,true,0,true
jsoup/eclipse/org/jsoup/nodes/Node,true,289,6503,false,NA,false
jsoup/eclipse/org/jsoup/nodes/Entities,true,134,2845,false,NA,false
jsoup/eclipse/org/jsoup/nodes/Comment,true,7,299,true,0,true
jsoup/eclipse/org/jsoup/nodes/Document,true,320,3193,false,NA,false
jsoup/eclipse/org/jsoup/nodes/package-info,true,NA,NA,false,NA,NA
jsoup/eclipse/org/jsoup/nodes/XmlDeclaration,true,7,320,true,0,true
jsoup/eclipse/org/jsoup/nodes/FormElement,true,15,807,false,NA,false
jsoup/eclipse/org/jsoup/nodes/Attributes,true,184,2970,false,NA,false
jsoup/eclipse/org/jsoup/nodes/DataNode,true,10,334,true,0,true
jsoup/eclipse/org/jsoup/nodes/Element,true,211,8822,false,NA,false
jsoup/eclipse/org/jsoup/parser/TokenQueue,true,277,3956,true,118,true
jsoup/eclipse/org/jsoup/parser/Tag,true,275,3534,false,NA,false
jsoup/eclipse/org/jsoup/parser/Tokeniser,true,116,3338,false,NA,false
jsoup/eclipse/org/jsoup/parser/ParseErrorList,true,3,206,true,0,true
jsoup/eclipse/org/jsoup/parser/TokeniserState,true,4685,22459,false,NA,false
jsoup/eclipse/org/jsoup/parser/package-info,true,NA,NA,false,NA,NA
jsoup/eclipse/org/jsoup/parser/TreeBuilder,true,19,603,false,NA,false
jsoup/eclipse/org/jsoup/parser/Parser,true,34,985,true,20,true
jsoup/eclipse/org/jsoup/parser/HtmlTreeBuilderState,true,5628,27218,false,NA,false
jsoup/eclipse/org/jsoup/parser/CharacterReader,true,113,4520,true,37,false
jsoup/eclipse/org/jsoup/parser/XmlTreeBuilder,true,19,1365,false,NA,false
jsoup/eclipse/org/jsoup/parser/ParseError,true,4,286,true,0,true
jsoup/eclipse/org/jsoup/parser/HtmlTreeBuilder,true,245,8966,false,NA,false
jsoup/eclipse/org/jsoup/parser/Token,true,576,3197,false,NA,false
