Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
jsoup/javac/org/jsoup/examples/ListLinks,true,33,886,true,0,NA
jsoup/javac/org/jsoup/examples/HtmlToPlainText,true,287,1896,false,NA,NA
jsoup/javac/org/jsoup/examples/package-info,false,NA,NA,false,NA,NA
jsoup/javac/org/jsoup/select/CombiningEvaluator,true,178,1146,false,NA,false
jsoup/javac/org/jsoup/select/Elements,true,16,4285,false,NA,false
jsoup/javac/org/jsoup/select/package-info,false,NA,NA,false,NA,NA
jsoup/javac/org/jsoup/select/QueryParser,true,120,6795,false,NA,false
jsoup/javac/org/jsoup/select/StructuralEvaluator,true,365,1331,false,NA,NA
jsoup/javac/org/jsoup/select/Evaluator,true,1773,6551,false,NA,NA
jsoup/javac/org/jsoup/select/Collector,true,93,393,false,NA,false
jsoup/javac/org/jsoup/select/Selector,true,21,631,false,NA,false
jsoup/javac/org/jsoup/select/NodeVisitor,true,1,26,true,0,NA
jsoup/javac/org/jsoup/select/NodeTraversor,true,0,346,true,0,true
jsoup/javac/org/jsoup/Jsoup,true,3,942,true,4,true
jsoup/javac/org/jsoup/safety/Whitelist,true,790,7947,false,NA,false
jsoup/javac/org/jsoup/safety/package-info,false,NA,NA,false,NA,NA
jsoup/javac/org/jsoup/safety/Cleaner,true,222,1565,false,NA,false
jsoup/javac/org/jsoup/package-info,false,NA,NA,false,NA,NA
jsoup/javac/org/jsoup/UnsupportedMimeTypeException,true,1,221,true,0,NA
jsoup/javac/org/jsoup/HttpStatusException,true,1,221,true,0,NA
jsoup/javac/org/jsoup/Connection,true,385,881,false,NA,NA
jsoup/javac/org/jsoup/helper/DescendableLinkedList,true,58,491,false,NA,false
jsoup/javac/org/jsoup/helper/Validate,true,3,531,true,4,true
jsoup/javac/org/jsoup/helper/HttpConnection,true,1879,11729,false,NA,false
jsoup/javac/org/jsoup/helper/W3CDom,true,204,1350,false,NA,false
jsoup/javac/org/jsoup/helper/DataUtil,true,64,2503,false,NA,false
jsoup/javac/org/jsoup/helper/StringUtil,true,12,1361,true,4,true
jsoup/javac/org/jsoup/nodes/Attribute,true,16,1588,false,NA,false
jsoup/javac/org/jsoup/nodes/TextNode,true,27,1643,true,0,true
jsoup/javac/org/jsoup/nodes/DocumentType,true,40,738,true,0,true
jsoup/javac/org/jsoup/nodes/Node,true,237,6503,false,NA,false
jsoup/javac/org/jsoup/nodes/Entities,true,104,2845,false,NA,false
jsoup/javac/org/jsoup/nodes/Comment,true,7,299,true,0,true
jsoup/javac/org/jsoup/nodes/Document,true,321,3193,false,NA,false
jsoup/javac/org/jsoup/nodes/package-info,false,NA,NA,false,NA,NA
jsoup/javac/org/jsoup/nodes/XmlDeclaration,true,7,320,true,0,true
jsoup/javac/org/jsoup/nodes/FormElement,true,15,807,false,NA,false
jsoup/javac/org/jsoup/nodes/Attributes,true,185,2970,false,NA,false
jsoup/javac/org/jsoup/nodes/DataNode,true,10,334,true,0,true
jsoup/javac/org/jsoup/nodes/Element,true,210,8822,false,NA,false
jsoup/javac/org/jsoup/parser/TokenQueue,true,176,3956,true,34,true
jsoup/javac/org/jsoup/parser/Tag,true,55,3534,false,NA,false
jsoup/javac/org/jsoup/parser/Tokeniser,true,116,3338,false,NA,false
jsoup/javac/org/jsoup/parser/ParseErrorList,true,3,206,true,0,true
jsoup/javac/org/jsoup/parser/TokeniserState,true,4668,22459,false,NA,false
jsoup/javac/org/jsoup/parser/package-info,false,NA,NA,false,NA,NA
jsoup/javac/org/jsoup/parser/TreeBuilder,true,10,603,false,NA,false
jsoup/javac/org/jsoup/parser/Parser,true,3,985,true,1,true
jsoup/javac/org/jsoup/parser/HtmlTreeBuilderState,true,NA,27218,false,NA,false
jsoup/javac/org/jsoup/parser/CharacterReader,true,81,4520,false,NA,false
jsoup/javac/org/jsoup/parser/XmlTreeBuilder,true,40,1365,false,NA,false
jsoup/javac/org/jsoup/parser/ParseError,true,4,286,true,0,true
jsoup/javac/org/jsoup/parser/HtmlTreeBuilder,true,240,8966,false,NA,false
jsoup/javac/org/jsoup/parser/Token,true,576,3197,false,NA,false
