Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
jsoup/eclipse/org/jsoup/examples/ListLinks,true,93,886,false,NA,NA
jsoup/eclipse/org/jsoup/examples/HtmlToPlainText,true,402,1896,true,NA,NA
jsoup/eclipse/org/jsoup/examples/package-info,true,NA,NA,true,NA,NA
jsoup/eclipse/org/jsoup/select/CombiningEvaluator,true,46,1146,false,NA,false
jsoup/eclipse/org/jsoup/select/Elements,true,705,4285,false,NA,false
jsoup/eclipse/org/jsoup/select/package-info,true,NA,NA,true,NA,NA
jsoup/eclipse/org/jsoup/select/QueryParser,true,98,6795,true,70,true
jsoup/eclipse/org/jsoup/select/StructuralEvaluator,true,172,1331,true,0,NA
jsoup/eclipse/org/jsoup/select/Evaluator,true,506,6551,true,0,NA
jsoup/eclipse/org/jsoup/select/Collector,true,1,393,true,0,true
jsoup/eclipse/org/jsoup/select/Selector,true,58,631,false,NA,false
jsoup/eclipse/org/jsoup/select/NodeVisitor,true,0,26,true,0,NA
jsoup/eclipse/org/jsoup/select/NodeTraversor,true,6,346,true,0,true
jsoup/eclipse/org/jsoup/Jsoup,true,0,942,true,0,true
jsoup/eclipse/org/jsoup/safety/Whitelist,true,635,7947,false,NA,false
jsoup/eclipse/org/jsoup/safety/package-info,true,NA,NA,true,NA,NA
jsoup/eclipse/org/jsoup/safety/Cleaner,true,384,1565,false,NA,false
jsoup/eclipse/org/jsoup/package-info,true,NA,NA,true,NA,NA
jsoup/eclipse/org/jsoup/UnsupportedMimeTypeException,true,18,221,true,1,NA
jsoup/eclipse/org/jsoup/HttpStatusException,true,18,221,true,1,NA
jsoup/eclipse/org/jsoup/Connection,true,582,881,false,NA,NA
jsoup/eclipse/org/jsoup/helper/DescendableLinkedList,true,104,491,false,NA,false
jsoup/eclipse/org/jsoup/helper/Validate,true,31,531,true,18,true
jsoup/eclipse/org/jsoup/helper/HttpConnection,true,802,11729,false,NA,false
jsoup/eclipse/org/jsoup/helper/W3CDom,true,317,1350,true,NA,false
jsoup/eclipse/org/jsoup/helper/DataUtil,true,140,2503,false,NA,false
jsoup/eclipse/org/jsoup/helper/StringUtil,true,51,1361,false,NA,false
jsoup/eclipse/org/jsoup/nodes/Attribute,true,115,1588,false,NA,false
jsoup/eclipse/org/jsoup/nodes/TextNode,true,31,1643,true,0,true
jsoup/eclipse/org/jsoup/nodes/DocumentType,true,40,738,true,0,true
jsoup/eclipse/org/jsoup/nodes/Node,true,1484,6503,false,NA,false
jsoup/eclipse/org/jsoup/nodes/Entities,true,615,2845,false,NA,false
jsoup/eclipse/org/jsoup/nodes/Comment,true,7,299,true,0,true
jsoup/eclipse/org/jsoup/nodes/Document,true,795,3193,false,NA,false
jsoup/eclipse/org/jsoup/nodes/package-info,true,NA,NA,true,NA,NA
jsoup/eclipse/org/jsoup/nodes/XmlDeclaration,true,7,320,true,0,true
jsoup/eclipse/org/jsoup/nodes/FormElement,true,49,807,true,58,true
jsoup/eclipse/org/jsoup/nodes/Attributes,true,572,2970,false,NA,false
jsoup/eclipse/org/jsoup/nodes/DataNode,true,10,334,true,0,true
jsoup/eclipse/org/jsoup/nodes/Element,true,2150,8822,false,NA,false
jsoup/eclipse/org/jsoup/parser/TokenQueue,true,215,3956,false,NA,false
jsoup/eclipse/org/jsoup/parser/Tag,true,257,3534,true,138,true
jsoup/eclipse/org/jsoup/parser/Tokeniser,true,86,3338,true,0,true
jsoup/eclipse/org/jsoup/parser/ParseErrorList,true,11,206,true,0,true
jsoup/eclipse/org/jsoup/parser/TokeniserState,true,5078,22459,false,NA,false
jsoup/eclipse/org/jsoup/parser/package-info,true,NA,NA,true,NA,NA
jsoup/eclipse/org/jsoup/parser/TreeBuilder,true,15,603,false,NA,false
jsoup/eclipse/org/jsoup/parser/Parser,true,42,985,true,26,true
jsoup/eclipse/org/jsoup/parser/HtmlTreeBuilderState,true,5808,27218,false,NA,false
jsoup/eclipse/org/jsoup/parser/CharacterReader,true,142,4520,false,NA,false
jsoup/eclipse/org/jsoup/parser/XmlTreeBuilder,true,142,1365,true,53,true
jsoup/eclipse/org/jsoup/parser/ParseError,true,16,286,false,NA,false
jsoup/eclipse/org/jsoup/parser/HtmlTreeBuilder,true,2135,8966,false,NA,false
jsoup/eclipse/org/jsoup/parser/Token,true,648,3197,false,NA,false
