Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
jsoup/eclipse/org/jsoup/examples/ListLinks,true,217,886,false,NA,NA
jsoup/eclipse/org/jsoup/examples/HtmlToPlainText,true,374,1896,false,NA,NA
jsoup/eclipse/org/jsoup/examples/package-info,true,NA,NA,false,NA,NA
jsoup/eclipse/org/jsoup/select/CombiningEvaluator,true,211,1146,false,NA,false
jsoup/eclipse/org/jsoup/select/Elements,true,947,4285,false,NA,false
jsoup/eclipse/org/jsoup/select/package-info,true,NA,NA,false,NA,NA
jsoup/eclipse/org/jsoup/select/QueryParser,true,977,6795,false,NA,false
jsoup/eclipse/org/jsoup/select/StructuralEvaluator,true,364,1331,false,NA,NA
jsoup/eclipse/org/jsoup/select/Evaluator,true,1771,6551,false,NA,NA
jsoup/eclipse/org/jsoup/select/Collector,true,88,393,false,NA,false
jsoup/eclipse/org/jsoup/select/Selector,true,115,631,false,NA,false
jsoup/eclipse/org/jsoup/select/NodeVisitor,true,1,26,true,0,NA
jsoup/eclipse/org/jsoup/select/NodeTraversor,true,58,346,true,15,true
jsoup/eclipse/org/jsoup/Jsoup,true,33,942,false,NA,false
jsoup/eclipse/org/jsoup/safety/Whitelist,true,1944,7947,false,NA,false
jsoup/eclipse/org/jsoup/safety/package-info,true,NA,NA,false,NA,NA
jsoup/eclipse/org/jsoup/safety/Cleaner,true,306,1565,false,NA,false
jsoup/eclipse/org/jsoup/package-info,true,NA,NA,false,NA,NA
jsoup/eclipse/org/jsoup/UnsupportedMimeTypeException,true,38,221,true,2,NA
jsoup/eclipse/org/jsoup/HttpStatusException,true,38,221,true,2,NA
jsoup/eclipse/org/jsoup/Connection,true,385,881,false,NA,NA
jsoup/eclipse/org/jsoup/helper/DescendableLinkedList,true,82,491,false,NA,false
jsoup/eclipse/org/jsoup/helper/Validate,true,39,531,true,22,true
jsoup/eclipse/org/jsoup/helper/HttpConnection,true,2063,11729,false,NA,false
jsoup/eclipse/org/jsoup/helper/W3CDom,true,246,1350,false,NA,false
jsoup/eclipse/org/jsoup/helper/DataUtil,true,317,2503,false,NA,false
jsoup/eclipse/org/jsoup/helper/StringUtil,true,210,1361,false,NA,false
jsoup/eclipse/org/jsoup/nodes/Attribute,true,447,1588,false,NA,false
jsoup/eclipse/org/jsoup/nodes/TextNode,true,309,1643,false,NA,false
jsoup/eclipse/org/jsoup/nodes/DocumentType,true,113,738,false,NA,false
jsoup/eclipse/org/jsoup/nodes/Node,true,968,6503,false,NA,false
jsoup/eclipse/org/jsoup/nodes/Entities,true,468,2845,false,NA,false
jsoup/eclipse/org/jsoup/nodes/Comment,true,22,299,false,NA,false
jsoup/eclipse/org/jsoup/nodes/Document,true,558,3193,false,NA,false
jsoup/eclipse/org/jsoup/nodes/package-info,true,NA,NA,false,NA,NA
jsoup/eclipse/org/jsoup/nodes/XmlDeclaration,true,22,320,false,NA,false
jsoup/eclipse/org/jsoup/nodes/FormElement,true,118,807,false,NA,false
jsoup/eclipse/org/jsoup/nodes/Attributes,true,413,2970,false,NA,false
jsoup/eclipse/org/jsoup/nodes/DataNode,true,29,334,false,NA,false
jsoup/eclipse/org/jsoup/nodes/Element,true,1497,8822,false,NA,false
jsoup/eclipse/org/jsoup/parser/TokenQueue,true,1197,3956,true,606,true
jsoup/eclipse/org/jsoup/parser/Tag,true,2060,3534,true,649,true
jsoup/eclipse/org/jsoup/parser/Tokeniser,true,817,3338,false,NA,false
jsoup/eclipse/org/jsoup/parser/ParseErrorList,true,23,206,true,6,true
jsoup/eclipse/org/jsoup/parser/TokeniserState,true,6119,22459,false,NA,false
jsoup/eclipse/org/jsoup/parser/package-info,true,NA,NA,false,NA,NA
jsoup/eclipse/org/jsoup/parser/TreeBuilder,true,46,603,false,NA,false
jsoup/eclipse/org/jsoup/parser/Parser,true,109,985,true,50,true
jsoup/eclipse/org/jsoup/parser/HtmlTreeBuilderState,true,5937,27218,false,NA,false
jsoup/eclipse/org/jsoup/parser/CharacterReader,true,1224,4520,false,NA,false
jsoup/eclipse/org/jsoup/parser/XmlTreeBuilder,true,337,1365,false,NA,false
jsoup/eclipse/org/jsoup/parser/ParseError,true,27,286,false,NA,false
jsoup/eclipse/org/jsoup/parser/HtmlTreeBuilder,true,3773,8966,false,NA,false
jsoup/eclipse/org/jsoup/parser/Token,true,604,3197,false,NA,false
