Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
junit4/javac/org/junit/validator/ValidateWith,true,0,37,true,0,true
junit4/javac/org/junit/validator/TestClassValidator,true,0,12,true,0,true
junit4/javac/org/junit/validator/AnnotationValidatorFactory,true,0,365,true,0,true
junit4/javac/org/junit/validator/AnnotationsValidator,true,45,1066,false,NA,false
junit4/javac/org/junit/validator/AnnotationValidator,true,0,118,true,0,true
junit4/javac/org/junit/validator/PublicClassValidator,true,3,135,true,0,true
junit4/javac/org/junit/runners/Parameterized,true,137,1696,true,29,true
junit4/javac/org/junit/runners/BlockJUnit4ClassRunner,true,203,3403,true,5,true
junit4/javac/org/junit/runners/package-info,false,NA,NA,false,NA,false
junit4/javac/org/junit/runners/parameterized/BlockJUnit4ClassRunnerWithParameters,true,122,1709,true,28,true
junit4/javac/org/junit/runners/parameterized/ParametersRunnerFactory,true,0,12,true,0,true
junit4/javac/org/junit/runners/parameterized/TestWithParameters,true,45,869,true,0,true
junit4/javac/org/junit/runners/parameterized/BlockJUnit4ClassRunnerWithParametersFactory,true,0,42,true,0,true
junit4/javac/org/junit/runners/ParentRunner,true,260,3497,false,NA,false
junit4/javac/org/junit/runners/Suite,true,22,975,true,0,true
junit4/javac/org/junit/runners/JUnit4,true,0,47,true,0,true
junit4/javac/org/junit/runners/AllTests,true,0,47,true,0,true
junit4/javac/org/junit/runners/model/FrameworkMember,true,16,213,false,NA,false
junit4/javac/org/junit/runners/model/NoGenericTypeParametersValidator,true,35,696,true,0,true
junit4/javac/org/junit/runners/model/Annotatable,true,0,24,true,0,true
junit4/javac/org/junit/runners/model/TestTimedOutException,true,6,188,true,0,true
junit4/javac/org/junit/runners/model/InitializationError,true,3,181,true,0,true
junit4/javac/org/junit/runners/model/FrameworkMethod,true,108,1773,true,6,true
junit4/javac/org/junit/runners/model/FrameworkField,true,36,511,true,0,true
junit4/javac/org/junit/runners/model/Statement,true,0,20,true,0,true
junit4/javac/org/junit/runners/model/MultipleFailureException,true,11,480,true,0,true
junit4/javac/org/junit/runners/model/TestClass,true,126,4288,false,NA,false
junit4/javac/org/junit/runners/model/RunnerScheduler,true,0,14,true,0,true
junit4/javac/org/junit/runners/model/RunnerBuilder,true,35,825,true,16,true
junit4/javac/org/junit/runners/MethodSorters,true,3,179,true,0,true
junit4/javac/org/junit/AssumptionViolatedException,true,2,163,true,0,true
junit4/javac/org/junit/rules/TemporaryFolder,true,72,1169,true,4,true
junit4/javac/org/junit/rules/TestName,true,7,90,true,0,true
junit4/javac/org/junit/rules/Stopwatch,true,63,948,true,4,true
junit4/javac/org/junit/rules/MethodRule,true,0,17,true,0,true
junit4/javac/org/junit/rules/ExpectedException,true,117,885,true,10,true
junit4/javac/org/junit/rules/DisableOnDebug,true,37,346,true,6,true
junit4/javac/org/junit/rules/ErrorCollector,true,18,385,true,0,true
junit4/javac/org/junit/rules/RunRules,true,6,206,true,0,true
junit4/javac/org/junit/rules/TestWatchman,true,13,266,true,0,true
junit4/javac/org/junit/rules/TestWatcher,true,46,985,true,0,true
junit4/javac/org/junit/rules/ExpectedExceptionMatcherBuilder,true,32,532,false,NA,false
junit4/javac/org/junit/rules/RuleChain,true,8,350,true,4,true
junit4/javac/org/junit/rules/ExternalResource,true,10,158,true,0,true
junit4/javac/org/junit/rules/TestRule,true,0,13,true,0,true
junit4/javac/org/junit/rules/Verifier,true,4,96,true,0,true
junit4/javac/org/junit/rules/Timeout,true,48,982,false,NA,false
