Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
junit4/eclipse/org/junit/validator/ValidateWith,true,1,37,true,2,true
junit4/eclipse/org/junit/validator/TestClassValidator,true,0,12,true,0,true
junit4/eclipse/org/junit/validator/AnnotationValidatorFactory,true,5,365,true,6,true
junit4/eclipse/org/junit/validator/AnnotationsValidator,true,227,1066,false,NA,false
junit4/eclipse/org/junit/validator/AnnotationValidator,true,0,118,true,0,true
junit4/eclipse/org/junit/validator/PublicClassValidator,true,2,135,true,0,true
junit4/eclipse/org/junit/runners/Parameterized,true,138,1696,false,NA,false
junit4/eclipse/org/junit/runners/BlockJUnit4ClassRunner,true,183,3403,false,NA,false
junit4/eclipse/org/junit/runners/package-info,true,NA,NA,false,NA,false
junit4/eclipse/org/junit/runners/parameterized/BlockJUnit4ClassRunnerWithParameters,true,118,1709,true,95,true
junit4/eclipse/org/junit/runners/parameterized/ParametersRunnerFactory,true,0,12,true,0,true
junit4/eclipse/org/junit/runners/parameterized/TestWithParameters,true,109,869,true,14,true
junit4/eclipse/org/junit/runners/parameterized/BlockJUnit4ClassRunnerWithParametersFactory,true,0,42,true,0,true
junit4/eclipse/org/junit/runners/ParentRunner,true,241,3497,false,NA,false
junit4/eclipse/org/junit/runners/Suite,true,36,975,false,NA,false
junit4/eclipse/org/junit/runners/JUnit4,true,0,47,true,0,true
junit4/eclipse/org/junit/runners/AllTests,true,0,47,true,0,true
junit4/eclipse/org/junit/runners/model/FrameworkMember,true,11,213,false,NA,false
junit4/eclipse/org/junit/runners/model/NoGenericTypeParametersValidator,true,40,696,true,44,true
junit4/eclipse/org/junit/runners/model/Annotatable,true,1,24,true,0,true
junit4/eclipse/org/junit/runners/model/TestTimedOutException,true,11,188,true,0,true
junit4/eclipse/org/junit/runners/model/InitializationError,true,6,181,true,0,true
junit4/eclipse/org/junit/runners/model/FrameworkMethod,true,115,1773,false,NA,false
junit4/eclipse/org/junit/runners/model/FrameworkField,true,31,511,true,4,true
junit4/eclipse/org/junit/runners/model/Statement,true,0,20,true,0,true
junit4/eclipse/org/junit/runners/model/MultipleFailureException,true,24,480,true,6,true
junit4/eclipse/org/junit/runners/model/TestClass,true,190,4288,false,NA,false
junit4/eclipse/org/junit/runners/model/RunnerScheduler,true,1,14,true,0,true
junit4/eclipse/org/junit/runners/model/RunnerBuilder,true,31,825,true,28,true
junit4/eclipse/org/junit/runners/MethodSorters,true,3,179,true,0,true
junit4/eclipse/org/junit/AssumptionViolatedException,true,2,163,true,0,true
junit4/eclipse/org/junit/rules/TemporaryFolder,true,82,1169,true,63,false
junit4/eclipse/org/junit/rules/TestName,true,8,90,true,4,true
junit4/eclipse/org/junit/rules/Stopwatch,true,112,948,false,NA,false
junit4/eclipse/org/junit/rules/MethodRule,true,0,17,true,0,true
junit4/eclipse/org/junit/rules/ExpectedException,true,72,885,false,NA,false
junit4/eclipse/org/junit/rules/DisableOnDebug,true,32,346,true,3,true
junit4/eclipse/org/junit/rules/ErrorCollector,true,30,385,false,NA,false
junit4/eclipse/org/junit/rules/RunRules,true,7,206,true,0,true
junit4/eclipse/org/junit/rules/TestWatchman,true,40,266,false,NA,false
junit4/eclipse/org/junit/rules/TestWatcher,true,80,985,false,NA,false
junit4/eclipse/org/junit/rules/ExpectedExceptionMatcherBuilder,true,26,532,false,NA,false
