Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
junit4/eclipse/org/junit/validator/ValidateWith,true,15,37,false,NA,false
junit4/eclipse/org/junit/validator/TestClassValidator,true,0,12,true,2,true
junit4/eclipse/org/junit/validator/AnnotationValidatorFactory,true,25,365,true,20,true
junit4/eclipse/org/junit/validator/AnnotationsValidator,true,241,1066,false,NA,false
junit4/eclipse/org/junit/validator/AnnotationValidator,true,0,118,true,8,true
junit4/eclipse/org/junit/validator/PublicClassValidator,true,19,135,true,4,true
junit4/eclipse/org/junit/runners/Parameterized,true,395,1696,false,NA,false
junit4/eclipse/org/junit/runners/BlockJUnit4ClassRunner,true,777,3403,false,NA,false
junit4/eclipse/org/junit/runners/package-info,true,NA,NA,true,NA,true
junit4/eclipse/org/junit/runners/parameterized/BlockJUnit4ClassRunnerWithParameters,true,383,1709,false,NA,false
junit4/eclipse/org/junit/runners/parameterized/ParametersRunnerFactory,true,0,12,true,0,true
junit4/eclipse/org/junit/runners/parameterized/TestWithParameters,true,31,869,true,7,true
junit4/eclipse/org/junit/runners/parameterized/BlockJUnit4ClassRunnerWithParametersFactory,true,0,42,true,0,true
junit4/eclipse/org/junit/runners/ParentRunner,true,764,3497,false,NA,false
junit4/eclipse/org/junit/runners/Suite,true,184,975,false,NA,false
junit4/eclipse/org/junit/runners/JUnit4,true,0,47,true,2,true
junit4/eclipse/org/junit/runners/AllTests,true,0,47,true,2,true
junit4/eclipse/org/junit/runners/model/FrameworkMember,true,23,213,false,NA,false
junit4/eclipse/org/junit/runners/model/NoGenericTypeParametersValidator,true,127,696,true,90,true
junit4/eclipse/org/junit/runners/model/Annotatable,true,3,24,false,NA,false
junit4/eclipse/org/junit/runners/model/TestTimedOutException,true,5,188,true,0,true
junit4/eclipse/org/junit/runners/model/InitializationError,true,6,181,true,6,true
junit4/eclipse/org/junit/runners/model/FrameworkMethod,true,373,1773,false,NA,false
junit4/eclipse/org/junit/runners/model/FrameworkField,true,22,511,false,NA,false
junit4/eclipse/org/junit/runners/model/Statement,true,0,20,true,0,true
junit4/eclipse/org/junit/runners/model/MultipleFailureException,true,37,480,false,NA,false
junit4/eclipse/org/junit/runners/model/TestClass,true,714,4288,false,NA,false
junit4/eclipse/org/junit/runners/model/RunnerScheduler,true,0,14,true,0,true
junit4/eclipse/org/junit/runners/model/RunnerBuilder,true,64,825,false,NA,false
junit4/eclipse/org/junit/runners/MethodSorters,true,49,179,false,NA,false
junit4/eclipse/org/junit/AssumptionViolatedException,true,8,163,true,4,true
junit4/eclipse/org/junit/rules/TemporaryFolder,true,71,1169,false,NA,false
junit4/eclipse/org/junit/rules/TestName,true,1,90,true,0,true
junit4/eclipse/org/junit/rules/Stopwatch,true,264,948,true,NA,false
junit4/eclipse/org/junit/rules/MethodRule,true,0,17,true,0,true
junit4/eclipse/org/junit/rules/ExpectedException,true,224,885,true,NA,false
junit4/eclipse/org/junit/rules/DisableOnDebug,true,26,346,true,16,true
junit4/eclipse/org/junit/rules/ErrorCollector,true,103,385,true,NA,false
junit4/eclipse/org/junit/rules/RunRules,true,19,206,true,14,true
junit4/eclipse/org/junit/rules/TestWatchman,true,88,266,true,NA,false
junit4/eclipse/org/junit/rules/TestWatcher,true,261,985,false,NA,false
junit4/eclipse/org/junit/rules/ExpectedExceptionMatcherBuilder,true,6,532,true,12,true
junit4/eclipse/org/junit/rules/RuleChain,true,19,350,true,14,true
junit4/eclipse/org/junit/rules/ExternalResource,true,52,158,false,NA,false
junit4/eclipse/org/junit/rules/TestRule,true,0,13,true,0,true
junit4/eclipse/org/junit/rules/Verifier,true,34,96,false,NA,false
junit4/eclipse/org/junit/rules/Timeout,true,274,982,true,NA,false
junit4/eclipse/org/junit/Rule,true,12,57,true,2,false
junit4/eclipse/org/junit/runner/Result,true,459,2220,false,NA,false
junit4/eclipse/org/junit/runner/Describable,true,0,5,true,0,true
junit4/eclipse/org/junit/runner/package-info,true,NA,NA,true,NA,true
junit4/eclipse/org/junit/runner/FilterFactories,true,146,599,false,NA,false
junit4/eclipse/org/junit/runner/Request,true,180,679,false,NA,false
junit4/eclipse/org/junit/runner/Computer,true,57,236,false,NA,false
junit4/eclipse/org/junit/runner/JUnitCore,true,20,1020,false,NA,false
junit4/eclipse/org/junit/runner/Description,true,113,2368,false,NA,false
junit4/eclipse/org/junit/runner/FilterFactoryParams,true,0,161,true,0,true
junit4/eclipse/org/junit/runner/RunWith,true,18,56,true,5,false
junit4/eclipse/org/junit/runner/JUnitCommandLineParseResult,true,359,1731,false,NA,false
junit4/eclipse/org/junit/runner/notification/Failure,true,17,343,true,1,true
junit4/eclipse/org/junit/runner/notification/package-info,true,NA,NA,true,NA,true
