Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
junit4/eclipse/junit/extensions/ActiveTestSuite,true,77,430,false,NA,false
junit4/eclipse/junit/extensions/TestDecorator,true,19,210,true,0,true
junit4/eclipse/junit/extensions/package-info,true,NA,NA,false,NA,false
junit4/eclipse/junit/extensions/TestSetup,true,33,174,false,NA,false
junit4/eclipse/junit/extensions/RepeatedTest,true,59,263,true,27,false
junit4/eclipse/junit/textui/TestRunner,true,247,1817,false,NA,false
junit4/eclipse/junit/textui/package-info,true,NA,NA,false,NA,false
junit4/eclipse/junit/textui/ResultPrinter,true,245,1527,true,72,true
junit4/eclipse/junit/runner/Version,true,0,69,true,0,true
junit4/eclipse/junit/runner/TestRunListener,true,1,82,true,0,true
junit4/eclipse/junit/runner/package-info,true,NA,NA,false,NA,false
junit4/eclipse/junit/runner/BaseTestRunner,true,495,2971,false,NA,false
junit4/eclipse/junit/framework/Assert,true,148,2705,true,70,true
junit4/eclipse/junit/framework/JUnit4TestAdapterCache,true,170,747,false,NA,false
junit4/eclipse/junit/framework/ComparisonFailure,true,25,247,true,2,false
junit4/eclipse/junit/framework/Protectable,true,2,8,false,NA,false
junit4/eclipse/junit/framework/Test,true,2,14,true,0,true
junit4/eclipse/junit/framework/JUnit4TestAdapter,true,96,802,false,NA,false
junit4/eclipse/junit/framework/AssertionFailedError,true,12,96,true,3,true
junit4/eclipse/junit/framework/TestFailure,true,45,328,true,0,true
junit4/eclipse/junit/framework/ComparisonCompactor,true,377,1757,true,119,true
junit4/eclipse/junit/framework/package-info,true,NA,NA,false,NA,false
junit4/eclipse/junit/framework/TestSuite,true,587,3051,false,NA,false
junit4/eclipse/junit/framework/TestResult,true,312,1294,false,NA,false
junit4/eclipse/junit/framework/JUnit4TestCaseFacade,true,11,145,true,0,true
junit4/eclipse/junit/framework/TestCase,true,344,2894,false,NA,false
junit4/eclipse/junit/framework/TestListener,true,6,44,true,0,true
junit4/eclipse/org/junit/Assert,true,331,4910,true,225,true
junit4/eclipse/org/junit/ComparisonFailure,true,381,2360,false,NA,false
junit4/eclipse/org/junit/experimental/ParallelComputer,true,91,655,false,NA,false
junit4/eclipse/org/junit/experimental/runners/Enclosed,true,32,368,false,NA,false
junit4/eclipse/org/junit/experimental/results/FailureList,true,28,168,true,27,true
junit4/eclipse/org/junit/experimental/results/ResultMatchers,false,NA,NA,false,NA,false
junit4/eclipse/org/junit/experimental/results/PrintableResult,true,7,331,true,4,true
junit4/eclipse/org/junit/experimental/categories/Category,true,21,59,true,5,false
junit4/eclipse/org/junit/experimental/categories/IncludeCategories,true,37,264,false,NA,false
junit4/eclipse/org/junit/experimental/categories/Categories,true,697,4710,false,NA,false
junit4/eclipse/org/junit/experimental/categories/CategoryFilterFactory,true,51,300,false,NA,false
junit4/eclipse/org/junit/experimental/categories/CategoryValidator,true,117,504,true,65,true
junit4/eclipse/org/junit/experimental/categories/ExcludeCategories,true,37,264,false,NA,false
junit4/eclipse/org/junit/experimental/theories/DataPoints,true,33,97,true,6,false
