Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
junit4/javac/junit/extensions/ActiveTestSuite,true,77,430,false,NA,false
junit4/javac/junit/extensions/TestDecorator,true,19,210,true,0,true
junit4/javac/junit/extensions/package-info,false,NA,NA,false,NA,false
junit4/javac/junit/extensions/TestSetup,true,33,174,false,NA,false
junit4/javac/junit/extensions/RepeatedTest,true,58,263,true,15,false
junit4/javac/junit/textui/TestRunner,true,249,1817,false,NA,false
junit4/javac/junit/textui/package-info,false,NA,NA,false,NA,false
junit4/javac/junit/textui/ResultPrinter,true,253,1527,true,79,true
junit4/javac/junit/runner/Version,true,0,69,true,0,true
junit4/javac/junit/runner/TestRunListener,true,1,82,true,0,true
junit4/javac/junit/runner/package-info,false,NA,NA,false,NA,false
junit4/javac/junit/runner/BaseTestRunner,true,545,2971,false,NA,false
junit4/javac/junit/framework/Assert,true,128,2705,true,56,true
junit4/javac/junit/framework/JUnit4TestAdapterCache,true,170,747,false,NA,false
junit4/javac/junit/framework/ComparisonFailure,true,25,247,true,2,false
junit4/javac/junit/framework/Protectable,true,2,8,false,NA,false
junit4/javac/junit/framework/Test,true,2,14,true,0,true
junit4/javac/junit/framework/JUnit4TestAdapter,true,88,802,false,NA,false
junit4/javac/junit/framework/AssertionFailedError,true,12,96,true,3,true
junit4/javac/junit/framework/TestFailure,true,45,328,true,0,true
junit4/javac/junit/framework/ComparisonCompactor,true,373,1757,true,85,true
junit4/javac/junit/framework/package-info,false,NA,NA,false,NA,false
junit4/javac/junit/framework/TestSuite,true,640,3051,false,NA,false
junit4/javac/junit/framework/TestResult,true,335,1294,false,NA,false
junit4/javac/junit/framework/JUnit4TestCaseFacade,true,11,145,true,0,true
junit4/javac/junit/framework/TestCase,true,346,2894,false,NA,false
junit4/javac/junit/framework/TestListener,true,6,44,true,0,true
junit4/javac/org/junit/Assert,true,309,4910,true,196,true
junit4/javac/org/junit/ComparisonFailure,true,381,2360,false,NA,false
junit4/javac/org/junit/experimental/ParallelComputer,true,91,655,false,NA,false
junit4/javac/org/junit/experimental/runners/Enclosed,true,32,368,false,NA,false
junit4/javac/org/junit/experimental/results/FailureList,true,28,168,true,18,true
junit4/javac/org/junit/experimental/results/ResultMatchers,false,NA,NA,false,NA,false
junit4/javac/org/junit/experimental/results/PrintableResult,true,7,331,true,4,true
junit4/javac/org/junit/experimental/categories/Category,true,21,59,true,5,false
junit4/javac/org/junit/experimental/categories/IncludeCategories,true,44,264,false,NA,false
junit4/javac/org/junit/experimental/categories/Categories,true,726,4710,false,NA,false
junit4/javac/org/junit/experimental/categories/CategoryFilterFactory,true,51,300,false,NA,false
junit4/javac/org/junit/experimental/categories/CategoryValidator,true,119,504,true,55,true
