Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
scribejava/eclipse/org/scribe/utils/OAuthEncoder,true,3,686,true,4,true
scribejava/eclipse/org/scribe/utils/StreamUtils,true,4,306,true,4,true
scribejava/eclipse/org/scribe/utils/MapUtils,true,6,283,true,4,true
scribejava/eclipse/org/scribe/utils/Preconditions,true,8,534,true,4,true
scribejava/eclipse/org/scribe/model/OAuthRequest,true,30,481,true,0,true
scribejava/eclipse/org/scribe/model/Parameter,true,8,526,true,8,false
scribejava/eclipse/org/scribe/model/SignatureType,true,0,43,true,0,true
scribejava/eclipse/org/scribe/model/ParameterList,true,95,1301,true,22,false
scribejava/eclipse/org/scribe/model/Request,true,83,3014,false,NA,false
scribejava/eclipse/org/scribe/model/Verb,true,0,108,true,0,true
scribejava/eclipse/org/scribe/model/RequestTuner,true,0,21,true,0,NA
scribejava/eclipse/org/scribe/model/Response,true,0,822,true,0,true
scribejava/eclipse/org/scribe/model/OAuthConstants,true,5,207,true,4,NA
scribejava/eclipse/org/scribe/model/OAuthConfig,true,12,562,true,0,true
scribejava/eclipse/org/scribe/model/Verifier,true,0,93,true,0,NA
scribejava/eclipse/org/scribe/model/Token,true,20,779,true,0,true
scribejava/eclipse/org/scribe/extractors/AccessTokenExtractor,true,2,9,true,0,NA
scribejava/eclipse/org/scribe/extractors/HeaderExtractorImpl,true,24,622,true,0,false
scribejava/eclipse/org/scribe/extractors/BaseStringExtractor,true,2,9,true,0,NA
scribejava/eclipse/org/scribe/extractors/JsonTokenExtractor,true,3,198,true,0,true
scribejava/eclipse/org/scribe/extractors/HeaderExtractor,true,2,9,true,0,NA
scribejava/eclipse/org/scribe/extractors/RequestTokenExtractor,true,2,9,true,0,NA
scribejava/eclipse/org/scribe/extractors/TokenExtractorImpl,true,3,374,true,0,true
scribejava/eclipse/org/scribe/extractors/BaseStringExtractorImpl,true,14,401,true,0,true
scribejava/eclipse/org/scribe/extractors/TokenExtractor20Impl,true,9,249,true,0,true
scribejava/eclipse/org/scribe/builder/api/QWeiboApi,true,15,149,true,0,NA
scribejava/eclipse/org/scribe/builder/api/FreelancerApi,true,65,297,true,2,NA
scribejava/eclipse/org/scribe/builder/api/DiggApi,true,19,157,true,0,NA
scribejava/eclipse/org/scribe/builder/api/FacebookApi,true,24,276,true,0,NA
scribejava/eclipse/org/scribe/builder/api/NeteaseWeibooApi,true,21,211,true,0,NA
scribejava/eclipse/org/scribe/builder/api/LinkedInApi,true,22,516,true,8,NA
scribejava/eclipse/org/scribe/builder/api/TrelloApi,true,9,117,true,0,NA
scribejava/eclipse/org/scribe/builder/api/GetGlueApi,true,14,149,true,0,NA
