Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
spark/javac/spark/utils/MimeParse,true,149,2962,true,50,true
spark/javac/spark/utils/SparkUtils,true,3,213,true,8,true
spark/javac/spark/utils/IOUtils,true,8,558,true,0,true
spark/javac/spark/route/HttpMethod,true,0,160,true,0,true
spark/javac/spark/route/RouteMatcher,true,0,75,true,0,NA
spark/javac/spark/route/RouteMatch,true,17,290,true,0,true
spark/javac/spark/route/RouteMatcherFactory,true,0,140,true,0,true
spark/javac/spark/route/SimpleRouteMatcher,true,141,3431,true,48,true
spark/javac/spark/Spark,true,28,1672,true,0,true
spark/javac/spark/QueryParamsMap,true,108,2053,true,14,true
spark/javac/spark/ResponseTransformerRoute,true,1,70,true,0,NA
spark/javac/spark/ModelAndView,true,8,124,true,0,true
spark/javac/spark/Access,true,0,50,true,0,true
spark/javac/spark/Session,true,41,582,true,1,NA
spark/javac/spark/Request,true,230,3268,true,42,true
spark/javac/spark/webserver/JettyHandler,true,6,229,true,0,true
spark/javac/spark/webserver/MatcherFilter,true,113,2035,true,404,true
spark/javac/spark/webserver/RequestWrapper,true,139,1425,true,0,true
spark/javac/spark/webserver/SparkServer,true,0,42,true,0,NA
spark/javac/spark/webserver/ResponseWrapper,true,62,861,true,0,true
spark/javac/spark/webserver/SparkServerImpl,true,57,1605,false,NA,false
spark/javac/spark/webserver/NotConsumedException,true,0,22,true,0,NA
spark/javac/spark/webserver/SparkServerFactory,true,0,104,true,0,true
spark/javac/spark/servlet/SparkApplication,true,0,5,true,0,NA
spark/javac/spark/servlet/FilterTools,true,24,657,true,2,true
spark/javac/spark/servlet/SparkFilter,true,20,561,true,0,true
spark/javac/spark/AbstractRoute,true,0,120,true,0,true
spark/javac/spark/JettyLogger,true,50,918,true,0,NA
spark/javac/spark/RequestResponseFactory,true,0,69,true,0,true
spark/javac/spark/TemplateViewRoute,true,3,162,true,0,true
spark/javac/spark/Response,true,52,1135,true,0,true
spark/javac/spark/HaltException,true,10,239,true,0,true
spark/javac/spark/Route,true,5,229,true,0,true
spark/javac/spark/Filter,true,5,203,true,0,true
