Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
spark/javac/spark/utils/MimeParse,true,641,2962,false,NA,false
spark/javac/spark/utils/SparkUtils,true,40,213,true,34,true
spark/javac/spark/utils/IOUtils,true,92,558,false,NA,false
spark/javac/spark/route/HttpMethod,true,NA,160,false,NA,false
spark/javac/spark/route/RouteMatcher,true,4,75,false,NA,NA
spark/javac/spark/route/RouteMatch,true,16,290,true,0,true
spark/javac/spark/route/RouteMatcherFactory,true,12,140,false,NA,false
spark/javac/spark/route/SimpleRouteMatcher,false,NA,NA,false,NA,false
spark/javac/spark/Spark,true,388,1672,false,NA,false
spark/javac/spark/QueryParamsMap,true,553,2053,false,NA,false
spark/javac/spark/ResponseTransformerRoute,true,0,70,true,0,NA
spark/javac/spark/ModelAndView,true,7,124,true,0,true
spark/javac/spark/Access,true,0,50,true,0,true
spark/javac/spark/Session,true,39,582,true,30,NA
spark/javac/spark/Request,true,520,3268,false,NA,false
spark/javac/spark/webserver/JettyHandler,true,13,229,false,NA,false
spark/javac/spark/webserver/MatcherFilter,false,NA,NA,false,NA,false
spark/javac/spark/webserver/RequestWrapper,true,85,1425,true,8,true
spark/javac/spark/webserver/SparkServer,true,1,42,true,0,NA
spark/javac/spark/webserver/ResponseWrapper,true,31,861,true,0,true
spark/javac/spark/webserver/SparkServerImpl,true,223,1605,false,NA,false
spark/javac/spark/webserver/NotConsumedException,true,0,22,true,0,NA
spark/javac/spark/webserver/SparkServerFactory,true,20,104,true,8,true
spark/javac/spark/servlet/SparkApplication,true,1,5,true,0,NA
spark/javac/spark/servlet/FilterTools,true,179,657,true,114,true
spark/javac/spark/servlet/SparkFilter,true,112,561,false,NA,false
spark/javac/spark/AbstractRoute,true,0,120,true,0,true
spark/javac/spark/JettyLogger,true,193,918,false,NA,NA
spark/javac/spark/RequestResponseFactory,true,1,69,false,NA,false
spark/javac/spark/TemplateViewRoute,true,13,162,true,0,true
spark/javac/spark/Response,true,83,1135,false,NA,false
spark/javac/spark/HaltException,true,48,239,true,0,true
spark/javac/spark/Route,true,16,229,true,8,true
spark/javac/spark/Filter,true,15,203,true,0,true
