Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
spark/eclipse/spark/utils/MimeParse,true,226,2962,false,NA,false
spark/eclipse/spark/utils/SparkUtils,true,0,213,true,0,true
spark/eclipse/spark/utils/IOUtils,true,41,558,true,32,true
spark/eclipse/spark/route/HttpMethod,true,0,160,true,0,true
spark/eclipse/spark/route/RouteMatcher,true,2,75,true,0,NA
spark/eclipse/spark/route/RouteMatch,true,19,290,true,0,true
spark/eclipse/spark/route/RouteMatcherFactory,true,19,140,false,NA,false
spark/eclipse/spark/route/SimpleRouteMatcher,true,494,3431,false,NA,false
spark/eclipse/spark/Spark,true,202,1672,false,NA,false
spark/eclipse/spark/QueryParamsMap,true,106,2053,false,NA,false
spark/eclipse/spark/ResponseTransformerRoute,true,1,70,true,0,NA
spark/eclipse/spark/ModelAndView,true,8,124,true,0,true
spark/eclipse/spark/Access,true,0,50,true,0,true
spark/eclipse/spark/Session,true,41,582,false,NA,NA
spark/eclipse/spark/Request,true,207,3268,true,32,true
spark/eclipse/spark/webserver/JettyHandler,true,6,229,true,0,true
spark/eclipse/spark/webserver/MatcherFilter,true,205,2035,false,NA,false
spark/eclipse/spark/webserver/RequestWrapper,true,136,1425,true,0,true
spark/eclipse/spark/webserver/SparkServer,true,0,42,true,0,NA
spark/eclipse/spark/webserver/ResponseWrapper,true,76,861,true,0,true
spark/eclipse/spark/webserver/SparkServerImpl,true,62,1605,true,12,true
spark/eclipse/spark/webserver/NotConsumedException,true,0,22,true,0,NA
spark/eclipse/spark/webserver/SparkServerFactory,true,7,104,true,8,true
spark/eclipse/spark/servlet/SparkApplication,true,0,5,true,0,NA
spark/eclipse/spark/servlet/FilterTools,true,66,657,true,33,true
spark/eclipse/spark/servlet/SparkFilter,true,57,561,false,NA,false
spark/eclipse/spark/AbstractRoute,true,0,120,true,0,true
spark/eclipse/spark/JettyLogger,true,46,918,true,0,NA
spark/eclipse/spark/RequestResponseFactory,true,0,69,true,0,true
spark/eclipse/spark/TemplateViewRoute,true,6,162,true,10,true
spark/eclipse/spark/Response,true,50,1135,true,0,true
spark/eclipse/spark/HaltException,true,11,239,true,24,true
spark/eclipse/spark/Route,true,7,229,true,4,true
spark/eclipse/spark/Filter,true,7,203,true,4,true
