Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
spark/eclipse/spark/Access,true,3,50,true,4,true
spark/eclipse/spark/Response,true,49,1135,false,NA,false
spark/eclipse/spark/Route,true,8,229,true,0,true
spark/eclipse/spark/HaltException,true,10,239,true,0,true
spark/eclipse/spark/TemplateViewRoute,true,1,162,true,0,true
spark/eclipse/spark/QueryParamsMap,true,76,2053,false,NA,false
spark/eclipse/spark/RequestResponseFactory,true,3,69,true,4,true
spark/eclipse/spark/Filter,true,8,203,true,0,true
spark/eclipse/spark/JettyLogger,true,165,918,false,NA,NA
spark/eclipse/spark/Request,true,254,3268,false,NA,false
spark/eclipse/spark/Spark,true,121,1672,false,NA,false
spark/eclipse/spark/ModelAndView,true,8,124,true,0,true
spark/eclipse/spark/servlet/SparkFilter,true,20,561,false,NA,false
spark/eclipse/spark/servlet/SparkApplication,true,0,5,true,0,NA
spark/eclipse/spark/servlet/FilterTools,true,NA,657,true,0,true
spark/eclipse/spark/webserver/ResponseWrapper,true,75,861,true,0,true
spark/eclipse/spark/webserver/JettyHandler,true,6,229,false,NA,false
spark/eclipse/spark/webserver/SparkServerImpl,true,48,1605,true,0,true
spark/eclipse/spark/webserver/SparkServer,true,0,42,true,0,NA
spark/eclipse/spark/webserver/SparkServerFactory,true,3,104,false,NA,false
spark/eclipse/spark/webserver/MatcherFilter,true,40,2035,false,NA,false
spark/eclipse/spark/webserver/NotConsumedException,true,0,22,true,0,NA
spark/eclipse/spark/webserver/RequestWrapper,true,134,1425,true,0,true
spark/eclipse/spark/Session,true,41,582,true,0,NA
spark/eclipse/spark/utils/SparkUtils,true,39,213,true,0,true
spark/eclipse/spark/utils/IOUtils,true,33,558,false,NA,false
spark/eclipse/spark/utils/MimeParse,true,128,2962,false,NA,false
spark/eclipse/spark/AbstractRoute,true,0,120,true,0,true
spark/eclipse/spark/ResponseTransformerRoute,true,0,70,true,0,NA
spark/eclipse/spark/route/SimpleRouteMatcher,true,151,3431,true,0,true
spark/eclipse/spark/route/RouteMatch,true,17,290,true,0,true
spark/eclipse/spark/route/HttpMethod,true,12,160,false,NA,false
spark/eclipse/spark/route/RouteMatcher,true,0,75,true,0,NA
spark/eclipse/spark/route/RouteMatcherFactory,true,4,140,true,8,true
