Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
spark/javac/spark/Access,true,3,50,true,4,true
spark/javac/spark/Response,true,49,1135,false,NA,false
spark/javac/spark/Route,true,8,229,true,0,true
spark/javac/spark/HaltException,true,10,239,true,0,true
spark/javac/spark/TemplateViewRoute,true,1,162,true,0,true
spark/javac/spark/QueryParamsMap,true,36,2053,true,10,true
spark/javac/spark/RequestResponseFactory,true,3,69,true,4,true
spark/javac/spark/Filter,true,8,203,true,0,true
spark/javac/spark/JettyLogger,true,47,918,false,NA,NA
spark/javac/spark/Request,true,184,3268,true,1,true
spark/javac/spark/Spark,true,91,1672,false,NA,false
spark/javac/spark/ModelAndView,true,8,124,true,0,true
spark/javac/spark/servlet/SparkFilter,true,20,561,false,NA,false
spark/javac/spark/servlet/SparkApplication,true,0,5,true,0,NA
spark/javac/spark/servlet/FilterTools,true,NA,657,false,NA,false
spark/javac/spark/webserver/ResponseWrapper,true,75,861,true,0,true
spark/javac/spark/webserver/JettyHandler,true,6,229,false,NA,false
spark/javac/spark/webserver/SparkServerImpl,true,48,1605,true,1,true
spark/javac/spark/webserver/SparkServer,true,0,42,true,0,NA
spark/javac/spark/webserver/SparkServerFactory,true,3,104,false,NA,false
spark/javac/spark/webserver/MatcherFilter,true,40,2035,false,NA,false
spark/javac/spark/webserver/NotConsumedException,true,0,22,true,0,NA
spark/javac/spark/webserver/RequestWrapper,true,134,1425,true,0,true
spark/javac/spark/Session,true,41,582,true,0,NA
spark/javac/spark/utils/SparkUtils,true,4,213,true,0,true
spark/javac/spark/utils/IOUtils,true,33,558,false,NA,false
spark/javac/spark/utils/MimeParse,true,56,2962,true,4,true
spark/javac/spark/AbstractRoute,true,0,120,true,0,true
spark/javac/spark/ResponseTransformerRoute,true,0,70,true,0,NA
spark/javac/spark/route/SimpleRouteMatcher,true,147,3431,true,0,true
spark/javac/spark/route/RouteMatch,true,17,290,true,0,true
spark/javac/spark/route/HttpMethod,true,12,160,false,NA,false
spark/javac/spark/route/RouteMatcher,true,0,75,true,0,NA
spark/javac/spark/route/RouteMatcherFactory,true,4,140,true,8,true
