Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
spark/eclipse/spark/utils/MimeParse,true,359,2962,false,NA,false
spark/eclipse/spark/utils/SparkUtils,true,35,213,true,24,true
spark/eclipse/spark/utils/IOUtils,true,14,558,true,4,true
spark/eclipse/spark/route/HttpMethod,true,0,160,true,0,true
spark/eclipse/spark/route/RouteMatcher,true,1,75,true,0,NA
spark/eclipse/spark/route/RouteMatch,true,6,290,true,0,true
spark/eclipse/spark/route/RouteMatcherFactory,true,3,140,true,4,true
spark/eclipse/spark/route/SimpleRouteMatcher,true,461,3431,false,NA,false
spark/eclipse/spark/Spark,true,64,1672,false,NA,false
spark/eclipse/spark/QueryParamsMap,true,72,2053,false,NA,false
spark/eclipse/spark/ResponseTransformerRoute,true,0,70,true,0,NA
spark/eclipse/spark/ModelAndView,true,2,124,true,0,true
spark/eclipse/spark/Access,true,5,50,true,5,true
spark/eclipse/spark/Session,true,2,582,true,0,NA
spark/eclipse/spark/Request,true,76,3268,true,40,true
spark/eclipse/spark/webserver/JettyHandler,true,3,229,true,0,true
spark/eclipse/spark/webserver/MatcherFilter,true,29,2035,true,76,true
spark/eclipse/spark/webserver/RequestWrapper,true,83,1425,true,0,true
spark/eclipse/spark/webserver/SparkServer,true,1,42,true,0,NA
spark/eclipse/spark/webserver/ResponseWrapper,true,26,861,true,0,true
spark/eclipse/spark/webserver/SparkServerImpl,true,20,1605,false,NA,false
spark/eclipse/spark/webserver/NotConsumedException,true,0,22,true,0,NA
spark/eclipse/spark/webserver/SparkServerFactory,true,3,104,true,4,true
spark/eclipse/spark/servlet/SparkApplication,true,1,5,true,0,NA
spark/eclipse/spark/servlet/FilterTools,true,48,657,true,0,true
spark/eclipse/spark/servlet/SparkFilter,true,25,561,false,NA,false
spark/eclipse/spark/AbstractRoute,true,0,120,true,0,true
spark/eclipse/spark/JettyLogger,true,119,918,true,54,NA
spark/eclipse/spark/RequestResponseFactory,true,3,69,true,4,true
spark/eclipse/spark/TemplateViewRoute,true,1,162,true,0,true
spark/eclipse/spark/Response,true,14,1135,true,0,true
spark/eclipse/spark/HaltException,true,4,239,true,0,true
spark/eclipse/spark/Route,true,7,229,true,0,true
spark/eclipse/spark/Filter,true,7,203,true,0,true
