Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
spark/javac/spark/utils/MimeParse,true,265,2962,false,NA,false
spark/javac/spark/utils/SparkUtils,true,4,213,true,4,true
spark/javac/spark/utils/IOUtils,true,14,558,true,4,true
spark/javac/spark/route/HttpMethod,true,4,160,true,0,true
spark/javac/spark/route/RouteMatcher,true,1,75,true,0,NA
spark/javac/spark/route/RouteMatch,true,6,290,true,0,true
spark/javac/spark/route/RouteMatcherFactory,true,3,140,true,4,true
spark/javac/spark/route/SimpleRouteMatcher,true,461,3431,false,NA,false
spark/javac/spark/Spark,true,64,1672,false,NA,false
spark/javac/spark/QueryParamsMap,true,35,2053,false,NA,false
spark/javac/spark/ResponseTransformerRoute,true,0,70,true,0,NA
spark/javac/spark/ModelAndView,true,2,124,true,0,true
spark/javac/spark/Access,true,5,50,true,5,true
spark/javac/spark/Session,true,2,582,true,0,NA
spark/javac/spark/Request,true,14,3268,true,1,true
spark/javac/spark/webserver/JettyHandler,true,3,229,true,0,true
spark/javac/spark/webserver/MatcherFilter,true,20,2035,true,0,true
spark/javac/spark/webserver/RequestWrapper,true,83,1425,true,0,true
spark/javac/spark/webserver/SparkServer,true,1,42,true,0,NA
spark/javac/spark/webserver/ResponseWrapper,true,26,861,true,0,true
spark/javac/spark/webserver/SparkServerImpl,true,20,1605,false,NA,false
spark/javac/spark/webserver/NotConsumedException,true,0,22,true,0,NA
spark/javac/spark/webserver/SparkServerFactory,true,3,104,true,4,true
spark/javac/spark/servlet/SparkApplication,true,1,5,true,0,NA
spark/javac/spark/servlet/FilterTools,true,48,657,true,4,true
spark/javac/spark/servlet/SparkFilter,true,25,561,false,NA,false
spark/javac/spark/AbstractRoute,true,0,120,true,0,true
spark/javac/spark/JettyLogger,true,21,918,true,0,NA
spark/javac/spark/RequestResponseFactory,true,3,69,true,4,true
spark/javac/spark/TemplateViewRoute,true,1,162,true,0,true
spark/javac/spark/Response,true,14,1135,true,0,true
spark/javac/spark/HaltException,true,4,239,true,0,true
spark/javac/spark/Route,true,7,229,true,0,true
spark/javac/spark/Filter,true,7,203,true,0,true
