Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
spark/eclipse/spark/utils/MimeParse,true,436,2962,false,NA,false
spark/eclipse/spark/utils/SparkUtils,true,29,213,true,20,true
spark/eclipse/spark/utils/IOUtils,true,62,558,false,NA,false
spark/eclipse/spark/route/HttpMethod,true,308,160,false,NA,false
spark/eclipse/spark/route/RouteMatcher,true,3,75,true,2,NA
spark/eclipse/spark/route/RouteMatch,true,18,290,true,0,true
spark/eclipse/spark/route/RouteMatcherFactory,true,12,140,true,1,true
spark/eclipse/spark/route/SimpleRouteMatcher,true,656,3431,false,NA,false
spark/eclipse/spark/Spark,true,185,1672,false,NA,false
spark/eclipse/spark/QueryParamsMap,true,305,2053,false,NA,false
spark/eclipse/spark/ResponseTransformerRoute,true,0,70,true,0,NA
spark/eclipse/spark/ModelAndView,true,8,124,true,0,true
spark/eclipse/spark/Access,true,1,50,true,0,true
spark/eclipse/spark/Session,true,45,582,true,7,NA
spark/eclipse/spark/Request,false,NA,NA,false,NA,false
spark/eclipse/spark/webserver/JettyHandler,false,NA,NA,false,NA,false
spark/eclipse/spark/webserver/MatcherFilter,false,NA,NA,false,NA,false
spark/eclipse/spark/webserver/RequestWrapper,true,137,1425,true,8,true
spark/eclipse/spark/webserver/SparkServer,true,1,42,true,0,NA
spark/eclipse/spark/webserver/ResponseWrapper,true,77,861,true,0,true
spark/eclipse/spark/webserver/SparkServerImpl,false,NA,NA,false,NA,false
spark/eclipse/spark/webserver/NotConsumedException,true,3,22,true,0,NA
spark/eclipse/spark/webserver/SparkServerFactory,false,NA,NA,false,NA,false
spark/eclipse/spark/servlet/SparkApplication,true,1,5,true,0,NA
spark/eclipse/spark/servlet/FilterTools,true,93,657,true,36,true
spark/eclipse/spark/servlet/SparkFilter,false,NA,NA,false,NA,false
spark/eclipse/spark/AbstractRoute,true,3,120,true,0,true
spark/eclipse/spark/JettyLogger,false,NA,NA,false,NA,NA
spark/eclipse/spark/RequestResponseFactory,true,0,69,true,0,true
spark/eclipse/spark/TemplateViewRoute,true,9,162,true,6,true
spark/eclipse/spark/Response,true,110,1135,true,16,true
spark/eclipse/spark/HaltException,true,56,239,true,0,true
spark/eclipse/spark/Route,true,18,229,true,12,true
spark/eclipse/spark/Filter,true,10,203,true,0,true
