Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
spark/javac/spark/utils/MimeParse,true,453,2962,false,NA,false
spark/javac/spark/utils/SparkUtils,true,29,213,true,29,true
spark/javac/spark/utils/IOUtils,true,66,558,false,NA,false
spark/javac/spark/route/HttpMethod,true,288,160,false,NA,false
spark/javac/spark/route/RouteMatcher,true,3,75,true,2,NA
spark/javac/spark/route/RouteMatch,true,18,290,true,0,true
spark/javac/spark/route/RouteMatcherFactory,true,12,140,true,1,true
spark/javac/spark/route/SimpleRouteMatcher,true,659,3431,false,NA,false
spark/javac/spark/Spark,true,187,1672,false,NA,false
spark/javac/spark/QueryParamsMap,true,339,2053,false,NA,false
spark/javac/spark/ResponseTransformerRoute,true,0,70,true,0,NA
spark/javac/spark/ModelAndView,true,8,124,true,0,true
spark/javac/spark/Access,true,1,50,true,0,true
spark/javac/spark/Session,true,45,582,true,7,NA
spark/javac/spark/Request,false,NA,NA,false,NA,false
spark/javac/spark/webserver/JettyHandler,false,NA,NA,false,NA,false
spark/javac/spark/webserver/MatcherFilter,false,NA,NA,false,NA,false
spark/javac/spark/webserver/RequestWrapper,true,137,1425,true,8,true
spark/javac/spark/webserver/SparkServer,true,1,42,true,0,NA
spark/javac/spark/webserver/ResponseWrapper,true,77,861,true,0,true
spark/javac/spark/webserver/SparkServerImpl,false,NA,NA,false,NA,false
spark/javac/spark/webserver/NotConsumedException,true,3,22,true,0,NA
spark/javac/spark/webserver/SparkServerFactory,false,NA,NA,false,NA,false
spark/javac/spark/servlet/SparkApplication,true,1,5,true,0,NA
spark/javac/spark/servlet/FilterTools,true,93,657,true,36,true
spark/javac/spark/servlet/SparkFilter,false,NA,NA,false,NA,false
spark/javac/spark/AbstractRoute,true,3,120,true,0,true
spark/javac/spark/JettyLogger,false,NA,NA,false,NA,NA
spark/javac/spark/RequestResponseFactory,true,0,69,true,0,true
spark/javac/spark/TemplateViewRoute,true,9,162,true,6,true
spark/javac/spark/Response,true,102,1135,true,16,true
spark/javac/spark/HaltException,true,56,239,true,0,true
spark/javac/spark/Route,true,18,229,true,12,true
spark/javac/spark/Filter,true,10,203,true,0,true
