Class,CFR-0.141,Dava-3.3.0,Fernflower,JADX-0.9.0,JD-Core-1.0.0,JD-GUI-1.4.1,Jode-1.1.2-pre1,Krakatau,Procyon-0.5.34
Bukkit/eclipse/org/bukkit/Achievement,True,False,True,False,False,True,False,False,True
Bukkit/eclipse/org/bukkit/Art,True,False,True,False,False,False,False,False,True
Bukkit/eclipse/org/bukkit/BanEntry,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/BanList,True,False,False,False,True,False,False,False,True
Bukkit/eclipse/org/bukkit/BlockChangeDelegate,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/Bukkit,True,False,False,True,True,True,False,False,True
Bukkit/eclipse/org/bukkit/ChatColor,True,False,True,False,False,False,False,False,True
Bukkit/eclipse/org/bukkit/Chunk,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/ChunkSnapshot,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/CoalType,True,False,True,False,False,False,False,False,True
Bukkit/eclipse/org/bukkit/Color,False,False,True,False,False,False,False,False,False
Bukkit/eclipse/org/bukkit/CropState,True,False,True,False,False,True,False,False,True
Bukkit/eclipse/org/bukkit/Difficulty,True,False,True,False,False,False,False,False,True
Bukkit/eclipse/org/bukkit/DyeColor,False,False,True,False,False,False,False,False,True
Bukkit/eclipse/org/bukkit/Effect,True,False,False,False,False,False,False,False,True
Bukkit/eclipse/org/bukkit/EntityEffect,True,False,True,False,False,False,False,False,True
Bukkit/eclipse/org/bukkit/FireworkEffect,False,False,False,False,False,False,False,False,False
Bukkit/eclipse/org/bukkit/GameMode,True,False,True,False,False,True,False,False,True
Bukkit/eclipse/org/bukkit/GrassSpecies,True,False,True,False,False,True,False,False,True
Bukkit/eclipse/org/bukkit/Instrument,True,False,True,False,False,True,False,False,True
Bukkit/eclipse/org/bukkit/Location,True,False,False,True,True,True,False,False,True
Bukkit/eclipse/org/bukkit/Material,False,False,True,False,False,False,False,False,True
Bukkit/eclipse/org/bukkit/NetherWartsState,True,False,True,True,False,True,False,False,True
Bukkit/eclipse/org/bukkit/Note,True,False,False,False,False,False,False,False,True
Bukkit/eclipse/org/bukkit/OfflinePlayer,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/PortalType,True,False,True,True,False,True,False,False,True
Bukkit/eclipse/org/bukkit/Rotation,True,False,True,False,False,True,False,False,True
Bukkit/eclipse/org/bukkit/SandstoneType,True,False,True,False,False,False,False,False,True
Bukkit/eclipse/org/bukkit/Server,True,False,False,True,True,True,False,False,True
Bukkit/eclipse/org/bukkit/SkullType,True,False,True,True,False,True,False,False,True
Bukkit/eclipse/org/bukkit/Sound,True,False,True,True,False,True,False,False,True
Bukkit/eclipse/org/bukkit/Statistic,True,False,False,False,False,False,False,False,True
Bukkit/eclipse/org/bukkit/TravelAgent,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/TreeSpecies,True,False,True,False,False,False,False,False,True
Bukkit/eclipse/org/bukkit/TreeType,True,False,True,True,False,True,False,False,True
Bukkit/eclipse/org/bukkit/UnsafeValues,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/Utility,True,False,True,True,True,True,False,False,True
Bukkit/eclipse/org/bukkit/Warning,False,False,False,False,False,False,False,False,False
Bukkit/eclipse/org/bukkit/WeatherType,True,False,True,True,False,True,False,False,True
Bukkit/eclipse/org/bukkit/World,True,False,False,False,False,False,False,False,False
Bukkit/eclipse/org/bukkit/WorldCreator,True,False,True,True,True,True,True,False,True
Bukkit/eclipse/org/bukkit/WorldType,True,False,True,False,True,False,False,False,True
Bukkit/eclipse/org/bukkit/block/Beacon,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/block/Biome,True,False,True,True,False,True,False,False,True
Bukkit/eclipse/org/bukkit/block/Block,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/block/BlockFace,False,False,True,False,False,True,False,False,True
Bukkit/eclipse/org/bukkit/block/BlockState,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/block/BrewingStand,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/block/Chest,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/block/CommandBlock,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/block/ContainerBlock,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/block/CreatureSpawner,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/block/Dispenser,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/block/DoubleChest,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/block/Dropper,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/block/Furnace,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/block/Hopper,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/block/Jukebox,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/block/NoteBlock,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/block/PistonMoveReaction,True,False,True,False,False,False,False,False,True
Bukkit/eclipse/org/bukkit/block/Sign,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/block/Skull,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/command/BlockCommandSender,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/command/Command,False,False,True,False,False,False,True,False,False
