,Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests,Compilo,Match
0,mimecraft/eclipse/com/squareup/mimecraft/Part,True,674.0,3609.0,True,4.0,,Fernflower,1685.0
1,mimecraft/eclipse/com/squareup/mimecraft/Multipart,True,213.0,1780.0,False,,False,Fernflower,1684.0
2,mimecraft/eclipse/com/squareup/mimecraft/Utils,True,0.0,363.0,True,0.0,True,Fernflower,1682.0
3,mimecraft/eclipse/com/squareup/mimecraft/FormEncoding,True,92.0,633.0,True,10.0,False,Fernflower,1683.0
4,commons-imaging/javac/org/apache/commons/imaging/ImageParser,True,257.0,3530.0,False,,False,JADX-0.9.0,2521.0
5,commons-imaging/javac/org/apache/commons/imaging/palette/QuantizedPalette,True,83.0,910.0,True,28.0,True,JADX-0.9.0,2545.0
6,commons-imaging/javac/org/apache/commons/imaging/palette/MedianCutImplementation,True,2.0,31.0,True,0.0,,JADX-0.9.0,2543.0
7,commons-imaging/javac/org/apache/commons/imaging/palette/MedianCutLongestAxisImplementation,True,298.0,1753.0,False,,False,JADX-0.9.0,2544.0
8,commons-imaging/javac/org/apache/commons/imaging/palette/ColorComponent,True,3.0,174.0,True,0.0,True,JADX-0.9.0,2551.0
9,commons-imaging/javac/org/apache/commons/imaging/palette/PaletteFactory,True,765.0,6578.0,False,,False,JADX-0.9.0,2541.0
10,commons-imaging/javac/org/apache/commons/imaging/palette/ColorGroupCut,True,34.0,249.0,True,4.0,True,JADX-0.9.0,2550.0
11,commons-imaging/javac/org/apache/commons/imaging/palette/package-info,False,,,False,,,JADX-0.9.0,
12,commons-imaging/javac/org/apache/commons/imaging/palette/MedianCutPalette,True,7.0,160.0,True,0.0,True,JADX-0.9.0,2547.0
13,commons-imaging/javac/org/apache/commons/imaging/palette/Palette,True,4.0,216.0,True,0.0,,JADX-0.9.0,2542.0
14,commons-imaging/javac/org/apache/commons/imaging/palette/MedianCutQuantizer,True,119.0,1815.0,True,127.0,True,JADX-0.9.0,2553.0
15,commons-imaging/javac/org/apache/commons/imaging/palette/Dithering,True,101.0,1745.0,True,158.0,True,JADX-0.9.0,2540.0
16,commons-imaging/javac/org/apache/commons/imaging/palette/ColorSpaceSubset,True,491.0,4040.0,False,,False,JADX-0.9.0,2552.0
17,commons-imaging/javac/org/apache/commons/imaging/palette/ColorCount,True,34.0,347.0,True,20.0,True,JADX-0.9.0,2546.0
18,commons-imaging/javac/org/apache/commons/imaging/palette/ColorGroup,True,324.0,2630.0,True,137.0,True,JADX-0.9.0,2550.0
19,commons-imaging/javac/org/apache/commons/imaging/palette/SimplePalette,True,17.0,318.0,True,0.0,True,JADX-0.9.0,2548.0
20,commons-imaging/javac/org/apache/commons/imaging/palette/MedianCutMostPopulatedBoxesImplementation,True,242.0,1801.0,False,,False,JADX-0.9.0,2549.0
21,commons-imaging/javac/org/apache/commons/imaging/FormatCompliance,True,89.0,1921.0,True,15.0,True,JADX-0.9.0,2522.0
22,commons-imaging/javac/org/apache/commons/imaging/formats/ico/IcoImageParser,True,1695.0,11148.0,False,,False,JADX-0.9.0,2786.0
23,commons-imaging/javac/org/apache/commons/imaging/formats/ico/package-info,False,,,False,,,JADX-0.9.0,
24,commons-imaging/javac/org/apache/commons/imaging/formats/wbmp/WbmpImageParser,True,394.0,3300.0,False,,False,JADX-0.9.0,2638.0
25,commons-imaging/javac/org/apache/commons/imaging/formats/wbmp/package-info,False,,,False,,,JADX-0.9.0,
26,commons-imaging/javac/org/apache/commons/imaging/formats/xbm/package-info,False,,,False,,,JADX-0.9.0,
27,commons-imaging/javac/org/apache/commons/imaging/formats/xbm/XbmImageParser,True,640.0,5616.0,False,,False,JADX-0.9.0,2637.0
28,commons-imaging/javac/org/apache/commons/imaging/formats/gif/GifHeaderInfo,True,17.0,522.0,True,0.0,True,JADX-0.9.0,2791.0
